Country, NY.GDP.MKTP.CD, NE.DAB.DEFL.ZS, TG.VAL.TOTL.GD.ZS, DT.ODA.ODAT.CD, MS.MIL.MPRT.KD, NE.CON.PETC.CN, NY.GDP.PCAP.CN, EN.ATM.CO2E.GF.KT, DC.DAC.BELL.CD, NY.GNP.MKTP.KD, NE.RSB.GNFS.KN, SM.POP.TOTL.ZS, EG.IMP.CONS.ZS, NE.CON.PETC.KD, EN.CO2.BLDG.ZS, NE.RSB.GNFS.ZS, TX.VAL.MRCH.R3.ZS, NE.EXP.GNFS.KD, SP.POP.TOTL.FE.ZS, NY.GDP.DISC.KN, TM.VAL.MRCH.WL.CD, SP.DYN.AMRT.FE, DC.DAC.KORL.CD, NE.IMP.GNFS.CD, EN.ATM.CO2E.KT, TM.VAL.MRCH.R5.ZS, EG.USE.CRNW.ZS, DT.ODA.ALLD.CD, SP.URB.TOTL.IN.ZS, EN.URB.MCTY, NY.GDP.FCST.CN, NY.GDP.FCST.CD, EG.USE.COMM.CL.ZS, EN.CO2.TRAN.ZS, DC.DAC.FRAL.CD, PA.NUS.FCRF, NE.GDI.FPRV.CN, NE.CON.GOVT.KD, TM.VAL.MRCH.RS.ZS, NE.DAB.TOTL.KD, NY.GDS.TOTL.ZS, NE.GDI.STKB.KN, NY.GDS.TOTL.CD, NY.GDP.DISC.CN, NV.SRV.TETC.ZS, NY.TTF.GNFS.KN, NE.CON.GOVT.KN, TX.VAL.MRCH.RS.ZS, DC.DAC.CHEL.CD, SP.URB.TOTL, IP.PAT.NRES, NY.GDP.PCAP.KN, NY.GDY.TOTL.KD, DT.ODA.ODAT.GN.ZS, SH.DTH.MORT, DC.DAC.DEUL.CD, EN.ATM.CO2E.KD.GD, EN.ATM.CO2E.PC, TM.VAL.MRCH.R3.ZS, SP.DYN.IMRT.IN, DC.DAC.NORL.CD, TX.VAL.MRCH.WR.ZS, EN.ATM.CO2E.GF.ZS, TX.VAL.MRCH.OR.ZS, DT.ODA.ODAT.KD, NY.GSR.NFCY.CN, SP.DYN.LE00.MA.IN, EN.ATM.CO2E.SF.ZS, NE.RSB.GNFS.CD, NV.IND.MANF.CD, NY.TRF.NCTR.CN, NE.IMP.GNFS.CN, NE.EXP.GNFS.ZS, NV.IND.TOTL.ZS, DC.DAC.TOTL.CD, TM.VAL.MRCH.WR.ZS, SP.DYN.LE00.IN, NY.GNP.MKTP.CD, NV.AGR.TOTL.ZS, DC.DAC.ITAL.CD, DC.DAC.CANL.CD, EG.ELC.NUCL.ZS, SP.DYN.TO65.FE.ZS, NV.IND.TOTL.CN, TX.VAL.MRCH.R1.ZS, NY.GNP.PCAP.KN, NE.DAB.TOTL.KN, NE.EXP.GNFS.CN, NE.CON.TETC.CN, NE.GDI.TOTL.ZS, NY.ADJ.ICTR.GN.ZS, SH.MED.BEDS.ZS, IP.TMK.RESD, IT.MLT.MAIN.P2, FR.INR.DPST, NV.SRV.TETC.KD, IP.PAT.RESD, NV.AGR.TOTL.CN, NY.GDP.MKTP.CN, NY.GDP.MKTP.KN, NE.GDI.STKB.CN, NY.GDP.PCAP.KD, EN.CO2.ETOT.ZS, TX.VAL.MRCH.HI.ZS, NV.SRV.TETC.KN, TM.VAL.MRCH.CD.WT, TX.VAL.MRCH.AL.ZS, SP.POP.GROW, NY.GDS.TOTL.KN, NY.TRF.NCTR.CD, EG.ELC.FOSL.ZS, DC.DAC.NLDL.CD, NV.IND.MANF.KN, NV.SRV.TETC.CN, FI.RES.XGLD.CD, NE.EXP.GNFS.CD, NY.GDS.TOTL.CN, SP.POP.DPND.YG, IT.NET.USER.P2, EN.CO2.MANF.ZS, FR.INR.LEND, FP.WPI.TOTL, EN.URB.LCTY, NV.IND.TOTL.KD, NE.CON.TETC.KD, SP.DYN.CBRT.IN, NE.CON.TETC.CD, EG.ELC.RNWX.KH, NE.CON.PETC.CD, IT.CEL.SETS, NY.GDP.MKTP.KD, EN.URB.LCTY.UR.ZS, TX.VAL.MRCH.WL.CD, EN.ATM.CO2E.LF.KT, EG.ELC.HYRO.ZS, EN.CO2.OTHX.ZS, TM.VAL.MRCH.R4.ZS, NE.CON.GOVT.CN, EG.ELC.NGAS.ZS, SH.DYN.MORT, IP.TMK.TOTL, EG.ELC.LOSS.ZS, NV.IND.TOTL.KN, NY.GDP.DEFL.ZS, NY.GDP.FCST.KD, EN.URB.MCTY.TL.ZS, MS.MIL.XPRT.KD, NE.GDI.TOTL.KN, DT.ODA.ODAT.PC.ZS, EG.ELC.RNWX.ZS, TX.VAL.MRCH.R5.ZS, NE.CON.PETC.ZS, NE.CON.PRVT.KD, NY.TRF.NCTR.KN, SP.POP.TOTL, SP.RUR.TOTL, NE.CON.PETC.KN, NE.CON.PRVT.PC.KD, NE.CON.PRVT.CN, SP.POP.65UP.TO.ZS, IT.CEL.SETS.P2, NY.EXP.CAPM.KN, NE.CON.PRVT.CD, NY.TAX.NIND.CN, SP.URB.GROW, NE.CON.GOVT.ZS, TM.VAL.MRCH.R1.ZS, TM.VAL.MRCH.OR.ZS, FP.CPI.TOTL, DC.DAC.JPNL.CD, SM.POP.TOTL, NV.SRV.TETC.CD, NV.IND.MANF.ZS, NE.CON.PRVT.KN, NE.GDI.FTOT.KD, BX.PEF.TOTL.CD.WD, NY.GSR.NFCY.KN, NY.GNS.ICTR.GN.ZS, NE.DAB.TOTL.ZS, FR.INR.LNDP, EG.ELC.COAL.ZS, NV.AGR.TOTL.KN, NE.CON.TETC.KN, NY.GNS.ICTR.CD, NE.GDI.STKB.CD, DC.DAC.AUTL.CD, TM.VAL.MRCH.HI.ZS, DT.ODA.ALLD.KD, SP.POP.0014.TO.ZS, NE.CON.TOTL.KN, IT.MLT.MAIN, FR.INR.RISK, TX.VAL.MRCH.CD.WT, TM.VAL.MRCH.AL.ZS, NE.CON.GOVT.CD, SP.POP.DPND, SP.POP.DPND.OL, SH.MED.PHYS.ZS, NY.GNP.PCAP.CN, NE.IMP.GNFS.ZS, NY.GNP.MKTP.KN, NV.AGR.TOTL.KD, TM.VAL.MRCH.R6.ZS, SP.DYN.CDRT.IN, PA.NUS.ATLS, NE.GDI.TOTL.KD, NE.DAB.TOTL.CN, NE.GDI.FTOT.CN, SH.DTH.IMRT, SP.ADO.TFRT, NE.CON.TETC.ZS, NE.GDI.FTOT.ZS, NV.IND.MANF.KD, SP.POP.1564.TO.ZS, SP.DYN.AMRT.MA, SP.DYN.TFRT.IN, EG.USE.PCAP.KG.OE, EG.ELC.PETR.ZS, NE.CON.TOTL.KD, DC.DAC.PRTL.CD, EN.ATM.CO2E.EG.ZS, NY.GNP.MKTP.CN, DC.DAC.SWEL.CD, BN.TRF.CURR.CD, EG.USE.ELEC.KH.PC, NE.DAB.TOTL.CD, SP.RUR.TOTL.ZS, NY.TAX.NIND.CD, NY.GDY.TOTL.KN, NY.GNS.ICTR.CN, DC.DAC.GBRL.CD, NY.GNP.PCAP.KD, NE.GDI.FTOT.CD, NE.CON.TOTL.CN, NY.GSR.NFCY.CD, NY.GDP.PCAP.CD, TX.VAL.MRCH.R6.ZS, EN.ATM.CO2E.LF.ZS, NV.IND.TOTL.CD, DC.DAC.USAL.CD, NE.EXP.GNFS.KN, NE.GDI.TOTL.CN, NE.CON.TOTL.CD, NV.AGR.TOTL.CD, NE.IMP.GNFS.KN, NE.TRD.GNFS.ZS, SP.DYN.TO65.MA.ZS, SP.RUR.TOTL.ZG, NE.GDI.FTOT.KN, NE.IMP.GNFS.KD, DT.ODA.ODAT.GI.ZS, DC.DAC.CECL.CD, DC.DAC.DNKL.CD, EN.ATM.CO2E.SF.KT, TX.VAL.MRCH.R4.ZS, NY.TAX.NIND.KN, NY.GDP.FCST.KN, EG.USE.COMM.FO.ZS, NY.GNS.ICTR.ZS, NE.RSB.GNFS.CN, NV.IND.MANF.CN, NE.GDI.TOTL.CD, IP.TMK.NRES, SP.DYN.LE00.FE.IN, FI.RES.TOTL.CD, NE.GDI.FPRV.ZS
MDA,,,,,,,,,,,,,,,,,,,53.21490486113629,,,189.727,,,,,,,23.424,,,,,,,,,,,,,,,,,,,,,595907.0,,,,,,,,,,,,,,,,,58.024,,,,,,,,,,61.8127804878049,,,,,,67.21606,,,,,,,,,,,0.6825240872738559,,,,,,,,,,,,,,2.50759407682118,,,,,,,,,,51.239356262174,,,,,223279.0,,,27.697,,,,0.0,,37.4687660994081,,,,,,,,,,,,,,,,,,,,,,,2544000.0,1948093.0,,,,6.179406616887911,0.0,,,,5.876605554574111,,,,,,,,,,,,,,,,,,,,,,,,31.786078972365104,,20500.0,,,,,61.2005895480681,9.96123328589406,,,,,,,11.646,,,,,,32.8038,,,,62.034514410747,332.2254,3.328,,,,,,,,,,,76.576,,,,,,,,,,,,,,,,,,,,50.17048,1.4993055980257601,,,,,,,,,,,,,,,,65.791,,
GNQ,,,,,,,,0.0,,,,7.67546556135097,,,,,,,51.0207643337366,,,458.258,,,22.002,,,,25.537,,,,,,,245.195101398359,,,,,,,,,,,,,,64383.0,,,,,,,,0.0872696983519426,,,,,0.0,,,,35.255,0.0,,,,,,,,,36.73304878048779,,,,,,29.01119,,,,,,,,,4.996031761169429,,,,,,,,,,,,,,16000000.0,,1.28140350614529,,,,,,,,,,63.9137994769917,,,,,,,,40.244,,,,0.0,,,,22.002,,,,,,,,,,,,,,,,,,,,,252115.0,187732.0,,,,5.02667433512484,0.0,,,,5.6980267954441794,,,,,,19351.0,,,,,,,,,,,,,,,,,,37.032306685441206,,,,34000000.0,,,72.5893016059913,8.67550212899958,0.16666667163372,,,,,,27.757,245.195,,,,,125.9118,,,,57.941018979434006,520.91,5.505,,,,,,,,,,,74.463,,,,,,,,,,,100.0,,,,,,,,,23.75788,-0.189452454089869,,,,,,0.0,,,,,,,,,,38.285,,
TMP,,,,,,,,,,,,1.4309594114408701,,,,,,,49.2565937640759,,,536.33,,,,,,,10.091,,,,,,,,,,,,,,,,,,,,,50407.0,,,,,,,,,,,,,,,,,33.172,,,,,,,,,,33.7271219512195,,,,,,22.64326,,,,,,,,,,,,,,,,,,,,,,,,,1.7030236499954,,,,,,,,,,75.43115726467991,,,,,,,,46.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499525.0,449118.0,,,,2.6010710174666003,,,,,1.90062297628975,,,,,,7148.0,,,,,,,,,,,,,,,,,,41.879185225964704,,,,,,,80.1161050714839,4.6849478068040495,,,,,,,29.403,,,,,,66.5528,,,,55.5197437565687,583.85,6.373,,,,,,,,,,,89.909,,,,,,,,,,,,,,,,,,,,19.42894,1.6808703345195402,,,,,,,,,,,,,,,,34.31,,
TUN,,,,51830000.0,44000000.0,,,14.668,,,,4.00886013958345,,,,,0.41841004184100394,,50.1423999333376,,191100000.0,420.7552,,,1727.157,1.8838304552590301,,51830000.0,37.511,588271.0,,,,,,0.41999999942,,,6.017791732077451,,,,,,,,,5.02092050209205,,1583227.0,,,,,,180000.0,,0.409210934392178,1.56985871271586,,,11.548117154811699,0.8492569002123141,3.0125523012552295,313460000.0,,41.06,6.58174097664544,,,,,,,51200000.0,1.7268445839874398,42.009756097561,,,20000.0,,,34.14,,0.8368200836820079,,,,,,,2.4676616191864,129.0,0.669643085190615,,,,,,,,,,80.418410041841,,190690000.0,12.301255230125502,1.80014597935966,,,,,,,81400000.0,,,82.35337940604529,,,,,588271.0,,,50.688,,,,0.0,,37.1564532439126,119500000.0,1393.46,,,1.7268445839874398,,,,317.0,,,,,13.937755837241301,,,12.279950652746999,,0.6694560669456071,,,,4220701.0,2637474.0,,,,3.7309405100154,0.0,,,,2.9719891296377794,,,5.1805337519623205,,,169202.0,,,,,,,,,,,,,,,,87.07482993197279,313460000.0,43.4764691712645,,26218.0,,119690000.0,1.6221873364730501,,89.42055464077329,7.067175234728039,0.0997393950819969,,,,,0.41862899005756105,22.241,,,,,,65.6512,,,,52.7925903187201,461.7424,7.043,,,,,,,,,,,62.489,,,,,,,,,,0.8368200836820079,80.67940552016991,,51000000.0,,,,,,,30.70717,1.10324965135365,,,,,,113.677,11.548117154811699,,,,,,,,188.0,43.007,84451418.3999143,
YEM,,,,14690000.0,,,,0.0,,,,3.08045721599029,,,,,,,49.9438574255402,,,459.634,,,3633.997,,,14690000.0,9.1,72000.0,,,,,,,,,,,,,,,,,,,,470134.0,,,,,,30000.0,,0.703402679397349,,,,,0.0,,119780000.0,,33.236,0.0,,,,,,,14560000.0,,34.3638048780488,,,20000.0,,,26.87643,,,,,,,,,0.454545468091965,,,,,,,,,,,,,,233000000.0,,1.6257649181657299,,,,,,,,,,78.5089792187302,,,,,121000.0,,,49.778,,,,0.0,,25.7373429703021,,3633.997,,,,,,,,,,,,1.3936443237737701,,,2.84342154392177,,,,,,5166311.0,4696177.0,,,,3.42350663752144,0.0,,,,6.063379477516411,,,,,,159146.0,,,,,,,,,,,,,,,,,119780000.0,42.474736809301604,,,,181000000.0,,,84.8368821476424,6.32790292891221,0.0234419666230679,,,,,,30.382,,,,,,155.2144,,,,54.1017565531769,518.341,7.38,,,,,,,,,,,90.9,,,,9510000.0,,,,,,,100.0,,5000000.0,,,,,,,22.23303,1.19216980644643,,,,,,0.0,,,,,,,,,,35.548,,
BDI,195999990.0,,14.2857150145773,7530000.0,,9012499600.0,3516.6536885392998,,7500000.0,,,4.53300272002411,,,,-0.8928582088192959,,,51.727968881201704,,,407.843,,26250000.0,,,,7530000.0,2.077,,9450000400.0,189000008.0,,,,50.00000004899999,,,,,5.35714211005827,,10499998.0,-900.0,,,,,,57881.0,,158998.582501417,,3.88360522592773,,,,,,,,,,,77990000.0,-105399300.0,39.698,,-1750002.0,,,1312500000.0,12.4999996173469,,7510000.0,,41.23604878048779,193892004.0,,,,,35.08697,,,,,1224999900.0,9274999600.0,6.250000318877571,,1.12240731716156,,,,,,,9799999500.0,443087709800.0,0.0,147.006226186552,,,,21000000.0,,1.9454252179125,,,,,,,,24499998.0,524999900.0,81.368715477162,0.0,,,,45564.0,,,48.197,185499992.0,,180249992.0,0.0,409668130.763111,78.72013268602821,,,,,,262500000.0,,,,,,2.2117515975388904,386404141.840268,,,,2.70208200262672,,,91.9642863247085,,,2786740.0,2728859.0,,,9012500500.0,2.9470994782433904,0.0,,180250010.0,350000000.0,3.79244095773673,2.67857156523324,,,,,126323.0,,,,,,,,100.892858208819,,,,,,0.0,,,77990000.0,43.541521634598105,,,,7000000.0,,5250000.0,86.8761412612332,5.5074257840711995,0.0102006122469902,3478.83196853671,13.392857826166198,,,,23.167,50.0,,9887499600.0,612500000.0,,46.1038,94.64285788994171,6.250000318877571,,53.5113788871585,469.175,6.953,,,,,,9694600200.0,,,,197749992.0,97.923,7000000.0,,,,,12250000.0,9274999800.0,-2107986.0,70.33307377078589,,,,,,612500000.0,185499996.0,,,25.8928574435131,29.39541,1.9066158401948101,,,61.469387755102,10000.0,,,,3110100.0,417925909800.0,,,-87500100.0,,12250000.0,,42.851,,
CUW,,,,,,,,,,,,,,,,,,,49.8759246567249,,,,,,,,,,74.71,,,,,,,,,,,,,,,,,,,,,93258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.35949,,,,,,,,,,,,,,,,,,,,,,,,,0.7357201600790679,,,,,,,,,,76.4705008173577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124826.0,31568.0,,,,4.87005569604298,,,,,1.26903613078032,,,,,,,,,,,,,,,,,,,,,,,,41.2229496057161,,,,,,,85.504532620003,9.03403180264527,,,,,,,,,,,,,105.7542,,,,53.9069946982409,,,,,,,,,,,,,25.29,,,,,,,,,,,,,,,,,,,,61.9617,-0.823387461792728,,,,,,,,,,,,,,,,,,
CRI,507516613.02964103,1.3168125646756599,38.3632761965624,3590000.0,,2200002300.0,2145.8440169176997,0.0,,2432981085.6083302,-13485620224.0,2.45251087362589,,2021033883.2588398,,-4.76145046240514,5.324074074074071,303456401.02070296,49.144137994151706,3227177000.0,109900000.0,198.808,,132853930.09058401,491.378,0.454959053685168,,3590000.0,34.254,240155.0,,,,,,5.615000004615,,486760524.050847,4.27661510464058,2646781323.39232,12.7389818046508,-2818432000.0,64652448.989426,-300.0,,5481310040.48044,26727841800.0,3.93518518518519,,456620.0,,160600.15070793,2453000000.0,0.7140570492541899,,,0.19992313778800302,0.36861404216821403,6.91537761601456,,,5.324074074074071,0.0,0.0,20830000.0,-26804200.0,59.224,0.0,-24165152.1178828,,,748800500.0,21.415806927753398,,4010000.0,6.91537761601456,60.5761951219512,502760949.387678,,10000.0,,,63.43345,563001000.0,,159073.164708733,227572365300.0,612599200.0,2496101600.0,17.500432267056,,4.7907772064209,,0.7496004629532459,,1552513995.9804,,744699900.0,2860500200.0,214086746100.0,40200000.0,1843.7787954243202,,90.7407407407407,125570670600.0,110400000.0,0.0,3.5748867074947297,,,,,,1552799200.0,11339999.99862,108688777.972701,364398600.0,85.5807603746174,,,,0.179316553624147,229792.0,397795612.539414,2481494923.14016,44.558,442864164.040215,,390329536.055764,0.0,2457834573.0100303,50.32455871402921,86400000.0,491.378,,,0.0,296099300.0,,,,,39253880800.0,1.33614072431362,,18.0155614001659,,29383469100.0,2.6930884398241,,0.0,76.90970621152199,1979640163.66051,,1333042.0,876422.0,171751582900.0,1485.0546071770498,2200002600.0,3.02158521636977,0.0,36001369940.4804,390329589.282463,326399500.0,3.7940817751380003,10.351311983827198,0.0,0.454959053685168,0.249224278374128,,32693.0,275501253.486763,,168233877500.0,317262754.533033,,,,104.761450462405,,,32403675100.0,198188896200.0,,7132377.70226045,,88.35304822565969,20830000.0,44.7216966907269,,10000.0,,84300000.0,0.0,52534627.984451,91.3629551366343,5.78219476201687,0.391118705272675,2125.73647341944,26.177257390158502,212051209629.659,312982462.734606,0.0,10.045,5.6362690926,328650818.18592596,2996701500.0,460399900.0,,118.9184,87.2610181953492,16.0950836500553,,52.2567180929033,231.533,6.451,,,,,,2833696000.0,,,,531681765.147524,65.746,57910560.095247805,219568056140.48,,,1825.1346061176898,81685223.4050483,,-4755663.64196342,380.720647233651,0.0,100.0,99888949.7201577,4000000.0,30520059900.0,500599900.0,,132126392.08048701,44005679100.0,47.593064317911995,58.26066,3.4608751310433705,29995493400.0,492403151.40299404,4.04199162693281,,,0.0,0.0,,,,,-136201300.0,,88817601.1073088,,61.996,13460727.5985604,
WSM,,,,,,,,0.0,,,,3.15707119517695,,,,,,,49.241106355561705,,,403.944,,,14.668,,,,18.926,,,,,,,0.7142899997142901,,,,,,,,,,,,,,20562.0,,,,,,,,0.13500851396750901,,,,,0.0,,,,46.75,0.0,,,,,,,,,49.969512195122,,,,,,42.72031,,,,,,,,,5.0,,,,,,,,,,,,,,7414360.0,,3.04084428482922,,,,,,,,,,102.32796792155199,,,,,,,,48.133,,,,0.0,,,,14.668,,,,,,,,,,,,,,,,,,,,,108645.0,88083.0,,,,2.00469418749137,0.0,,,,3.3629912330573304,,,,,,3430.0,,,,,,,,,,,,,,,,,,49.56141561967879,,,,6767560.0,,,106.466999866973,4.13903194542103,0.44144144654274003,,,,,,14.566,0.714280068874359,,,,,77.1474,,,,48.43389019282989,526.225,7.651,,,,,,,,,,,81.074,,,,,,,,,,,100.0,,,,,,,,,28.92244,2.9657918219070094,,,,,,0.0,,,,,,,,,,53.35,,
NPL,508334416.764741,,,8620000.0,,,385.106998198757,0.0,,,,3.3572421843810405,,,,,,,50.198385294938,,,522.879,,,80.674,,,8620000.0,3.48,119177.0,3818999800.0,501246859.303472,,,,7.5000000065,,,,,,,,,100.0,,,,,349982.0,,10329.0606938787,,1.6957340907313303,134608.0,,0.0475449043202455,0.008021720313673791,,219.6,,,0.0,,53230000.0,0.0,35.044,0.0,,,,,,,8180000.0,,35.1708292682927,508334416.764741,,,,,23.98234,,,,,,,,,0.115763798356056,,,,,,,3872999900.0,103878795300.0,,168.71882335996202,,,0.0,,,1.5611417627798798,,,,,,3818999800.0,17400000.0,,,70.42606764671929,,,,,119177.0,,,44.886,,,,0.0,1696795926.99585,34.0523226908812,,80.674,,,,,,327.1,,,,3.7283835346904506,,1.18502189283127,,,0.8571191350852572,,,,,,10056945.0,9706963.0,,,,2.5339901928468396,0.0,,,54000000.0,4.18157535031214,,,,,10000.0,337636.0,501246859.303472,,,,,,,,,,,,,,,,53230000.0,40.2763960626214,,,,17000000.0,,,74.85692497715391,4.4308573304346295,0.0130094522610307,385.106998198757,,,,,27.631,7.61899995803833,,,,86011.0,126.29,,,,57.18961374453179,559.329,5.959,,,,,,3872999900.0,,,,,96.52,7087544.33618653,,,170000.0,,,,0.0,50.5456097020259,,100.0,,8000000.0,,,,,,,21.69111,1.46793330916321,,,,,,0.0,,,,,,,,,,35.304,19273663.5999474,
