Country, NY.GDP.MKTP.CD, NE.DAB.DEFL.ZS, TG.VAL.TOTL.GD.ZS, DT.ODA.ODAT.CD, MS.MIL.MPRT.KD, NE.CON.PETC.CN, AG.LND.AGRI.K2, EN.ATM.CO2E.GF.KT, DC.DAC.BELL.CD, NY.GNP.MKTP.KD, NE.RSB.GNFS.KN, NY.GDP.MKTP.KD.ZG, SP.DYN.LE00.FE.IN, EG.IMP.CONS.ZS, SP.POP.DPND, NE.CON.PETC.KD, EN.CO2.BLDG.ZS, NE.RSB.GNFS.ZS, AG.LND.CROP.ZS, TX.VAL.MRCH.R3.ZS, NE.EXP.GNFS.KD, SP.POP.TOTL.FE.ZS, NY.GDP.DISC.KN, TM.VAL.MRCH.WL.CD, SP.DYN.AMRT.FE, DC.DAC.KORL.CD, NE.IMP.GNFS.CD, EN.ATM.CO2E.KT, TM.VAL.MRCH.R5.ZS, EG.USE.CRNW.ZS, DT.ODA.ALLD.CD, SH.STA.MMRT.NE, SP.URB.TOTL.IN.ZS, NY.GDP.PCAP.CN, EN.POP.DNST, NY.GDP.FCST.CN, NY.GDP.FCST.CD, EG.USE.COMM.CL.ZS, FR.INR.LNDP, TM.VAL.MRCH.HI.ZS, PA.NUS.FCRF, NE.GDI.FPRV.CN, AG.LND.ARBL.HA.PC, NE.CON.GOVT.KD, NY.GNS.ICTR.GN.ZS, TM.VAL.MRCH.RS.ZS, DC.DAC.PRTL.CD, NE.DAB.TOTL.KD, NY.GDS.TOTL.ZS, NE.GDI.STKB.KN, NY.GDS.TOTL.CD, AG.LND.TOTL.K2, NV.SRV.TETC.ZS, NY.TTF.GNFS.KN, NE.CON.GOVT.KN, NY.GDP.PCAP.KN, DC.DAC.FRAL.CD, SP.URB.TOTL, IP.PAT.NRES, TX.VAL.MRCH.RS.ZS, NY.GDY.TOTL.KD, DT.ODA.ODAT.GN.ZS, SH.DTH.MORT, DC.DAC.DEUL.CD, EN.ATM.CO2E.KD.GD, EN.ATM.CO2E.PC, NE.GDI.TOTL.KD, TM.VAL.MRCH.R3.ZS, SP.DYN.IMRT.IN, NV.SRV.TETC.CD, DC.DAC.NORL.CD, TX.VAL.MRCH.WR.ZS, EN.ATM.CO2E.GF.ZS, TX.VAL.MRCH.OR.ZS, DT.ODA.ODAT.KD, NE.CON.TOTL.CN, SP.DYN.LE00.MA.IN, EN.ATM.CO2E.SF.ZS, NE.GDI.STKB.CD, NV.IND.MANF.CD, NY.TRF.NCTR.CN, IP.TMK.RESD, NE.IMP.GNFS.CN, NE.EXP.GNFS.ZS, NV.IND.TOTL.ZS, AG.LND.AGRI.ZS, DC.DAC.TOTL.CD, TM.VAL.MRCH.WR.ZS, NE.EXP.GNFS.KD.ZG, SP.DYN.LE00.IN, NY.GNP.MKTP.CD, NV.AGR.TOTL.ZS, DC.DAC.ITAL.CD, DC.DAC.CANL.CD, EG.ELC.NUCL.ZS, NY.GDP.PCAP.KD.ZG, TX.VAL.MRCH.R5.ZS, NV.IND.TOTL.CN, TX.VAL.MRCH.R1.ZS, NY.GNP.PCAP.KN, NE.DAB.TOTL.KN, NE.EXP.GNFS.CN, NE.CON.TETC.CN, NY.GNS.ICTR.CN, NE.GDI.TOTL.ZS, NY.ADJ.ICTR.GN.ZS, EN.CO2.TRAN.ZS, NY.GDP.PCAP.KD, FR.INR.DPST, NV.SRV.TETC.KD, IP.PAT.RESD, NV.AGR.TOTL.CN, NY.GDP.MKTP.CN, NY.GDP.MKTP.KN, NE.GDI.STKB.CN, NE.CON.TETC.CD, EN.CO2.ETOT.ZS, TX.VAL.MRCH.HI.ZS, NV.SRV.TETC.KN, TM.VAL.MRCH.CD.WT, TX.VAL.MRCH.AL.ZS, SP.POP.GROW, NY.GDS.TOTL.KN, NY.TRF.NCTR.CD, EG.ELC.FOSL.ZS, DC.DAC.NLDL.CD, NV.IND.MANF.KD.ZG, NE.CON.TETC.KN, FI.RES.XGLD.CD, NE.EXP.GNFS.CD, NY.GDS.TOTL.CN, SP.POP.DPND.YG, SH.DYN.MORT, EN.CO2.MANF.ZS, FR.INR.LEND, FP.WPI.TOTL, EN.URB.LCTY, NV.IND.TOTL.KD, NE.CON.TETC.KD, SP.DYN.CBRT.IN, NY.GDP.DEFL.KD.ZG, EG.ELC.RNWX.KH, NE.CON.PETC.CD, NY.GSR.NFCY.CD, NY.GDP.MKTP.KD, EN.URB.LCTY.UR.ZS, TX.VAL.MRCH.WL.CD, EN.ATM.CO2E.LF.KT, FR.INR.RINR, EG.ELC.HYRO.ZS, EN.CO2.OTHX.ZS, TM.VAL.MRCH.R4.ZS, NE.CON.GOVT.CN, NY.GNP.PCAP.KD.ZG, AG.LND.CREL.HA, AG.AGR.TRAC.NO, EG.ELC.LOSS.ZS, NV.IND.TOTL.KN, NY.GDP.DEFL.ZS, NY.GDP.FCST.KD, EN.URB.MCTY.TL.ZS, AG.LND.ARBL.ZS, BN.TRF.CURR.CD, MS.MIL.XPRT.KD, NE.GDI.TOTL.KN, DT.ODA.ODAT.PC.ZS, EG.ELC.RNWX.ZS, NE.CON.GOVT.KD.ZG, NE.CON.PETC.ZS, NE.CON.PRVT.KD, NY.TRF.NCTR.KN, SP.POP.TOTL, SP.RUR.TOTL, NE.CON.PETC.KN, NE.CON.PRVT.PC.KD, NE.CON.PRVT.CN, IP.TMK.TOTL, SP.POP.65UP.TO.ZS, NY.EXP.CAPM.KN, NE.CON.PRVT.CD, NY.TAX.NIND.CN, SP.URB.GROW, NE.CON.PRVT.PC.KD.ZG, AG.LND.ARBL.HA, NE.CON.GOVT.ZS, TM.VAL.MRCH.R1.ZS, TM.VAL.MRCH.OR.ZS, FP.CPI.TOTL, DC.DAC.JPNL.CD, EN.URB.MCTY, NV.IND.MANF.ZS, NE.CON.PRVT.KN, NE.GDI.FTOT.KD, BX.PEF.TOTL.CD.WD, NY.GSR.NFCY.KN, NE.GDI.TOTL.KD.ZG, NE.DAB.TOTL.ZS, EG.ELC.COAL.ZS, NV.AGR.TOTL.KN, NV.SRV.TETC.CN, NY.GNS.ICTR.CD, NE.RSB.GNFS.CD, DC.DAC.AUTL.CD, AG.PRD.FOOD.XD, DT.ODA.ALLD.KD, SP.POP.0014.TO.ZS, NE.CON.TOTL.KN, FR.INR.RISK, TX.VAL.MRCH.CD.WT, AG.SRF.TOTL.K2, TM.VAL.MRCH.AL.ZS, NE.CON.GOVT.CD, SP.DYN.TO65.FE.ZS, SP.POP.DPND.OL, SH.MED.PHYS.ZS, NY.GNP.PCAP.CN, NE.IMP.GNFS.ZS, NY.GNP.MKTP.KN, EG.ELC.NGAS.ZS, NV.AGR.TOTL.KD, TM.VAL.MRCH.R6.ZS, SP.DYN.CDRT.IN, PA.NUS.ATLS, NE.GDI.FTOT.KD.ZG, NE.DAB.TOTL.CN, NE.GDI.FTOT.CN, SH.DTH.IMRT, AG.PRD.CROP.XD, SP.ADO.TFRT, NE.CON.TETC.ZS, NE.GDI.FTOT.ZS, NE.CON.TETC.KD.ZG, NV.IND.MANF.KD, SP.POP.1564.TO.ZS, SP.DYN.AMRT.MA, SP.DYN.TFRT.IN, AG.PRD.LVSK.XD, EG.ELC.PETR.ZS, EG.USE.COMM.FO.ZS, NE.CON.TOTL.KD, NE.IMP.GNFS.KD.ZG, EN.ATM.CO2E.EG.ZS, NY.GNP.MKTP.CN, DC.DAC.SWEL.CD, NY.GDP.DISC.CN, NY.GNP.MKTP.KD.ZG, EG.USE.ELEC.KH.PC, NE.DAB.TOTL.CD, SP.RUR.TOTL.ZS, NY.TAX.NIND.CD, SH.MED.BEDS.ZS, NY.GDY.TOTL.KN, AG.PRD.CREL.MT, NV.AGR.TOTL.KD.ZG, NV.IND.TOTL.KD.ZG, DC.DAC.GBRL.CD, FP.CPI.TOTL.ZG, NY.GNP.PCAP.KD, NY.GSR.NFCY.CN, NE.GDI.FTOT.CD, NY.GDP.PCAP.CD, TX.VAL.MRCH.R6.ZS, EN.ATM.CO2E.LF.ZS, NV.IND.TOTL.CD, DC.DAC.USAL.CD, NE.EXP.GNFS.KN, NV.SRV.TETC.KD.ZG, NE.GDI.TOTL.CN, NE.CON.TOTL.CD, NV.AGR.TOTL.CD, AG.YLD.CREL.KG, NE.IMP.GNFS.KN, NE.TRD.GNFS.ZS, SP.DYN.TO65.MA.ZS, SP.RUR.TOTL.ZG, NE.GDI.FTOT.KN, NE.IMP.GNFS.KD, DT.ODA.ODAT.GI.ZS, DC.DAC.CECL.CD, EG.USE.PCAP.KG.OE, DC.DAC.DNKL.CD, EN.ATM.CO2E.SF.KT, TX.VAL.MRCH.R4.ZS, NY.TAX.NIND.KN, AG.LND.TRAC.ZS, NY.GDP.FCST.KN, NE.CON.PETC.KD.ZG, NY.GNS.ICTR.ZS, NE.RSB.GNFS.CN, NV.IND.MANF.CN, NE.GDI.TOTL.CD, DC.DAC.CHEL.CD, IP.TMK.NRES, NE.CON.PRVT.KD.ZG, FI.RES.TOTL.CD, NV.IND.MANF.KN, NE.GDI.FPRV.ZS
MDA,,,,,,,,,,,,,66.096,,62.5770680832819,,,,,,,53.2034082733433,,,187.161,,,,,,,,24.216,,90.744417737834,,,,,,,,,,,,,,,,,32870.0,,,,,,630827.0,,,,,,,,,,,,,,,,,,,58.444,,,,,,,,,,,,,62.1766829268293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36950297274546,,,,,,,,,,52.67777849202121,,,,,233725.0,,,26.863,,,,,,37.050570124614204,,,,,,,,,,,,,,,,,,,,,,,,,,2605000.0,1974173.0,,,,,6.08899365947241,,,,5.69470423416338,,,,,,,,,,,,,,,,,,,,,,,,32.401711744134396,,,,33760.0,,,67.68329,9.89928959126066,,,,,,,,11.351,,,,,,,32.2214,,,,,61.509294596393204,327.3932,3.259,,,,,,,,,,,,,75.784,,,,,,,,,,,,,,,,,,,,,,,,,50.86355,1.32986311283676,,,,,,,,,,,,,,,,,,,,,,
GNQ,,,,,,,3140.0,0.0,,,,,38.587,,73.56220956735321,,,,3.5650623885918,,,51.0290082320659,,,454.844,,,22.002,,,,,26.144,,9.09447415329768,,,,,,245.26010162116,,0.43120344962759705,,,,,,,,,28050.0,,,,,,66693.0,,,,,,,,0.0862485299882399,,,,,,,0.0,,,,35.552,0.0,,,,,,,,11.194295900178302,,,,37.0324878048781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000000.0,,1.17702925256241,,,,,,,,,,64.83511249906451,,,,,,,,40.251,,,,,,,,22.002,,,,,,,,,,,,,,3.92156862745098,,,,,,,,,,255100.0,188407.0,,,,,5.028224225793809,,,,3.5250376780509702,,110000.0,,,,,,,,,,,,,,,,,,,,105.3,,37.35554684437479,,,23000000.0,28050.0,,,29.40217,8.72709706828867,,,,,,,,27.403,245.26,,,,,113.54,126.0534,,,,,57.6162289298314,517.369,5.515,36.13,,,,,,,,,,,,73.856,,,,,,,,,,,,,,100.0,,,,,,,,,,,24.12264,0.35891025636429397,,,,,,,0.0,,,,,,,,,,,,,,,
TMP,,,,1640000.0,,,2300.0,,,,,,34.813,,80.47035599785559,,,,0.672494956287828,,,49.250950697506106,,,530.185,,,,,,1640000.0,,10.243,,34.1836583725622,,,,,,,,0.137710968285164,,,,1640000.0,,,,,14870.0,,,,,,52066.0,,,,,,,,,,,,,,,,,19020000.0,,33.67,,,,,,,,,15.467383994619999,1640000.0,,,34.2275609756098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74358180958313,,,,,,,,,,75.8161464749928,,,,,,,,45.994,,,,,,,,,,,,,,,24400.0,7.0,,,,,,4.70746469401479,,,,3.2263712569667,,,,,,508311.0,456245.0,,,,,2.57893297607174,,,,3.2382090236148398,,70000.0,,,,,,,,,,,,,,,,,,,,81.84,19020000.0,42.0103047150268,,,,14870.0,,,23.24769,4.65420952286275,,,,,,,,28.844,,,,,,40.54,66.5904,,,,,55.4107623089014,577.61,6.376,121.01,,,,,,,,,,,,89.757,,,,34257.0,,,,,,,,,,,,,,,,,,1403.975,,,19.98927,1.57442864817177,,,,,,,,,,1.0,,,,,,,,,,,,
TUN,,,,93820000.0,6000000.0,,86480.0,14.668,,,,,43.653,,89.7806420125563,,,,7.40216271884655,0.5439709882139621,,50.074033224298,,211400000.0,412.8676,,,1767.494,1.3718070009460699,,93820000.0,,37.95,,27.5319966529351,,,,,87.3699148533586,0.41999999942,,0.724744241264085,,,7.42667928098392,,,,,,155360.0,,,,,15100000.0,1623262.0,,13.780598368087,3773800000.0,,,30000.0,,0.413219709022201,,0.378429517502365,,,,4.44242973708069,0.8298755186721991,1.99456029011786,611910000.0,,41.686,7.67634854771784,,,,,,,,55.6642636457261,92170000.0,1.7502365184484399,,42.645512195122,,,20000.0,,,,0.0906618313689937,,0.453309156844968,,,,,,,,,,,,,,,,,,,79.7824116047144,,210595000.0,4.44242973708069,1.33373405303651,,,,,,,69900000.0,,,82.7217427956608,,,,,601006.0,,,50.348,,,,,,37.02458383181521,110300000.0,1452.132,,,,1.7502365184484399,,,1125063.0,10300.0,,,,,14.0508270150052,19.953656024716803,,,,21.934033779160103,,,,,,4277371.0,2654109.0,,,,,3.7195085100436,,,,2.4972535727244103,,3100000.0,,,3.4531693472090796,,,601006.0,,,,,,,,,,,,,,23.56,611910000.0,43.5880759293814,,,110333000.0,163610.0,1.7502365184484399,,34.99175,7.05889921689553,,,,,,,0.0,21.689,,,,,,24.33,66.3776,,,,,52.692415560575,456.4952,7.088,21.21,,,,,,,,,,,,62.05,,,,561618.0,,,,,,,,,0.0,82.15767634854771,,77000000.0,,,,,,499.188,,,31.39181,0.628736421586569,,,,,,,135.679,4.44242973708069,,33.2258064516129,,,,,,,20000.0,,,73314576.45,,
YEM,,,,14880000.0,,,233370.0,0.0,,,,,35.66,,85.1927616438781,,,,0.14205352576851002,,,49.976835908930205,,,459.634,,,2665.909,,,14880000.0,,9.459,,9.94689660397371,,,,,,,,0.240304832964339,,,,,,,,,527970.0,,,,,,496755.0,,,,,,,,0.507631392189484,,,,,,,0.0,,115700000.0,,33.343,0.0,,,,,,,,44.201375078129395,14650000.0,,,34.473243902438995,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,251000000.0,,1.63858941719129,,,,,,,,,,78.90130482526509,,,,,127622.0,,,50.151,,,,,,25.691135469195103,,2665.909,,,,,,,1199277.0,380.0,,,,,1.4309943345565,2.39028732693145,,,,2.83338820484102,,,,,,5251663.0,4754908.0,,,,,3.39724769087429,,,,5.5079186354552805,,1262000.0,,,,,,75151.0,,,,,,,,,,,,,,28.27,115700000.0,42.6049615140956,,,195000000.0,527970.0,,,26.87643,6.291456818613,,,,,,,,30.331,,,,,,30.66,156.8452,,,,,53.9977907950301,518.341,7.405,27.66,,,,,,,,,,,,90.541,,,,938400.0,,,8630000.0,,,,,,,100.0,,6000000.0,,,,,,782.471,,,22.23303,1.2428574287545302,,,,,,,0.0,,,3.0110935023771805,,,,,,,,,,,,
BDI,202999992.0,,12.315271421291499,7190000.0,,9362499600.0,15750.0,,6700000.0,,,-13.7461350547259,43.164,,88.0412921233017,,,-1.72413799898081,8.95638629283489,,,51.69088588654671,,,404.56,,29750000.0,,,,7190000.0,,2.115,3573.4716718743102,110.60650311526501,9799999500.0,195999990.0,,,,50.00000004899999,,0.237644677199313,,,,,,5.17241399694242,,10500000.0,25680.0,,,,134552.752647098,,60074.0,,,,3.58032072084773,,,,,,,,,,,,,73830000.0,9624999900.0,40.004,,0.0,,,,1487500000.0,12.9310349923561,,61.3317757009346,7170000.0,,,41.545463414634106,200819998.0,,,,,-15.374872825738402,,,,,,1312500000.0,9624999600.0,,6.896551995923231,,,124.404205864452,,,,,10149999600.0,382180274800.0,0.0,192499992.0,,,,17000000.0,,1.9063631838104702,,,,,,,,26250000.0,525000000.0,82.453959136872,,,,,49768.0,,,48.173,20.0774363441754,,187249992.0,-2179994.0,353354596.232243,82.8444917934548,,,,,,,262500000.0,,137397.0,2.0,,,2.6558146166260497,333929833.949902,,26.285046728972002,,,,2.53135589490824,,,92.2413790045864,,,2840375.0,2780301.0,,,9362499600.0,,2.9713330106059996,,187249992.0,350000000.0,3.71879568855246,,675000.0,2.58620699847121,,,,,,,,,,,,101.72413799898099,,,,,-3500000.0,,63.49,73830000.0,43.8488579853012,,,8000000.0,27830.0,,5250000.0,35.50017,5.58733298642971,,3535.0965629538396,14.6551729913369,,,,,22.878,50.0,,10324999600.0,700000000.0,,54.84,46.3864,94.82758600305759,6.896551995923231,,,53.179809004092796,465.763,6.998,59.81,,,,,,10040999900.0,,-1e-07,,,206499992.0,97.885,7000000.0,,,130000.0,,,,,,-108999700.0,14000000.0,71.4694334374862,,,,,,,700000000.0,192499998.0,,946.163,,27.586207983692898,29.78506,1.8675622108690602,,,51.3571428571429,470000.0,,,,,18531819100.0,0.0296296296296296,361170894800.0,,,-175000000.0,,14000000.0,,,,,,
CUW,,,,,,,,,,,,,,,85.79635849390141,,,,,,,50.0214209489091,,,,,,,,,,,75.102,,284.065315315315,,,,,,,,,,,,,,,,,444.0,,,,,,94722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03527111034878,,,,,,,,,,76.8634729833245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126125.0,31403.0,,,,,4.8076398787963806,,,,1.55764400488288,,,,,,,,,,,,,,,,,,,,,,,,41.369694420426995,,,,444.0,,,69.251,8.932885510576869,,,,,,,,,,,,,,,102.5856,,,,,53.822665700776604,,,,,,,,,,,,,,,24.898,,,,,,,,,,,,,,,,,,,,,,,,,62.51332,-0.5240519528566979,,,,,,,,,,,,,,,,,,,,,,
CRI,490324261.07647693,1.34835912873738,39.0353925338699,6050000.0,,2141903000.0,13950.0,0.0,,2405890464.52483,-13070595072.0,-0.955940448104172,62.714,,92.24787221314871,1942569073.7881103,,-3.6186554695460202,3.81903642773208,6.2421972534332095,297888414.53339,49.154220215352495,3354193900.0,106400000.0,190.352,,124535352.55121799,491.378,0.56390977443609,,6050000.0,,34.329,2119.73247365984,27.064629847238496,,,,,86.27819548872179,5.95166667161833,,0.206234803751303,544682051.084332,,5.73308270676692,,2617943807.31764,15.259570313146801,-3309718000.0,74821375.3813822,51060.0,,6939811432.71484,29908291600.0,153438.84182876,,474399.0,,2.74656679151061,2446400000.0,1.24737099445837,,,0.20185272967658396,0.355576299641079,351589744.428836,7.42481203007519,,265055811.17706499,,6.2421972534332095,0.0,0.0,34190000.0,,59.931,0.0,8151703.75455972,,,,744000500.0,21.779914912798098,,27.3207990599295,7000000.0,7.42481203007519,-1.8348555076066597,61.2885609756098,485020096.417026,,,,,-4.459092253402289,0.0,591601200.0,,151738.214756117,225110798400.0,637999200.0,2482302000.0,,18.8782257826928,,,1761.56299798768,,1505338021.0745802,,754200100.0,2929300700.0,212040204300.0,48700000.0,415502885.695095,,91.01123595505621,121754976300.0,107200000.0,0.0,3.6010287972660295,,,,,,193676443700.0,4170000.0,106792206.859263,446998700.0,86.4232035190909,,,,0.18416791268752802,240155.0,393607609.76155496,2424995148.50918,44.125,3.39357220942884,,358524819.856319,-5304164.6594505,2434339138.17913,50.622998783724206,80100000.0,491.378,,,,0.0,340399000.0,-4.6110542693023895,103000.0,3800.0,,38840614900.0,1.38148362461279,,18.163207711010802,5.581668625146889,,,31434354700.0,4.3779668866504595,,11.899388749001,73.11994292699279,1887621678.7342103,,1381920.0,907521.0,165083483300.0,1365.9413560366802,2141903000.0,,3.02977017482923,36899872332.7148,358524819.856319,291599700.0,3.8197204604185404,-8.02079940796239,285000.0,11.6204867598605,0.0,0.56390977443609,0.255282406955316,,251001.0,,160413958100.0,336511925.82858396,,,6.97972588947981,103.618655469546,,33595043800.0,1583499400.0,,-17743145.6919551,,14.82,34190000.0,44.9540494384624,,,84200000.0,51100.0,0.0,56978065.83877571,64.63844,5.82466869405778,,2096.80191328007,25.398570382344197,209690073735.773,,324489722.593254,0.0,9.677,5.9742112160000005,6.06726475784525,3035302000.0,504300000.0,,16.31,118.6612,84.7404296868532,17.2157129515587,-2.2768442564241003,,52.0161803867083,222.459,6.405,20.1,,,,-2.21567788508462,,2897612500.0,,0.0,-1.11347438102803,,508067406.768432,65.671,48809740.6430901,,218980015732.715,118813.0,3.6766468504678897,-1.05280265690317,,2.4307939100915803,1740.97665894178,-31688200.0,84412817.31877759,354.813781605648,0.0,100.0,99025825.9392615,7000000.0,29960060900.0,-3.0386827447587206,553000000.0,,126242623.96015,1153.524,43030655000.0,47.178485295142295,59.50801,3.48689962680579,31815399400.0,481493083.67189807,6.535981529258589,,,,0.0,0.0,,133.333333333333,,-3.88240940049002,,-106001300.0,,92564521.07333729,,,-4.6482429794795594,6263920.65,,
WSM,,,,30000.0,,,560.0,0.0,,,,,53.85,,107.282172635004,,,,15.9010600706714,,,49.2842554026454,,,396.37,,,18.335,,,30000.0,,18.986,,39.6187279151943,,,,,,0.7155149997155151,,0.0891893579258123,,,,,,,,,2830.0,,,,,,21287.0,,,,,,,,0.163528687756977,,,,,,,0.0,,230000.0,,47.25,0.0,,,,,,,,19.787985865724398,,,,50.469512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7088600.0,,3.1492958956754906,,,,,,,,,,103.018986522712,,,,,,,,47.772,,,,,,,,18.335,,,,,,,,10.0,,,,,,3.53356890459364,,,,0.26756807377743697,,,,,,112121.0,90834.0,,,,,2.05670659376923,,,,3.46518456300141,,10000.0,,,,3.62850927630956,,,,,,,,,,,,,,,,82.6,230000.0,49.69987781057961,,,5485560.0,2840.0,,,43.5527,4.263186112292249,,,,,,,,14.153,0.715505063533782,,,,,97.79,77.1462,,,,,48.2434155956511,518.789,7.645,32.62,,,,,,,,,,,,81.014,,,,,,,,,,,,,,100.0,,,,,,,,,,,29.6424,3.0754113077894902,,,,,,,0.0,,,10.0,,,,,,,,,,,,
NPL,531959564.552029,,,10730000.0,,,35530.0,0.0,,,,1.9082659692723603,35.666,,75.6881057408131,,,,0.17482517482517498,,,50.1858073001941,,,518.984,,,80.674,,,10730000.0,,3.571,396.763504178547,71.43463636363641,3996999900.0,524609518.573762,,,,7.619000006619,,0.17679617720850602,,,,,,,,,143000.0,100.0,,,10363.1417953309,,364783.0,,,,2.0170706036718897,132740.0,,0.0466546102693783,0.007897483278028241,,,216.7,524609518.573762,,,0.0,,66010000.0,,35.407,0.0,,,,,,,,24.846153846153804,10250000.0,,,35.5333414634146,531959564.552029,,,,,0.32995354042606106,,,,,,,,,,,,169.275517091003,,,,,4052999900.0,105861079000.0,,,,,0.0,,,1.56087655112779,,,,,,,22300000.0,,,71.132872910693,323.0,,,,121084.0,,,44.541,2.68799999259757,,,0.0,1729175306.23871,33.1934328079982,,80.674,,,,,,,1715000.0,180.0,,,3.82860248382694,,1.1853371163407902,12.629370629370598,,,,1.05040032195308,,,,,,10215153.0,9850370.0,,,,,2.5927952327292596,,,56000000.0,4.14209316475923,,1806000.0,,,,,10000.0,121084.0,,,,,,,,,,3996999900.0,,,,28.4,66010000.0,40.4881551945429,,,5000000.0,147180.0,,,24.37679,4.55523283012014,,396.763504178547,,,,,,27.231,7.61899995803833,,,,85254.0,28.21,126.29,,,,,56.9190495727279,555.239,5.96,30.01,,,,,,4052999900.0,,,,,,96.429,7350045.97826752,,,3167000.0,,,190000.0,,,0.0,,52.0755356823368,,100.0,,10000000.0,,,,,,1846.647,,,22.07787,1.4665554889751797,,,,,,,0.0,,,0.9966777408637869,,,,,,,50000.0,,,24149979.65,,
