Country, NY.GDP.MKTP.CD, NE.DAB.DEFL.ZS, TG.VAL.TOTL.GD.ZS, DT.ODA.ODAT.CD, MS.MIL.MPRT.KD, NE.CON.PETC.CN, AG.LND.AGRI.K2, EN.ATM.CO2E.GF.KT, DC.DAC.BELL.CD, NY.GNP.MKTP.KD, NE.RSB.GNFS.KN, NY.GDP.MKTP.KD.ZG, SP.DYN.LE00.FE.IN, EG.IMP.CONS.ZS, SP.POP.DPND, NE.CON.PETC.KD, EN.CO2.BLDG.ZS, NE.RSB.GNFS.ZS, AG.LND.CROP.ZS, NY.GDP.MKTP.CN, NE.EXP.GNFS.KD, SP.POP.TOTL.FE.ZS, NY.GDP.DISC.KN, TM.VAL.MRCH.WL.CD, SP.DYN.AMRT.FE, TM.VAL.FUEL.ZS.UN, DC.DAC.KORL.CD, NE.IMP.GNFS.CD, EN.ATM.CO2E.KT, TM.VAL.MRCH.R5.ZS, TM.VAL.AGRI.ZS.UN, DT.ODA.ALLD.CD, SP.URB.TOTL.IN.ZS, NY.GDP.PCAP.CN, EN.POP.DNST, NY.GDP.FCST.CN, TX.VAL.FUEL.ZS.UN, NV.IND.TOTL.KD.ZG, NY.GDP.FCST.CD, EG.USE.COMM.CL.ZS, FR.INR.LNDP, NE.IMP.GNFS.KD.ZG, AG.PRD.FOOD.XD, PA.NUS.FCRF, NE.GDI.FPRV.CN, AG.LND.ARBL.HA.PC, NE.CON.GOVT.KD, NY.GNS.ICTR.GN.ZS, TM.VAL.MRCH.RS.ZS, NE.DAB.TOTL.KD, NE.EXP.GNFS.KD.ZG, NY.GDS.TOTL.ZS, NE.GDI.STKB.KN, NY.GDS.TOTL.CD, AG.LND.TOTL.K2, NV.SRV.TETC.ZS, NY.TTF.GNFS.KN, NE.CON.GOVT.KN, ER.H2O.INTR.PC, DC.DAC.FRAL.CD, SP.URB.TOTL, IP.PAT.NRES, NY.GDP.PCAP.KN, SP.POP.DPND.YG, NY.GDY.TOTL.KD, NE.EXP.GNFS.CN, SH.DTH.MORT, TX.VAL.MRCH.R1.ZS, DC.DAC.DEUL.CD, EN.ATM.CO2E.KD.GD, NV.IND.MANF.KD.ZG, EN.ATM.CO2E.PC, NE.GDI.TOTL.KD, TM.VAL.MRCH.R3.ZS, SP.DYN.IMRT.IN, NV.SRV.TETC.CD, DC.DAC.NORL.CD, TX.VAL.MRCH.WR.ZS, EN.ATM.CO2E.GF.ZS, TX.VAL.MRCH.OR.ZS, DT.ODA.ODAT.KD, NY.GSR.NFCY.CN, SP.DYN.LE00.MA.IN, EN.ATM.CO2E.SF.ZS, NE.GDI.STKB.CD, NV.IND.MANF.CD, NY.TRF.NCTR.CN, NY.GNP.ATLS.CD, IP.TMK.RESD, NE.IMP.GNFS.CN, TM.VAL.MRCH.AL.ZS, NV.IND.TOTL.ZS, AG.LND.AGRI.ZS, ER.H2O.FWTL.K3, DC.DAC.TOTL.CD, TM.VAL.MRCH.WR.ZS, SP.DYN.LE00.IN, NY.GNP.MKTP.CD, NV.AGR.TOTL.ZS, DC.DAC.ITAL.CD, DC.DAC.CANL.CD, EG.ELC.NUCL.ZS, NY.GDP.PCAP.KD.ZG, TX.VAL.MRCH.R5.ZS, NV.IND.TOTL.CN, TX.VAL.FOOD.ZS.UN, NY.GNP.PCAP.KN, AG.LND.PRCP.MM, DT.ODA.ODAT.GN.ZS, NE.CON.TETC.CN, NY.GNS.ICTR.CN, NE.GDI.TOTL.ZS, NY.ADJ.ICTR.GN.ZS, EN.CO2.TRAN.ZS, NY.GDP.PCAP.KD, FR.INR.DPST, NV.SRV.TETC.KD, IP.PAT.RESD, NV.AGR.TOTL.CN, TX.VAL.MRCH.R3.ZS, NY.GDP.MKTP.KN, NE.GDI.STKB.CN, NE.CON.TETC.CD, EN.CO2.ETOT.ZS, TX.VAL.MRCH.HI.ZS, NV.SRV.TETC.KN, TM.VAL.MRCH.CD.WT, TX.VAL.MRCH.AL.ZS, NY.GDP.DEFL.KD.ZG, SP.POP.GROW, NY.GDS.TOTL.KN, NY.TRF.NCTR.CD, EG.ELC.FOSL.ZS, DC.DAC.NLDL.CD, NE.IMP.GNFS.ZS, NE.CON.TETC.KN, FI.RES.XGLD.CD, NE.EXP.GNFS.CD, NY.GDS.TOTL.CN, SP.DYN.TO65.MA.ZS, SH.DYN.MORT, EN.CO2.MANF.ZS, FR.INR.LEND, NE.CON.PETC.ZS, EN.URB.LCTY, NV.IND.TOTL.KD, NE.CON.TETC.KD, SP.DYN.CBRT.IN, TX.VAL.MANF.ZS.UN, EG.ELC.RNWX.KH, NE.CON.PETC.CD, NY.GDP.MKTP.KD, EN.URB.LCTY.UR.ZS, TX.VAL.MRCH.WL.CD, EN.ATM.CO2E.LF.KT, TM.VAL.MANF.ZS.UN, BX.PEF.TOTL.CD.WD, EN.CO2.OTHX.ZS, TM.VAL.MRCH.R4.ZS, NE.CON.GOVT.CN, NY.GNP.PCAP.KD.ZG, AG.LND.CREL.HA, AG.AGR.TRAC.NO, EG.ELC.LOSS.ZS, NV.IND.TOTL.KN, NY.GDP.DEFL.ZS, NY.GDP.FCST.KD, EN.URB.MCTY.TL.ZS, AG.LND.ARBL.ZS, BN.TRF.CURR.CD, MS.MIL.XPRT.KD, NE.GDI.TOTL.KN, DT.ODA.ODAT.PC.ZS, EG.ELC.RNWX.ZS, NE.CON.GOVT.KD.ZG, EG.USE.CRNW.ZS, FP.WPI.TOTL, NE.CON.PRVT.KD, NY.TRF.NCTR.KN, SP.POP.TOTL, SP.RUR.TOTL, NE.CON.PETC.KN, NE.CON.PRVT.PC.KD, NE.CON.PRVT.CN, NE.DAB.TOTL.KN, IP.TMK.TOTL, SP.POP.65UP.TO.ZS, NY.EXP.CAPM.KN, NE.CON.PRVT.CD, NY.TAX.NIND.CN, SP.URB.GROW, NE.CON.PRVT.PC.KD.ZG, AG.LND.ARBL.HA, NE.CON.GOVT.ZS, TM.VAL.MRCH.R1.ZS, TM.VAL.MRCH.OR.ZS, FP.CPI.TOTL, DC.DAC.JPNL.CD, EN.URB.MCTY, NV.IND.MANF.ZS, NE.CON.PRVT.KN, NE.GDI.TOTL.CD, NE.GDI.FTOT.ZS, NY.GSR.NFCY.KN, NE.GDI.TOTL.KD.ZG, NE.DAB.TOTL.ZS, NE.GDI.FTOT.KD, EG.ELC.COAL.ZS, NV.AGR.TOTL.KN, NV.SRV.TETC.CN, NY.GNS.ICTR.CD, NE.RSB.GNFS.CD, DC.DAC.AUTL.CD, TM.VAL.MRCH.HI.ZS, DT.ODA.ALLD.KD, SP.POP.0014.TO.ZS, NE.CON.TOTL.KN, FR.INR.RISK, FR.INR.RINR, TX.VAL.MRCH.CD.WT, AG.SRF.TOTL.K2, NE.EXP.GNFS.ZS, NE.CON.GOVT.CD, SP.DYN.TO65.FE.ZS, SP.POP.DPND.OL, SH.MED.PHYS.ZS, NY.GNP.PCAP.CN, ER.H2O.INTR.K3, NY.GNP.MKTP.KN, EG.ELC.NGAS.ZS, NV.AGR.TOTL.KD, TM.VAL.MRCH.R6.ZS, SP.DYN.CDRT.IN, PA.NUS.ATLS, NE.GDI.FTOT.KD.ZG, NE.DAB.TOTL.CN, NE.GDI.FTOT.CN, SH.DTH.IMRT, AG.PRD.CROP.XD, SP.ADO.TFRT, NE.CON.TETC.ZS, TX.VAL.MMTL.ZS.UN, NE.CON.TETC.KD.ZG, NV.IND.MANF.KD, SP.POP.1564.TO.ZS, SP.DYN.AMRT.MA, SP.DYN.TFRT.IN, AG.PRD.LVSK.XD, EG.ELC.PETR.ZS, TM.VAL.FOOD.ZS.UN, EG.USE.COMM.FO.ZS, NE.CON.TOTL.KD, TX.VAL.AGRI.ZS.UN, EN.ATM.CO2E.EG.ZS, NY.GNP.MKTP.CN, DC.DAC.SWEL.CD, NY.GDP.DISC.CN, NY.GNP.MKTP.KD.ZG, EG.USE.ELEC.KH.PC, NE.DAB.TOTL.CD, SP.RUR.TOTL.ZS, NY.TAX.NIND.CD, SH.MED.BEDS.ZS, TX.VAL.MRCH.RS.ZS, AG.PRD.CREL.MT, NV.AGR.TOTL.KD.ZG, NY.GDY.TOTL.KN, FP.CPI.TOTL.ZG, NY.GNP.PCAP.KD, NE.GDI.FTOT.CD, NE.CON.TOTL.CN, NY.GSR.NFCY.CD, NY.GDP.PCAP.CD, TX.VAL.MRCH.R6.ZS, NY.GNP.PCAP.CD, EN.ATM.CO2E.LF.ZS, NV.IND.TOTL.CD, DC.DAC.USAL.CD, NE.EXP.GNFS.KN, NV.SRV.TETC.KD.ZG, NE.GDI.TOTL.CN, NE.CON.TOTL.CD, NV.AGR.TOTL.CD, AG.YLD.CREL.KG, NE.IMP.GNFS.KN, NE.TRD.GNFS.ZS, SM.POP.NETM, SP.RUR.TOTL.ZG, NE.GDI.FTOT.KN, NE.IMP.GNFS.KD, DT.ODA.ODAT.GI.ZS, DC.DAC.CECL.CD, EG.ELC.HYRO.ZS, EG.USE.PCAP.KG.OE, DC.DAC.DNKL.CD, EN.ATM.CO2E.SF.KT, NE.CON.PRVT.KD.ZG, TX.VAL.MRCH.R4.ZS, NY.TAX.NIND.KN, AG.LND.TRAC.ZS, NY.GDP.FCST.KN, NE.CON.PETC.KD.ZG, NY.GNS.ICTR.ZS, NE.RSB.GNFS.CN, NV.IND.MANF.CN, DC.DAC.GBRL.CD, ER.H2O.FWTL.ZS, DC.DAC.CHEL.CD, IP.TMK.NRES, TM.VAL.MMTL.ZS.UN, FI.RES.TOTL.CD, NV.IND.MANF.KN, NE.GDI.FPRV.ZS
MDA,,,,,,,,,,,,,66.4,,64.12713198926521,,,,,,,53.194103662766295,,,184.595,,,,,,,,25.027,,92.7996655867907,,,,,,,,139.5,,,,,,,,,,,,32870.0,,,,,,666719.0,,,54.2879445417871,,,,,,,,,,,,,,,,,,,58.872,,,,,,,,,,,,,,62.5441951219512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23960774728125,,,,,,,,,,51.55662,,,,,244674.0,,,25.91,,,,,36.6982191897936,,,,,,,,,,,,,,,,,,,,,,,,,,,2664000.0,1997281.0,,,,,,5.99485749055967,,,,5.533701083003111,,,,,,,,,,,,,,,,,,,,,,,,,33.0767695020197,,,,,33760.0,,,68.15052,9.83918744747809,,,,,,,,11.058,,,,,,121.7,31.639,,,,,60.928373007420596,322.561,3.178,200.1,,,,,,,,,,,,,74.973,,,,,,,,,,,,,,,,,,,,,,,,,,100890.0,1.1637179119171202,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,9122751.45318345,,537.118656048676,,,1256199900.0,3190.0,0.0,,,,,38.89,,74.4901065449011,,,16.7770266642806,3.5650623885918,2235200000.0,,51.036287508723,,,451.431,,,4685450.37055056,22.002,,,,26.234,8665.58114290145,9.19572192513369,,,,,,,,119.93,245.013850686544,,0.44584011785686606,,,,,,33.2856164996421,,3036564.06292217,28050.0,,,,100798.635341552,,67668.0,,,65.7554540842212,,1523000100.0,,,,,,0.0852989067224936,,,,,,,0.0,,,0.0,35.849,0.0,,,,,,1148000000.0,,,11.372549019607801,,,,37.332414634146296,9122751.45318345,,,,,,,,,,2156.0,,1491199900.0,,16.5085898353615,,,,,,,,,,,6086187.39026128,,,,24000000.0,,,1.1071374588479599,,,,,51.360057265569104,,,6215976.81436719,744000100.0,24.48739,,,,56.20078292770221,,,,40.318,,,5127057.74123743,,,,22.002,,,,,235000000.0,,,,,,,,,4.09982174688057,,,,,,,,,,,257940.0,190272.0,,,,,,5.00581530588509,,,,1.4513394725081297,,115000.0,10.5136005726557,,,,,,,,1506037.61910554,,,,83.2229733357194,,,,,,1530526.44381663,,,,37.684345196557295,,,,25000000.0,28050.0,68.1370839298497,959129.6490238509,29.79315,8.73465246067986,,8665.58114290145,26.0,,,,,27.059,245.0138,,1860199900.0,,,130.86,126.195,66.7143835003579,,,,57.309839497557604,513.828,5.529,38.45,,,,,,,2235200000.0,,,,,7592225.00936682,73.766,,,,,,,,,,,0.0,35.367726809271396,,,100.0,,,,,369000000.0,,,,,119.497141195419,0.0,0.985011093421514,,,,,,,,0.0,,,,,,,,375000100.0,,,,,,,,,
TMP,,,,,,,2300.0,,,,,,35.315,,80.4299388043308,,,,0.672494956287828,,,49.2453318800416,,,524.04,,,,,,,,10.511,,34.7979825151311,,,,,,,,81.64,,,0.135279816637871,,,,,,,,,14870.0,,,,15876.052766858798,,54389.0,,,75.80835817772899,,,,,,,,,,,,,,,,,,,34.171,,,,,,,,,,15.467383994619999,,,,34.7290487804878,,,,,,,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,1.7811706886796599,,,,,,,,,,20.54959,,,,,,,,45.93,,,,,,,,,,,,,,29000.0,8.0,,,,,,4.70746469401479,,,,,,,,,,,517446.0,463057.0,,,,,,2.56142669959765,,,,4.36497829749866,,70000.0,,,,,,,,,,,,,,,,,,,,,,,42.015398708271,,,,,14870.0,,,23.85212,4.62158062660181,,,8.215,,,,,28.291,,,,,,41.07,66.628,,,,,55.423174592131396,571.37,6.375,120.71,,,,,,,,,,,,,89.489,,,,35300.0,,,,,,,,,,,,,,,,,,,1217.241,,,670.0,1.48202107274468,,,,,,,,,,,,1.14285714285714,,,,,,,,,,,,,
TUN,,,,70110000.0,,,86270.0,14.668,,,,,44.363,,90.9448869005064,,,,7.40216271884655,,,49.9878460562428,,215200000.0,404.98,7.94700601499653,,,1796.83,1.90520446096654,3.1442346908335095,70110000.0,38.391,,28.0047052008239,,0.0195118448517887,,,,,,25.77,0.41999999942,,0.7125108399330609,,,4.228624535315991,,,,,,155360.0,,,,964.188055973932,15800000.0,1670320.0,,,83.89603299263699,3856600000.0,,52592.0,0.691443388072602,500000.0,,,0.412987371779652,,2.74163568773234,178.7,,,3.4572169403630095,0.816326530612245,6.309420916162489,463560000.0,,42.369,5.10204081632653,,,,,,,1.11524163568773,,55.52909371781671,,69590000.0,1.11524163568773,43.3416829268293,,,290000.0,,,,0.950734658599827,,63.5081901958634,,207.0,,,,,,,,,,,,2.3336214347450297,,,,,84.7018150388937,,216405000.0,3.4572169403630095,,1.70236959780238,,,,,,,55100000.0,,,32.07645,267.8,,,,614036.0,,,49.849,8.5497084411593,,,,36.761578619665706,115700000.0,1507.137,62.8034449650377,,,1.11524163568773,,,1116346.0,10654.0,,,,,14.1131389067464,19.953656024716803,,,,16.1142370928087,,,,6.74120482683446,,,4350811.0,2680491.0,,,,,,3.6915686953450098,,,,2.85775198832279,,3100000.0,,,5.94795539033457,,,614036.0,,,,,,,,,,,,,,,88.7081784386617,463560000.0,43.9372968048839,,,,115929000.0,163610.0,,,35.8435,7.04885390786937,,,4.195,,,,0.37174721189591103,21.063,,,,,35594.0,27.56,67.104,,22.831812986899,,,52.3711344997711,451.248,7.118,20.65,,25.089850476251502,,,5.09076100387307,,,,,,,,61.609,,,5.5315471045808104,814367.0,,,,,,,,,1.21002592912705,,83.8775510204082,,53000000.0,,,,,,729.493,,,-142495.0,0.989098154772142,,,,,,,,91.675,,3.4572169403630095,,34.3677419354839,,,,,,,,,,1.00872809345329,58506805.009902894,,
YEM,,,,18080000.0,,,233480.0,0.0,,,,,35.934,,84.85031870177541,,,,0.14205352576851002,,,50.0072200678555,,,459.634,,,,3887.02,,,18080000.0,9.831,,10.1128567911056,,,,,,,,28.73,,,0.23842143657811898,,,,,,,,,527970.0,,,,393.311089406166,,524905.0,,,78.6271260200586,,,,,160000.0,,,0.7280038432112159,,,,,,,0.0,,140700000.0,,33.602,0.0,,,,,,,,,44.2222095952421,,17880000.0,,34.7395609756098,,,-30000.0,,,,,,,,167.0,,,,,,,,,,,,,,,,,,,256000000.0,,,1.654696052643,,,,,,,,,,22.23303,,,,,134616.0,,,50.568,,,,,25.6457835227327,,3887.02,,,,,,,1233668.0,440.0,,,,,1.46918548082749,2.4111218440441697,,,,3.38622118879213,,,,,,,5339285.0,4814380.0,,,,,,3.36661182162031,,,,5.51203470302795,,1273000.0,,,,,,78444.0,,,,,,,,,,,,,,,,140700000.0,42.5355642188046,,,,192000000.0,527970.0,,,26.87643,6.223192681716791,,,2.1,,,,,30.141,,,,,,31.68,158.476,,,,,54.0978239595751,518.341,7.437,27.73,,,,,,,,,,,,,90.169,,,,963100.0,,,,,,,,,,,100.0,,6000000.0,,,,,,780.68,,,-100000.0,1.24299249254623,,,,,,,,0.0,,,,3.45640219952867,,,,,,11750000.0,,,,,,,
BDI,213500006.0,,13.1147537297961,11070000.0,,9887500300.0,15900.0,0.0,8550000.0,,,9.06315793459677,43.482,,89.47567558367729,,,-3.27868843244904,8.95638629283489,10675000300.0,,51.654684212526504,,,401.276,,,35000000.0,44.004,,,11070000.0,2.154,3688.01638273836,112.714563862928,10325000200.0,,,206500004.0,,,,63.74,50.00000004899999,,0.24183713305533602,,,,,,4.0983605405613,,8750000.0,25680.0,,,,3475.54508362383,,62348.0,,144002.91472477198,83.8164962733415,,1400000000.0,,,10000.0,0.11418349780389801,,0.0152025731470957,,,,,,,0.0,,104540000.0,-114400300.0,40.316,0.0,0.0,,,206666179.554777,,1750000000.0,,,61.9158878504673,,10810000.0,,41.860390243902394,211212002.0,,,,,7.0233881446187105,,,,,1274.0,5.24117942880916,10237500300.0,,7.37704897301033,,,133.141596110543,,,,,,416817876700.0,0.0,204750006.0,,,,19000000.0,,-3.5674164537171604,1.8879753649251898,,,,,16.3934421622452,,,28000000.0,437500000.0,30.1747,,,,92.62295102698971,54367.0,,,48.148,,,197750006.0,385379681.357928,87.199268621287,,44.004,,,,,350000000.0,,127800.0,2.0,,,2.5610706490123,364945266.04296,,27.2585669781931,,,,3.8244815184608103,,,,,,,2894510.0,2832162.0,,,9887500300.0,,,2.98675768955712,,197750006.0,350000000.0,3.71544590021583,,700000.0,3.27868843244904,,,,,,,,15750000.0,7.37704897301033,,,103.278688432449,,,,,,-7000000.0,,,104540000.0,44.23601922259729,,,,9000000.0,27830.0,13.1147537297961,7000000.0,35.91338,5.6591793103358,,3648.4932164684205,10.06,,,,,22.583,50.0,,11025000300.0,787500000.0,,54.68,46.669,95.90163945943871,,,,52.7772230878456,462.35,7.045,61.26,,,,,,,10560600100.0,,0.0,,,220500006.0,97.846,7000000.0,,,129150.0,,,,,15750000.0,10237500400.0,-2288006.0,73.7603276547671,,70.0,100.0,,1500000.0,,,787500000.0,204750008.0,,1010.563,,29.5081958920413,-84989.0,1.8481182362551103,,,70.28571428571429,750000.0,,,,0.0,,,19191345700.0,0.0285714285714286,394716479000.0,,,-350000000.0,,,,,,,,,
CUW,,,,,,,,,,,,,,,85.4166365854715,,,,,,,50.206275398863404,,,,,,,,,,,75.49,,289.22072072072103,,,,,,,,,,,,,,,,,,,,444.0,,,,,,96940.0,,,76.6290772051923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79859409061968,,,,,,,,,,63.06494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128414.0,31474.0,,,,,,4.73932187444576,,,,2.3145944639585,,,,,,,,,,,,,,,,,,,,,,,,,41.3283364563814,,,,,444.0,,,70.14251,8.78755938027925,,,,,,,,,,,,,,,99.417,,,,,53.93234166917279,,,,,,,,,,,,,,,,24.51,,,,,,,,,,,,,,,,,,,,,,,,,,-7752.0,0.225837842698007,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,479181220.002129,1.35553170511985,43.0734743734495,9300000.0,,2288902900.0,14100.0,0.0,,2577358120.22975,-12240584704.0,8.14832001178185,63.421,,92.2589554602406,1993426465.36302,,-2.7553407700570203,3.9169604386995696,3186600400.0,333480911.005232,49.16301533663321,4931260400.0,111900000.0,181.895,,,126238897.635398,550.05,0.357462019660411,,9300000.0,34.404,2224.3740153275603,28.0568546807677,,,8.44557793033292,,,,6.39009097119252,15.71,6.625000005625,,0.198941352787238,587891372.7381,,5.45129579982127,2811476900.06332,11.948264764708801,16.6979989081781,-1958682100.0,80013674.8841502,51060.0,,7452508527.09423,32280899600.0,78459.67737994941,,492866.0,,160073.041980814,86.4044223036992,2645200000.0,751698900.0,,,,0.208930243318448,,0.38395681087936995,390810008.05411,6.6130473637176,,257575121.324376,,4.51306413301663,0.0,0.0,55020000.0,-63482900.0,60.615,0.0,4375877.66011137,,,514437724.53903097,,839500600.0,0.0,,27.614571092831998,,9000000.0,6.6130473637176,61.9837804878049,469635069.95672303,,,,,4.323677155656299,0.0,650701200.0,,156803.948913339,2926.0,1.9802609717491897,2654501900.0,,19.453339678235103,,,1837.72729491417,,1641229032.1163,,823000100.0,4.51306413301663,229317918700.0,29100000.0,399167545.117979,,92.6365795724465,132746133500.0,113400000.0,0.0,0.587467379079555,3.60052720416001,,,,,26.3447089255371,206617608200.0,10509999.9996,113035822.118223,532098500.0,60.75536,,,,71.8289905442804,251001.0,426850047.183688,2587029624.81943,43.469,,,344191033.205297,2632696881.33002,50.926823923744,84200000.0,550.05,,,,0.0,365599000.0,3.33846959077758,112000.0,4200.0,,42120929300.0,1.38959939025471,,18.3140523097091,5.581668625146889,,,34940895200.0,6.491770459373031,,7.93294391980584,,0.183253461658778,1993426259.81875,,1432583.0,939717.0,169405448200.0,1391.49093617525,2288902900.0,241558503400.0,,3.0451289733299904,40992276827.0942,344191033.205297,316199500.0,3.8188592067615,1.8704741624271202,285000.0,11.473010547541499,0.0,0.357462019660411,0.262118511620268,,262364.0,,169405448200.0,93216750.4013255,18.540137633824397,,11.1551216287573,102.75534077005699,390956180.06004703,,35654000600.0,1712898900.0,,-13203075.5171753,,87.5781948168007,55020000.0,44.9416892424383,,,,93000000.0,51100.0,23.589368155480102,54976511.9126824,65.84342,5.85453315654139,,2180.0604921320396,112.4,224634671546.117,,344376891.809075,0.0,9.303,6.6500945091,16.1789969545377,3274402100.0,590800100.0,,17.47,118.404,83.30200109182191,,6.681847442451769,,52.0131817842317,213.385,6.322,19.36,,,,,,,3123117600.0,,0.0,7.12699344518126,,492384295.519305,65.596,47548121.2435872,,2.85035629453682,131894.0,6.128751646396131,236770427227.094,2.6778596874278797,1799.0986352830898,88840857.70383391,,-9546165.0827864,334.487579429694,0.0,360.0,100.0,97848413.8999197,9000000.0,33539768300.0,9.02727554471217,619900200.0,,123757654.703073,1177.625,45780353000.0,49.9340770810171,7905.0,3.4862059738312996,36962811900.0,512260929.738533,9.976747698198839,,,,,0.0,5.605179378713929,0.0,,147.36842105263202,,2.61804804066669,,-87801700.0,,,,,,,12599154.9695404,,
WSM,,,,90000.0,,,570.0,0.0,,,,,54.35,,109.321160625508,,,,15.9010600706714,,,49.31252483029039,,,388.796,3.54290127417563,,,18.335,,3.38567884122755,90000.0,19.061,,40.9137809187279,,,,,,,,90.34,0.71918999971919,,0.0950028500855026,,,,,,,,,2830.0,,,,,,22070.0,,,104.882943143813,,,,,,,,0.15835247784706302,,,,,,,0.0,,670000.0,,47.75,0.0,,,,,,,,,20.141342756183697,,,,50.969512195122,,,,,,,,,99.1206326318375,,,,,,,,,,,,,,,,,,,,,7957560.0,,,3.2165014457803602,,,,,,,,,,30.36236,,,,,,,,47.325,0.0,,,,,,18.335,56.3945299297134,,,,,,,10.0,,,,,,3.886925795053,,,,0.7772960461541121,,,,,,,115786.0,93716.0,,,,,,2.12029088145372,,,,3.61226625181042,,11000.0,,,,3.7248413809903402,,,,,,,,,,,,,,,,,,670000.0,50.106230459641104,,,,7804610.0,2840.0,,,44.3851,4.43821748169574,,,,,,,,13.748,0.71917998790741,,,,,107.54,77.145,,,,,47.7734786589052,511.354,7.63,35.21,,35.380443946161705,,,0.0854575487264029,,,,,,,,80.939,,,,,,,2.6548672566370297,,,,,,,,100.0,,,,,,,,,,,-1453.0,3.12352675465968,,,,,,,,0.0,,,,9.09090909090909,,,,,,,,,,0.0931741089330177,,,
NPL,574091104.356191,,,9040000.0,,,35530.0,0.0,,,,1.9103200336735702,36.087,,76.8330322230595,,,,0.17482517482517498,4374000100.0,,50.185596866010506,,,515.089,,,,88.008,,,9040000.0,3.612,421.50663853667197,72.5668601398601,4312999900.0,,,566084778.022557,,,,28.66,7.619000006619,,0.17403771645941,,,,,,,,,143000.0,100.0,,,19099.820267029398,,374819.0,,10396.3313311929,72.1746841750277,,,132641.0,,,0.0499418885730789,,0.0084810140366333,,,213.3,566084778.022557,,,0.0,,55280000.0,0.0,35.824,0.0,,,,557304590.820566,,,,,24.846153846153804,,8320000.0,,35.952292682926796,574091104.356191,,,,,0.320265190976571,,,,,1500.0,1.5746629640147098,,,,,,169.817647649091,,,,,,107883364400.0,,,,,0.0,,,5.897091000955941,1.57254908597685,,,,,,,22200000.0,,,22.46463,318.1,,,,123745.0,,,44.226,,,,1762208088.53113,33.0146017144275,,88.008,,,,,,,1724500.0,190.0,,,4.05437865636307,,1.1924860035033,12.629370629370598,,,,0.8711522462863042,,,,,,,10377061.0,10002242.0,,,,,,2.63432006422627,,,61000000.0,2.7140586545564402,,1806000.0,,,,,30000.0,123745.0,,,,,,,,,,,4312999900.0,,,,,55280000.0,40.8151595138546,,,,6000000.0,147180.0,,,24.77125,4.6583480480317805,,421.50663853667197,198.2,,,,,26.783,7.61899995803833,,,,86006.0,28.34,126.29,,,,,56.550520421919096,551.15,5.962,30.68,,,,,,,4374000100.0,,,,,,96.388,8006300.08346997,,,3177026.0,,,,,,,0.0,55.3230923819559,,50.0,100.0,,8000000.0,,,,,,1842.288,,,-70000.0,1.53002499346962,,,,,,,,0.0,,,,1.05204872646733,,,,,,290000.0,,,,,24045769.1699474,,
