Country, NY.GDP.MKTP.CD, NE.DAB.DEFL.ZS, TG.VAL.TOTL.GD.ZS, DT.ODA.ODAT.CD, MS.MIL.MPRT.KD, NE.CON.PETC.CN, AG.LND.AGRI.K2, EN.ATM.CO2E.GF.KT, NV.MNF.OTHR.ZS.UN, DC.DAC.BELL.CD, NY.GNP.MKTP.KD, NE.RSB.GNFS.KN, NY.GDP.MKTP.KD.ZG, SP.DYN.LE00.FE.IN, EG.IMP.CONS.ZS, SP.POP.DPND, NE.CON.PETC.KD, EN.CO2.BLDG.ZS, NE.RSB.GNFS.ZS, AG.LND.CROP.ZS, NY.GDP.MKTP.CN, NE.EXP.GNFS.KD, SP.POP.TOTL.FE.ZS, EG.ELC.COAL.ZS, TM.VAL.MRCH.WL.CD, SP.DYN.AMRT.FE, TM.VAL.FUEL.ZS.UN, DC.DAC.KORL.CD, NV.AGR.TOTL.CN, NE.IMP.GNFS.CD, EN.ATM.CO2E.KT, TM.VAL.MRCH.R5.ZS, TM.VAL.AGRI.ZS.UN, DT.ODA.ALLD.CD, SP.URB.TOTL.IN.ZS, NY.GDP.PCAP.CN, EN.POP.DNST, NY.GDP.FCST.CN, TX.VAL.FUEL.ZS.UN, NY.GDP.FCST.CD, EG.USE.COMM.CL.ZS, FR.INR.LNDP, NE.IMP.GNFS.KD.ZG, NV.MNF.TXTL.ZS.UN, AG.PRD.FOOD.XD, PA.NUS.FCRF, NE.GDI.FPRV.CN, AG.LND.ARBL.HA.PC, NE.CON.GOVT.KD, NY.GNS.ICTR.GN.ZS, TM.VAL.MRCH.RS.ZS, NE.DAB.TOTL.KD, NE.EXP.GNFS.KD.ZG, NY.GDS.TOTL.ZS, NE.GDI.STKB.KN, NY.GDS.TOTL.CD, AG.LND.TOTL.K2, NV.SRV.TETC.ZS, EN.CO2.TRAN.ZS, NY.TTF.GNFS.KN, NE.CON.GOVT.KN, NY.GDP.PCAP.KN, DC.DAC.FRAL.CD, SP.URB.TOTL, IP.PAT.NRES, TX.VAL.MRCH.RS.ZS, SP.POP.DPND.YG, NY.GDY.TOTL.KD, NE.IMP.GNFS.KD, DT.ODA.ODAT.GN.ZS, SH.DTH.MORT, TX.VAL.MRCH.R1.ZS, DC.DAC.DEUL.CD, IP.PAT.RESD, EN.ATM.CO2E.PC, NE.GDI.TOTL.KD, NV.MNF.FBTO.ZS.UN, SP.DYN.IMRT.IN, NV.SRV.TETC.CD, DC.DAC.NORL.CD, TX.VAL.MRCH.WR.ZS, EN.ATM.CO2E.GF.ZS, TX.VAL.MRCH.OR.ZS, DT.ODA.ODAT.KD, DC.DAC.SWEL.CD, SP.DYN.LE00.MA.IN, NV.MNF.MTRN.ZS.UN, EN.ATM.CO2E.SF.ZS, NE.RSB.GNFS.CD, NV.IND.MANF.CD, NY.TRF.NCTR.CN, NY.GNP.ATLS.CD, NE.IMP.GNFS.CN, TM.VAL.MRCH.AL.ZS, NV.IND.TOTL.ZS, AG.LND.AGRI.ZS, DC.DAC.TOTL.CD, TM.VAL.MRCH.WR.ZS, SP.DYN.LE00.IN, NY.GNP.MKTP.CD, NV.AGR.TOTL.ZS, DC.DAC.ITAL.CD, DC.DAC.CANL.CD, EG.ELC.NUCL.ZS, NY.GDP.PCAP.KD.ZG, TX.VAL.MRCH.R5.ZS, NV.IND.TOTL.CN, TX.VAL.FOOD.ZS.UN, NY.GNP.PCAP.KN, NE.DAB.TOTL.KN, NE.EXP.GNFS.CN, NE.CON.TETC.CN, NY.GNS.ICTR.CN, NE.GDI.TOTL.ZS, NY.ADJ.ICTR.GN.ZS, AG.AGR.TRAC.NO, IP.TMK.RESD, FR.INR.DPST, NV.SRV.TETC.KD, TM.VAL.MRCH.R3.ZS, TX.VAL.MRCH.R3.ZS, NY.GDP.MKTP.KN, NE.GDI.STKB.CN, NE.CON.TETC.CD, EN.CO2.ETOT.ZS, TX.VAL.MRCH.HI.ZS, NV.SRV.TETC.KN, TM.VAL.MRCH.CD.WT, TX.VAL.MRCH.AL.ZS, NY.GDP.DEFL.KD.ZG, SP.POP.GROW, NY.GDS.TOTL.KN, NY.GDP.DISC.KN, NY.TRF.NCTR.CD, EG.ELC.FOSL.ZS, DC.DAC.NLDL.CD, NV.IND.MANF.KD.ZG, NE.CON.TETC.KN, FI.RES.XGLD.CD, NE.EXP.GNFS.CD, NY.GDS.TOTL.CN, SP.DYN.TO65.MA.ZS, SH.DYN.MORT, EN.CO2.MANF.ZS, FR.INR.LEND, NE.CON.PETC.ZS, EN.URB.LCTY, NV.IND.TOTL.KD, NE.CON.TETC.KD, SP.DYN.CBRT.IN, TX.VAL.MANF.ZS.UN, EG.ELC.RNWX.KH, NE.CON.PETC.CD, NY.GDP.MKTP.KD, EN.URB.LCTY.UR.ZS, TX.VAL.MRCH.WL.CD, EN.ATM.CO2E.LF.KT, TM.VAL.MANF.ZS.UN, BX.PEF.TOTL.CD.WD, EN.CO2.OTHX.ZS, TM.VAL.MRCH.R4.ZS, NE.CON.GOVT.CN, NY.GNP.PCAP.KD.ZG, AG.LND.CREL.HA, IP.TMK.TOTL, NV.IND.TOTL.KN, NY.GDP.DEFL.ZS, NY.GDP.FCST.KD, EN.URB.MCTY.TL.ZS, AG.LND.ARBL.ZS, BN.TRF.CURR.CD, MS.MIL.XPRT.KD, NE.GDI.TOTL.KN, DT.ODA.ODAT.PC.ZS, EG.ELC.RNWX.ZS, NE.CON.GOVT.KD.ZG, EG.USE.CRNW.ZS, FP.WPI.TOTL, NE.CON.PRVT.KD, NY.TRF.NCTR.KN, SP.POP.TOTL, SP.RUR.TOTL, NE.CON.PETC.KN, NE.CON.PRVT.PC.KD, NE.CON.PRVT.CN, EN.ATM.CO2E.KD.GD, SP.POP.65UP.TO.ZS, NY.EXP.CAPM.KN, NE.CON.PRVT.CD, NY.TAX.NIND.CN, SP.URB.GROW, NE.CON.PRVT.PC.KD.ZG, AG.LND.ARBL.HA, NE.CON.GOVT.ZS, TM.VAL.MRCH.R1.ZS, TM.VAL.MRCH.OR.ZS, FP.CPI.TOTL, DC.DAC.JPNL.CD, EN.URB.MCTY, NV.IND.MANF.ZS, DC.DAC.CECL.CD, NE.GDI.TOTL.CD, NE.GDI.FTOT.ZS, NY.GSR.NFCY.KN, NE.CON.PRVT.KN, NE.GDI.TOTL.KD.ZG, NE.DAB.TOTL.ZS, NE.GDI.FTOT.KD, NV.AGR.TOTL.KN, NV.SRV.TETC.CN, NY.GNS.ICTR.CD, NE.GDI.STKB.CD, DC.DAC.AUTL.CD, TM.VAL.MRCH.HI.ZS, DT.ODA.ALLD.KD, SP.POP.0014.TO.ZS, NE.CON.TOTL.KN, FR.INR.RISK, FR.INR.RINR, TX.VAL.MRCH.CD.WT, AG.SRF.TOTL.K2, NE.EXP.GNFS.ZS, NE.CON.GOVT.CD, SP.DYN.TO65.FE.ZS, SP.POP.DPND.OL, SH.MED.PHYS.ZS, NY.GNP.PCAP.CN, NE.IMP.GNFS.ZS, NY.GNP.MKTP.KN, EG.ELC.NGAS.ZS, NV.AGR.TOTL.KD, TM.VAL.MRCH.R6.ZS, SP.DYN.CDRT.IN, PA.NUS.ATLS, NE.GDI.FTOT.KD.ZG, NE.DAB.TOTL.CN, NE.GDI.FTOT.CN, SH.DTH.IMRT, AG.PRD.CROP.XD, SP.ADO.TFRT, NE.CON.TETC.ZS, TX.VAL.MMTL.ZS.UN, NE.CON.TETC.KD.ZG, NV.IND.MANF.KD, SP.POP.1564.TO.ZS, SP.DYN.AMRT.MA, SP.DYN.TFRT.IN, AG.PRD.LVSK.XD, EG.ELC.PETR.ZS, TM.VAL.FOOD.ZS.UN, EG.USE.COMM.FO.ZS, NE.CON.TOTL.KD, TX.VAL.AGRI.ZS.UN, EN.ATM.CO2E.EG.ZS, NY.GNP.MKTP.CN, NY.GDP.DISC.CN, NY.GNP.MKTP.KD.ZG, EG.USE.ELEC.KH.PC, NE.DAB.TOTL.CD, SP.RUR.TOTL.ZS, NY.TAX.NIND.CD, SH.MED.BEDS.ZS, NY.GDY.TOTL.KN, AG.PRD.CREL.MT, NV.MNF.CHEM.ZS.UN, NV.IND.TOTL.KD.ZG, FP.CPI.TOTL.ZG, NY.GDP.PCAP.KD, NY.GNP.PCAP.KD, NE.GDI.FTOT.CD, NE.CON.TOTL.CN, NY.GSR.NFCY.CD, NY.GDP.PCAP.CD, TX.VAL.MRCH.R6.ZS, NY.GNP.PCAP.CD, EN.ATM.CO2E.LF.ZS, NV.IND.TOTL.CD, DC.DAC.USAL.CD, NE.EXP.GNFS.KN, NV.SRV.TETC.KD.ZG, NE.GDI.TOTL.CN, NE.CON.TOTL.CD, NV.AGR.TOTL.CD, AG.YLD.CREL.KG, NE.IMP.GNFS.KN, NE.TRD.GNFS.ZS, EG.ELC.LOSS.ZS, SP.RUR.TOTL.ZG, NE.GDI.FTOT.KN, NV.AGR.TOTL.KD.ZG, DT.ODA.ODAT.GI.ZS, NY.GSR.NFCY.CN, EG.ELC.HYRO.ZS, EG.USE.PCAP.KG.OE, DC.DAC.DNKL.CD, EN.ATM.CO2E.SF.KT, NE.CON.PRVT.KD.ZG, TX.VAL.MRCH.R4.ZS, NY.TAX.NIND.KN, AG.LND.TRAC.ZS, NY.GDP.FCST.KN, NE.CON.PETC.KD.ZG, NY.GNS.ICTR.ZS, NE.RSB.GNFS.CN, NV.IND.MANF.CN, DC.DAC.GBRL.CD, DC.DAC.CHEL.CD, IP.TMK.NRES, TM.VAL.MMTL.ZS.UN, FI.RES.TOTL.CD, NV.IND.MANF.KN, NE.GDI.FPRV.ZS
MDA,,,,,,,,,,,,,,66.705,,65.6086620451239,,,,,,,53.1884807854316,,,183.403,,,,,,,,,25.856,,94.78524401713871,,,,,,,,160.5,,,,,,,,,,,,32870.0,,,,,,,703542.0,,,55.818457362312294,,,,,,,,,,,,,,,,,,,59.304,,,,,,,,,,,,,62.914243902439004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1170707122966497,,,,,,,,,,,52.05511,,,,,256137.0,,,24.869,,,,,36.4067816846755,,,,,,,,,,,,,,,,,,,,,,,,,,2721000.0,2017458.0,,,,,5.911657628948599,,,,5.3758908471909,,,,,,,,,,,,,,,,,,,,,,,,,33.7050223312269,,,,,33760.0,,,68.51178,9.79020468281163,,,,,,,,10.769,,,,,,168.8,30.5428,,,,,60.3833200398245,322.4032,3.086,164.2,,,,,,,,,,,,74.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00515475000019,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,10840095.1283649,,424.35051957831297,,,1205000000.0,3240.0,0.0,,,,,,39.193,,75.2751791434692,,,28.3132530120482,3.5650623885918,2656000000.0,,51.0418023679068,,,448.043,,,,3738526.78372827,25.669,,,,26.323,10176.6351201195,9.30445632798574,,,,,,,,125.07,245.016350696075,,0.459787731330702,,,,,,45.6701807228916,,4950691.03565763,28050.0,,,,,,,68700.0,,,66.5782422113725,,,,,,,,0.098352427296065,,,,,,,0.0,,,,36.145,,0.0,3069183.56044067,,,,916000000.0,,,11.5508021390374,,,37.631829268292705,10840095.1283649,,,,,,,,,,,1668000000.0,1443000000.0,,17.3569277108434,,,,,,,,,,5889404.0927073,,,,18000000.0,,,1.1755092676196102,,,,,,,,,6807710.34416894,1213000000.0,24.85883,,,,45.368975903614505,,,,40.434,,,4918040.14671677,,,,25.669,,,,,238000000.0,,,,,,,,4.27807486631016,,,,,,,,,,,260990.0,192290.0,,,,,4.961875933943821,,,,1.5135804615258202,,120000.0,8.96084337349398,,,,,,,,1881507.47521695,,,,,71.68674698795179,,,,,,,,,37.984980267443206,,,,28000000.0,28050.0,62.8012048192771,971363.945990532,30.19395,8.696936932096731,,10176.6351201195,34.487951807228896,,,,,26.725,245.0163,,1904000000.0,,,132.05,126.7792,54.3298192771084,,,,57.05314379861301,510.348,5.548,38.43,,,,,,,2656000000.0,,,,7770911.56792426,73.677,,,,,,,,,,,,0.0,41.5345228873326,,,100.0,,,,,461000000.0,,,,,97.289156626506,,1.05500217868634,,,,0.0,,,,0.0,,,,,,,,752000000.0,,,,,,,,
TMP,,,,,,,2300.0,,,,,,,35.818,,80.1398218894758,,,,0.672494956287828,,,49.23975587168079,,,517.929,,,,,,,,,10.785,,35.4361802286483,,,,,,,,82.0,,,0.132843457269953,,,,,,,,,14870.0,,,,,,,56830.0,,,75.555099738475,,,,,,,,,,,,,,,,,,,34.673,,,,,,,,,,15.467383994619999,,,35.231536585365895,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,1.8173927172609299,,,,,,,,,,,21.14042,,,,,,,,45.811,,,,,,,,,,,,,,27100.0,,,,,,4.70746469401479,,,,,,,,,,,526936.0,470106.0,,,,,2.54509086492477,,,,4.39024277758518,,70000.0,,,,,,,,,,,,,,,,,,,,,,,41.942474987474796,,,,,14870.0,,,24.49077,4.5847221510008,,,,,,,,27.739,,,,,,41.04,66.1782,,,,,55.5124341476005,565.1886,6.367,122.7,,,,,,,,,,,,89.215,,,,32372.0,,,,,,,,,,,,,,,,,,,,1194.539,,,,1.51080445305095,,,,,,,,,,,,1.14285714285714,,,,,,,,,,,,
TUN,,,,83560000.0,7000000.0,,86060.0,14.668,31.3806124287177,,,,,45.139,,93.07036168465592,,,,7.40216271884655,,,49.8989865763165,,221700000.0,395.6778,8.47487715675196,,,,1947.177,1.44339197113216,2.89342829239762,83560000.0,38.833,,28.5571768795057,,0.0278851570555661,,,,,11.5106485869478,33.53,0.41999999942,,0.6987264920797099,,,10.3743797925124,,,,,,155360.0,,,,,,28700000.0,1722882.0,202.0,11.5629984051037,86.02026770922319,4228600000.0,,,51875.0,0.0,240000.0,6.0,0.43888521118331997,,35.14894284581,170.9,,,5.98086124401914,0.7532956685499058,2.15311004784689,641530000.0,160000.0,43.112,2.3220332536458104,5.08474576271187,,,,,,1.3531799729363998,,55.39392378990729,81840000.0,1.3531799729363998,44.1007804878049,,,14600000.0,,,,0.0797448165869219,,63.704017068887396,,,,,,,,11594.0,52.0,,,0.63148398737032,0.31897926634768703,,,,,80.3030303030303,,223000000.0,5.98086124401914,,1.9535744884571697,,,,,,,,58200000.0,,,33.32693,256.3,,,,627347.0,,,49.175,9.21691301557899,,,,36.412650431079996,125400000.0,1653.817,66.35844820365439,,,1.3531799729363998,,,1592000.0,336.0,,,,14.1401280202171,19.953656024716803,,,,18.834059896187302,,,,7.077928904356231,,,4436643.0,2713761.0,,,,,3.65155988300534,,,,3.0983245161359,,3100000.0,,,2.97699594046008,,,627347.0,,,,,,,,,,,,,,80000.0,85.2954442940911,641530000.0,44.5538413883658,,,,126000000.0,163610.0,,,37.10084,7.050093975432791,,,,,,,0.0,20.366,,,,,35267.0,37.66,65.8764,,22.0757305534976,,,51.794598728628905,440.2712,7.125,20.76,,21.2571774394449,,,4.9753819862567905,,,,,,,61.167,,,,1193300.0,19.6377628848787,,,,,,,,,0.0,,84.9340866290019,,38000000.0,,,,,,749.56,,,,1.23355089364696,,,,,,,,99.009,,5.98086124401914,,37.4,,,,,,,60000.0,284.0,1.01456021936681,61707999.9999,,
YEM,,,,21580000.0,,,233600.0,0.0,,,,,,36.393,,84.1202853414575,,,,0.14205352576851002,,,50.0422782867155,,,450.786,,,,,2918.932,,,21580000.0,10.216,,10.283730136182,,,,,,,,29.6,,,0.23666999969242103,,,,,,,,,527970.0,,,,,,,554678.0,,,77.9936030123898,,,,106924.0,,310000.0,,0.5376059420561851,,,276.9,,,,0.0,,165070000.0,,34.038,,0.0,,,,,,,,44.2449381593651,21320000.0,,35.186780487804896,,,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,293000000.0,,,1.6755483977559098,,,,,,,,,,,23.20396,406.1,,,,141993.0,,,51.018,,,,,25.599176459134803,,2918.932,,,,,,,1267863.0,,,,,1.5080759723591497,2.43385040816713,,,,3.9745825629279703,,,,,,,5429501.0,4874823.0,,,,,3.32754335987782,,,,5.5170471359793405,,1285000.0,,,,,,81881.0,,,,,,,,,,,,,,,,165070000.0,42.3601358577888,,,,201000000.0,527970.0,,,27.98336,6.126682329067769,,,,,,,,29.784,,,,,71268.0,33.2,160.935,,,,,54.3123207823334,509.811,7.475,28.04,,,,,,,,,,,,89.784,,,,978600.0,,,,,,,,,,,,100.0,,8000000.0,,,,,,771.85,,,,1.2476523417402,,,,,,,,0.0,,,,3.9688715953307403,,,,,,12910000.0,100000.0,,,,,
BDI,232749998.0,,11.7379163199821,6160000.0,,11199999900.0,16040.0,0.0,,5130000.0,,,4.13540741977489,43.803,,90.9086086374267,,,-6.7669173513806,8.95638629283489,11637499900.0,,51.6188095643944,,,398.058,,,,33250000.0,47.671,,,6160000.0,2.193,3943.7080446222703,114.91055295950198,11287499800.0,,225749996.0,,,,,64.57,50.00000004899999,,0.24534862718293302,,,,,,-0.7518797057089549,,-1750000.0,25680.0,,,,,147092.260945209,,64713.0,,,85.19300129713429,,,2.67502757536543,,,20000.0,,0.0161547160309912,,,,,,,0.0,,57350000.0,,40.63,,0.0,-15750000.0,,,229705021.26660097,1662500000.0,,,62.46105919003121,6440000.0,,42.177804878048796,230278000.0,,,,,2.1453358956945,,,,,,875000000.0,11724999900.0,,6.015037645671639,,2.0,,,,,,434054994100.0,0.0,234499998.0,,,,18320000.0,,4.68714930236169,1.9295385848001498,,,,,,,,,17500000.0,-87500000.0,30.56878,,,,96.24060147145521,59390.0,,,48.111,,,223999998.0,401316701.295108,91.77445026501628,,47.671,,,,,525000000.0,,141460.0,,,2.6811118540704797,380961794.682802,,28.1931464174455,,,,2.08749660697082,,,,,,,2950903.0,2886190.0,,,11200000000.0,0.118786484206011,2.99389712233848,,224000000.0,350000000.0,3.7230514053884898,,724000.0,4.51127823425373,,,,,,,250000.0,14000000.0,6.015037645671639,,,,106.766917351381,,,,,0.0,,,57350000.0,44.6250181724035,,,,9000000.0,27830.0,7.518797057089549,10500000.0,36.32971,5.715607340292361,,3901.8225946430603,14.285714408470199,,,,,22.286,50.0,,12424999900.0,700000000.0,,54.67,46.929,100.751879705709,,,,52.381084705258,459.006,7.092,61.74,,,,,,,11513900000.0,-99.999998,,,248499998.0,97.807,7000000.0,,,130080.0,,,,135.99793056400298,,14000000.0,11724999700.0,-2471998.0,78.8741608924455,,80.0,100.0,,1000000.0,,,700000000.0,234499994.0,,919.553,,21.804511465559695,,1.88969156652291,,,44.0,-123599900.0,,,,0.0,,,18728187700.0,0.0276243093922652,412039591200.0,,,-787500000.0,,,40000.0,,,,,
CUW,,,,,,,,,,,,,,,,84.74700700248479,,,,,,,50.4047346315388,,,,,,,,,,,,75.875,,294.72972972972997,,,,,,,,,,,,,,,,,,,,444.0,,,,,,,99290.0,,,76.13931556358709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8868629861623099,,,,,,,,,,,63.5736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130860.0,31570.0,,,,,4.6590301641847995,,,,2.3952630628272797,,,,,,,,,,,,,,,,,,,,,,,,,41.2126765941199,,,,,444.0,,,70.73424,8.607691438897671,,,,,,,,,,,,,,,96.7096,,,,,54.128293241695296,,,,,,,,,,,,,,,24.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304549439122757,,,,,,,,,,,,,,,,,,,,,,,,
CRI,511902559.481175,1.3869974849628999,42.7620444449155,10120000.0,1000000.0,2506603000.0,14200.0,0.0,22.534347209000696,,2708611164.8963,-16329076736.0,4.78471157517968,64.109,,91.78700897367331,2148894322.50667,,-4.55617712752751,3.9169604386995696,3404200400.0,341918547.401285,49.171377530124396,,122900000.0,176.85,,,832800000.0,140434154.540518,601.388,0.24410089503661497,,10120000.0,34.606,2293.14441378716,29.073873873873897,,,,,,10.784332309539002,13.0847230929605,16.67,6.625000005625,,0.19198228104589302,647206487.66558,,4.47518307567128,2984250137.0426,2.53017072869881,14.2382510735854,-1254074800.0,72885971.67103979,51060.0,,,7905963483.34247,35537870800.0,161864.720325602,,513730.0,,3.2786885245901605,85.907224672563,2772800000.0,567504850.69347,2.0114897728383703,,,20000.0,,0.405108210644306,396378386.77194303,57.9203465111218,,277349291.42377204,,5.3551912568306,0.0,0.0,63280000.0,,61.26,1.43114194807453,0.0,-23323187.330309197,,,521310750.789172,933900400.0,0.0,,27.810419114766898,7030000.0,6.83482506102522,62.649756097560996,503109691.96327996,,,,,1.1192879966653202,0.0,727001300.0,,159024.84219241698,256619196400.0,778799000.0,2919501800.0,,18.794428201113,,4454.0,,,1730670774.94425,6.83482506102522,5.3551912568306,240290119700.0,19000000.0,439016587.810135,,91.3661202185792,139980374000.0,123900000.0,0.0,1.95055392853378,3.56069901273754,,,,,,,221180452800.0,13530000.0,117110967.21020901,484698600.0,61.54726,,,,73.6326510037423,262364.0,467944984.113978,2769368926.53747,42.597,,,376927425.101998,2758663833.75041,51.0704066338349,91500000.0,601.388,,,,0.0,412898800.0,1.41635034989176,108450.0,,46176116700.0,1.41670427575221,,18.4806859089047,5.581668625146889,,,35438743600.0,6.8170550322260794,,10.089468510350901,,0.188193180253825,2148894100.93194,,1484512.0,970782.0,182617423900.0,1447.5424253437802,2506603300.0,0.21799974054193103,3.06578862279322,42294345183.3425,376927470.214139,341399300.0,4.14605037891765,4.02816056586006,285000.0,12.1290979226722,0.16273393002441,0.40683482506102503,0.269802826321563,10000.0,274348.0,,,96209159.001349,18.2362941970161,,182617423900.0,1.4248301228412699,104.556177127528,403725506.596044,35550220300.0,1844399000.0,,2857102.2523064,,88.28315703824249,63280000.0,44.7930363648122,,,,95000000.0,51100.0,22.877589697715802,62089162.708137296,66.78269,5.879784301110281,,2253.75544286607,27.4337668252433,236074286532.749,,343374492.73622,0.0,8.931,6.6500945091,3.26617845867945,3559301800.0,620800000.0,,18.08,116.2062,85.7617489264146,,7.048210811686269,,52.1411750123946,208.699,6.201,22.33,,,,,,,3345727000.0,-300.0,5.0925419962533,,535225746.81148493,65.394,51337510.9982014,,248196083183.34198,134717.0,5.02944123884249,9.627487967128019,2.9316184705135604,1858.29675593758,1824.5801750988198,93352056.74904259,,-8792882.55527568,344.828845762901,0.0,350.0,100.0,109321950.087351,7000000.0,34388381700.0,5.4496807622649,639800000.0,,125231302.932672,1242.204,50717458400.0,50.3113565229591,,3.25231661659558,38170083300.0,-0.291076171687735,10.518749051593,-58473500.0,,,,0.0,7.799026442409309,0.0,,156.280701754386,,7.799026442409309,,-155101400.0,,,,,,15619750.679940399,,
WSM,,,,170000.0,,,570.0,0.0,,,,,,54.85,,112.004184619749,,,,15.9010600706714,,,49.3250476732127,,,381.259,3.41191041208157,,,,22.002,,3.2020526813221,170000.0,19.141,,42.2487632508834,,0.0,,,,,,92.86,0.71918999971919,,0.0920009367368104,,,,,,,,,2830.0,,,,,,,22886.0,,,107.388690887813,,,,,,,,0.18401860091666397,,,,,,,0.0,,1230000.0,,48.25,,0.0,,,,,,,,20.141342756183697,,,51.469512195122,,,,,,,,,98.8868693005557,,,,,,,,8.0,,,,,,,,,,,,8362190.0,,,3.21081331314927,,,,,,,,,,,31.13292,,,,,,,,46.766,0.0,,,,,,22.002,53.1577542657195,,,,,,,,,,,,3.886925795053,,,,1.4218326586598,,,,,,,119564.0,96678.0,,,,,2.1770767120538,,,,3.6306149626878,,11000.0,,,,3.7505299422385496,,,,,,,,,,,,,,,,,,1230000.0,50.6540430229835,,,,7226190.0,2840.0,,,45.24683,4.615493731936099,,,,,,,,13.352,0.71917998790741,,,,,108.84,75.3182,,,,,47.1688802649627,503.745,7.604,40.74,,38.7466880119425,,,0.0987338799053471,,,,,,,80.859,,,,,,,0.689655172413822,,,,,,,,,100.0,,,,,,,,,,,,3.11169364150935,,,,,,,,0.0,,,,7.27272727272727,,,,,,,,,0.105095155182238,,,
NPL,496948970.35253096,,23.543664838866896,16220000.0,,,35630.0,0.0,,,,,1.89511164336658,36.565,,78.02135799922141,,,,0.17482517482517498,4616000000.0,,50.19508589526421,,,508.074,,,,,99.009,,,16220000.0,3.653,437.760192766221,73.73836363636359,4552000000.0,,490058863.31124806,,,,,29.21,7.619000006619,,0.172221081036278,,,,,,,,,143000.0,100.0,,,,10425.0536341588,,385194.0,,,73.2806378429008,,,3.26391661270446,133717.0,,,,0.00938955782616786,,,209.4,490058863.31124806,,,0.0,,102450000.0,,36.292,,0.0,,,,550797361.086033,,,,24.9160839160839,15680000.0,,36.4251707317073,496948970.35253096,,,,,0.27627344734304404,,,,,,,,,,,200.0,,,,,,109927874600.0,,,,,0.0,79000000.0,,3.56992506534746,1.6014855856333798,,,,,,,,33200000.0,,,23.15947,312.6,,,,126464.0,,,43.947,,,,1795603899.19723,32.8312486695016,,99.009,,,,,,,1725500.0,,,4.19911693626068,,1.1993263652077,12.6993006993007,,,,1.53823014009274,,,,,,,10544586.0,10159392.0,,,,0.0551396664065302,2.66300639968227,,,64000000.0,2.7303860695977598,,1816000.0,,,,,30000.0,126464.0,,,,,,,,,,,4552000000.0,,,,,102450000.0,41.1639584522332,,,,38000000.0,147180.0,,,25.52002,4.74072015632054,,437.760192766221,,,,,,26.295,9.28868007659912,,,,87585.0,28.78,126.619,,,,,56.173035148084494,544.177,5.964,31.59,,,,,,,4616000000.0,,,,,96.347,6890107.04128292,,,3181578.0,,,,170.28680871844801,,,,0.0,47.1283529151861,,50.0,100.0,,14000000.0,,,,,,1843.859,,,,1.5589329975034198,,,,0.0,,,,0.0,,,,1.10132158590308,,,,,,1390000.0,260000.0,,,36256169.5999129,,
