Country, NY.GDP.MKTP.CD, NE.DAB.DEFL.ZS, TG.VAL.TOTL.GD.ZS, DT.ODA.ODAT.CD, MS.MIL.MPRT.KD, NE.CON.PETC.CN, AG.LND.AGRI.K2, EN.ATM.CO2E.GF.KT, NV.MNF.OTHR.ZS.UN, DC.DAC.BELL.CD, NY.GNP.MKTP.KD, NE.RSB.GNFS.KN, NY.GDP.MKTP.KD.ZG, SP.DYN.LE00.FE.IN, EG.IMP.CONS.ZS, SP.POP.DPND, NE.CON.PETC.KD, EG.USE.PCAP.KG.OE, NE.RSB.GNFS.ZS, AG.LND.CROP.ZS, NY.GDP.MKTP.CN, NE.EXP.GNFS.KD, SP.POP.TOTL.FE.ZS, EG.ELC.COAL.ZS, TM.VAL.MRCH.WL.CD, SP.DYN.AMRT.FE, TM.VAL.FUEL.ZS.UN, DC.DAC.KORL.CD, NV.AGR.TOTL.CN, NE.IMP.GNFS.CD, EN.ATM.CO2E.KT, TM.VAL.MRCH.R5.ZS, TM.VAL.AGRI.ZS.UN, DT.ODA.ALLD.CD, SP.URB.TOTL.IN.ZS, NY.GDP.PCAP.CN, EN.POP.DNST, NY.GDP.FCST.CN, TX.VAL.FUEL.ZS.UN, TX.VAL.MRCH.R1.ZS, EG.USE.COMM.CL.ZS, FR.INR.LNDP, NE.IMP.GNFS.KD.ZG, NV.MNF.TXTL.ZS.UN, AG.PRD.FOOD.XD, PA.NUS.FCRF, NY.GDP.FCST.CD, AG.LND.ARBL.HA.PC, NE.CON.GOVT.KD, NY.GNS.ICTR.GN.ZS, TM.VAL.MRCH.RS.ZS, NE.DAB.TOTL.KD, NE.EXP.GNFS.KD.ZG, NY.GDS.TOTL.ZS, NE.GDI.STKB.KN, NY.GDS.TOTL.CD, AG.LND.TOTL.K2, NV.SRV.TETC.ZS, EN.CO2.TRAN.ZS, NY.TTF.GNFS.KN, NE.CON.GOVT.KN, NY.GDP.PCAP.KN, DC.DAC.FRAL.CD, SP.URB.TOTL, IP.PAT.NRES, TX.VAL.MRCH.RS.ZS, SP.POP.DPND.YG, NY.GDY.TOTL.KD, NE.IMP.GNFS.KD, DT.ODA.ODAT.GN.ZS, SH.DTH.MORT, EG.ELC.HYRO.ZS, DC.DAC.DEUL.CD, IP.PAT.RESD, EN.ATM.CO2E.PC, NE.GDI.TOTL.KD, NV.MNF.FBTO.ZS.UN, SP.DYN.IMRT.IN, NV.SRV.TETC.CD, DC.DAC.NORL.CD, TX.VAL.MRCH.WR.ZS, EN.ATM.CO2E.GF.ZS, TX.VAL.MRCH.OR.ZS, DT.ODA.ODAT.KD, DC.DAC.SWEL.CD, SP.DYN.LE00.MA.IN, NV.MNF.MTRN.ZS.UN, EN.CO2.BLDG.ZS, EN.ATM.CO2E.SF.ZS, NE.RSB.GNFS.CD, NV.IND.MANF.CD, NY.TRF.NCTR.CN, NY.GNP.ATLS.CD, NE.IMP.GNFS.CN, TM.VAL.MRCH.AL.ZS, NV.IND.TOTL.ZS, AG.LND.AGRI.ZS, DC.DAC.TOTL.CD, TM.VAL.MRCH.WR.ZS, SP.DYN.LE00.IN, NY.GNP.MKTP.CD, NV.AGR.TOTL.ZS, DC.DAC.ITAL.CD, DC.DAC.CANL.CD, EG.ELC.NUCL.ZS, NY.GDP.PCAP.KD.ZG, TX.VAL.MRCH.R5.ZS, NV.IND.TOTL.CN, TX.VAL.FOOD.ZS.UN, NY.GNP.PCAP.KN, NE.DAB.TOTL.KN, NE.EXP.GNFS.CN, NE.CON.TETC.CN, NY.GNS.ICTR.CN, NE.GDI.TOTL.ZS, NY.ADJ.ICTR.GN.ZS, AG.AGR.TRAC.NO, IP.TMK.RESD, FR.INR.DPST, NV.SRV.TETC.KD, TM.VAL.MRCH.R3.ZS, TX.VAL.MRCH.R3.ZS, NY.GDP.MKTP.KN, NE.GDI.STKB.CN, NE.CON.TETC.CD, EN.CO2.ETOT.ZS, TX.VAL.MRCH.HI.ZS, NV.SRV.TETC.KN, TM.VAL.MRCH.CD.WT, TX.VAL.MRCH.AL.ZS, NY.GDP.DEFL.KD.ZG, SP.POP.GROW, NY.GDS.TOTL.KN, NY.GDP.DISC.KN, NY.TRF.NCTR.CD, EG.ELC.FOSL.ZS, DC.DAC.NLDL.CD, NV.IND.MANF.KD.ZG, NE.CON.TETC.KN, FI.RES.XGLD.CD, NE.EXP.GNFS.CD, NY.GDS.TOTL.CN, SP.DYN.TO65.MA.ZS, SH.DYN.MORT, EN.CO2.MANF.ZS, FR.INR.LEND, NE.CON.PETC.ZS, EN.URB.LCTY, NV.IND.TOTL.KD, NE.CON.TETC.KD, SP.DYN.CBRT.IN, TX.VAL.MANF.ZS.UN, EG.ELC.RNWX.KH, NE.CON.PETC.CD, NY.GDP.MKTP.KD, EN.URB.LCTY.UR.ZS, TX.VAL.MRCH.WL.CD, EN.ATM.CO2E.LF.KT, TM.VAL.MANF.ZS.UN, BX.PEF.TOTL.CD.WD, EN.CO2.OTHX.ZS, TM.VAL.MRCH.R4.ZS, NE.CON.GOVT.CN, NY.GNP.PCAP.KD.ZG, AG.LND.CREL.HA, IP.TMK.TOTL, NV.IND.TOTL.KN, NY.GDP.DEFL.ZS, NY.GDP.FCST.KD, EN.URB.MCTY.TL.ZS, AG.LND.ARBL.ZS, BN.TRF.CURR.CD, MS.MIL.XPRT.KD, NE.GDI.TOTL.KN, DT.ODA.ODAT.PC.ZS, EG.ELC.RNWX.ZS, NE.CON.GOVT.KD.ZG, EG.USE.CRNW.ZS, FP.WPI.TOTL, NE.CON.PRVT.KD, NY.TRF.NCTR.KN, SP.POP.TOTL, SP.RUR.TOTL, NE.CON.PETC.KN, NE.CON.PRVT.PC.KD, NE.CON.PRVT.CN, EN.ATM.CO2E.KD.GD, SP.POP.65UP.TO.ZS, NY.EXP.CAPM.KN, NE.CON.PRVT.CD, NY.TAX.NIND.CN, SP.URB.GROW, NE.CON.PRVT.PC.KD.ZG, AG.LND.ARBL.HA, NE.CON.GOVT.ZS, TM.VAL.MRCH.R1.ZS, TM.VAL.MRCH.OR.ZS, FP.CPI.TOTL, DC.DAC.JPNL.CD, EN.URB.MCTY, NV.IND.MANF.ZS, DC.DAC.CECL.CD, NE.GDI.TOTL.CD, NE.GDI.FTOT.ZS, NY.GSR.NFCY.KN, NE.CON.PRVT.KN, NE.GDI.TOTL.KD.ZG, NE.DAB.TOTL.ZS, NE.GDI.FTOT.KD, NV.AGR.TOTL.KN, NV.SRV.TETC.CN, NY.GNS.ICTR.CD, NE.GDI.STKB.CD, DC.DAC.AUTL.CD, TM.VAL.MRCH.HI.ZS, DT.ODA.ALLD.KD, SP.POP.0014.TO.ZS, NE.CON.TOTL.KN, FR.INR.RISK, FR.INR.RINR, TX.VAL.MRCH.CD.WT, AG.SRF.TOTL.K2, NE.EXP.GNFS.ZS, NE.CON.GOVT.CD, SP.DYN.TO65.FE.ZS, SP.POP.DPND.OL, SH.MED.PHYS.ZS, NY.GNP.PCAP.CN, NE.IMP.GNFS.ZS, NY.GNP.MKTP.KN, EG.ELC.NGAS.ZS, NV.AGR.TOTL.KD, TM.VAL.MRCH.R6.ZS, SP.DYN.CDRT.IN, PA.NUS.ATLS, NE.GDI.FTOT.KD.ZG, NE.DAB.TOTL.CN, NE.GDI.FTOT.CN, SH.DTH.IMRT, AG.PRD.CROP.XD, SP.ADO.TFRT, NE.CON.TETC.ZS, TX.VAL.MMTL.ZS.UN, NE.CON.TETC.KD.ZG, NV.IND.MANF.KD, SP.POP.1564.TO.ZS, SP.DYN.AMRT.MA, SP.DYN.TFRT.IN, AG.PRD.LVSK.XD, EG.ELC.PETR.ZS, TM.VAL.FOOD.ZS.UN, EG.USE.COMM.FO.ZS, NE.CON.TOTL.KD, TX.VAL.AGRI.ZS.UN, EN.ATM.CO2E.EG.ZS, NY.GNP.MKTP.CN, NY.GDP.DISC.CN, NY.GNP.MKTP.KD.ZG, EG.USE.ELEC.KH.PC, NE.DAB.TOTL.CD, SP.RUR.TOTL.ZS, NY.TAX.NIND.CD, SH.MED.BEDS.ZS, NY.GDY.TOTL.KN, AG.PRD.CREL.MT, NV.MNF.CHEM.ZS.UN, NV.IND.TOTL.KD.ZG, NE.GDI.FPRV.CN, FP.CPI.TOTL.ZG, NY.GDP.PCAP.KD, NY.GNP.PCAP.KD, NE.GDI.FTOT.CD, NE.CON.TOTL.CN, NY.GSR.NFCY.CD, NY.GDP.PCAP.CD, TX.VAL.MRCH.R6.ZS, NY.GNP.PCAP.CD, EN.ATM.CO2E.LF.ZS, NV.IND.TOTL.CD, DC.DAC.USAL.CD, NE.EXP.GNFS.KN, NV.SRV.TETC.KD.ZG, NE.GDI.TOTL.CN, NE.CON.TOTL.CD, NV.AGR.TOTL.CD, AG.YLD.CREL.KG, NE.IMP.GNFS.KN, NE.TRD.GNFS.ZS, EG.ELC.LOSS.ZS, SP.RUR.TOTL.ZG, NE.GDI.FTOT.KN, NV.AGR.TOTL.KD.ZG, DT.ODA.ODAT.GI.ZS, NY.GSR.NFCY.CN, DC.DAC.DNKL.CD, EN.ATM.CO2E.SF.KT, NE.CON.PRVT.KD.ZG, TX.VAL.MRCH.R4.ZS, NY.TAX.NIND.KN, AG.LND.TRAC.ZS, NY.GDP.FCST.KN, NE.CON.PETC.KD.ZG, NY.GNS.ICTR.ZS, NE.RSB.GNFS.CN, NV.IND.MANF.CN, DC.DAC.GBRL.CD, DC.DAC.CHEL.CD, IP.TMK.NRES, TM.VAL.MMTL.ZS.UN, FI.RES.TOTL.CD, NV.IND.MANF.KN, NE.GDI.FPRV.ZS
MDA,,,,,,,,,,,,,,67.008,,66.6412359565411,,,,,,,53.18824212926621,,,182.211,,,,,,,,,26.703,,96.6314836102693,,,,,,,,113.5,,,,,,,,,,,,32870.0,,,,,,,740741.0,,,56.878366315162204,,,,,,,,,,,,,,,,,,,59.732,,,,,,,,,,,,,,63.281268292682896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92908620915307,,,,,,,,,,,52.5536,,,,,268154.0,,,23.784,,,,,36.2007773297279,,,,,,,,,,,,,,,,,,,,,,,,,,2774000.0,2033259.0,,,,,5.8586328564227905,,,,5.152346026681981,,,,,,,,,,,,,,,,,,,,,,,,,34.1322142223207,,,,,33760.0,,,68.87303,9.762869641378929,,,,,,,,10.489,,,,,,109.1,29.4466,,,,,60.0091529212565,322.2454,2.989,148.3,,,,,,,,,,,,73.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.780162136446308,,,,,,,,,,,,,,,,,,,,,,
GNQ,12712471.3960211,,440.51229895020697,,,1484899900.0,3250.0,0.0,,,,,,39.497,,75.7443192756288,,,24.1741340010915,3.5650623885918,3114900000.0,,51.0438425189712,,,444.655,,,,4885173.51754153,25.669,,,,26.413,11765.7501803636,9.43825311942959,,,,,,,,132.29,245.027184079042,,0.457047022961891,,,,,,43.08324825837111,,5476945.61132218,28050.0,,,,,,,69927.0,,,67.1371007892937,,,,,,,,0.0969581820860231,,,,,,,0.0,,,,36.441,,,0.0,3073129.87012457,,,,1196999900.0,,,11.5864527629234,,,37.9317317073171,12712471.3960211,,,,,,,,,,,1950000000.0,1772899900.0,,18.9091142572795,,,,,,,,,,7235525.78469892,,,,23000000.0,,,1.42774516817591,,,,,,,,,7958303.3876661,1342000100.0,25.23027,,,,47.6708690487656,,,,40.573,,,6060145.592059,,,,25.669,,,,,288000000.0,,,,,,,,4.31372549019608,,,,,,,,,,,264743.0,194816.0,,,,,4.89757991712717,,,,1.77026415243386,,121000.0,9.24588269286333,,,,,,,,2403815.74119761,,,,,75.8258659989085,,,,,,,,,38.2015766233668,,,,33000000.0,28050.0,62.6023307329288,1175380.19263992,30.59474,8.607218486335059,,11765.7501803636,38.428196731837296,,,,,26.403,245.0271,,2361899900.0,,,142.68,127.3634,56.91675174162889,,,,56.900843459506,506.868,5.57,39.67,,,,,,,3114900000.0,,,,9639341.52589652,73.587,,,,,,,,,,,,,0.0,48.0181587276003,,,100.0,,,,,589000000.0,,,,,101.03052746476601,,1.30508741966155,,,,0.0,,0.0,,,,,,,,753000100.0,,,,,,,,
TMP,,,,,,,2300.0,,,,,,,36.322,,79.8137540615684,,,,0.672494956287828,,,49.2345351510252,,,511.818,,,,,,,,,11.066,,36.0993947545393,,,,,,,,88.02,,,0.130402870353466,,,,,,,,,14870.0,,,,,,,59402.0,,,75.2681472548823,,,,,,,,,,,,,,,,,,,35.173,,,,,,,,,,,15.467383994619999,,,35.7334878048781,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,1.85427608266837,,,,,,,,,,,21.73126,,,,,,,,45.619,,,,,,,,,,,,,,24300.0,,,,,,4.70746469401479,,,,,,,,,,,536798.0,477396.0,,,,,2.52795278670934,,,,4.4263540526416305,,70000.0,,,,,,,,,,,,,,,,,,,,,,,41.8589488038331,,,,,14870.0,,,25.12943,4.5456068066860995,,,,,,,,27.182,,,,,,39.54,65.7284,,,,,55.6130984094576,559.0072,6.347,138.7,,,,,,,,,,,,88.934,,,,28058.0,,,,,,,,,,,,,,,,,,,,,1154.65,,,,1.53881339610731,,,,,,,,,,1.14285714285714,,,,,,,,,,,,
TUN,,,,71070000.0,4000000.0,,86690.0,18.335,32.7590838601646,,,,,45.98,,95.7559886836734,,,,7.42790937178167,,,49.8269303273734,,249000000.0,386.3756,6.5673777475696,,,,2757.584,0.72289156626506,4.27211537916233,71070000.0,39.279,,29.163459062821804,,0.144357616408393,0.232919254658385,,,,11.9784658849984,32.83,0.44624999934125,,0.70185738390385,,,15.662650602409599,,,,,,155360.0,,,,,,20000000.0,1779667.0,192.0,12.9658385093168,88.7094237625576,4311700000.0,,,50668.0,,1780000.0,8.0,0.608626003816074,,36.8506053504354,163.2,,40000.0,8.46273291925466,0.6648936170212769,2.25155279503106,464710000.0,1690000.0,43.918,2.77254463400893,,3.8563829787233996,,,,,,2.7710843373494,,55.7994335736354,68460000.0,2.7710843373494,44.92385365853661,,,-1180000.0,,,,0.077639751552795,,61.659652541879204,,,,,,,,12429.0,62.0,,,1.04417670682731,0.0,,,,,76.3198757763975,,247673000.0,8.46273291925466,,2.1008239830081896,,,,,,,,28500000.0,,,34.57741,244.7,,,,640967.0,,,48.328,9.3290024104625,,,,36.016119869616105,128800000.0,2405.552,69.1990438363478,,,2.7710843373494,,,1437000.0,288.0,,,,14.1467742700849,20.4685890834192,,,,15.685850400643599,,,,7.42193653100424,,,4530835.0,2751168.0,,,,,3.5996652767712902,,,,3.24277981505725,,3180000.0,,,2.16867469879518,,,640967.0,,,,,,,,,,,,,,-150000.0,79.3975903614458,464710000.0,45.3163307210836,,,,129689000.0,163610.0,,,38.35818,7.046564921115801,,,,,,,0.0,19.605,,,,,34557.0,36.08,64.6488,,24.0371136583881,,,51.0840040021451,429.2944,7.107,22.31,,18.6436547250594,,,4.8298690447341395,,,,,,,60.721,,,,922000.0,15.639300270392699,,,,,,,,,,0.0,,87.23404255319151,,46000000.0,,,,,,641.614,,,,1.3690053146362502,,,,,,106.343,,8.46273291925466,,39.084905660377395,,,,,,10000.0,270000.0,226.0,1.31336492860055,32112337.8398971,,
YEM,,,,23330000.0,,,233700.0,0.0,,,,,,37.036,,83.4651512916698,,,,0.14205352576851002,,,50.0912417680514,,,441.938,,,,,3633.997,,,23330000.0,10.614,,10.4602344830199,,,,,,,,30.05,,,0.23448717925503698,,,,,,,,,527970.0,,,,,,,586178.0,,,77.4582653979188,,,,105580.0,,700000.0,,0.658012128147696,,,270.7,,,,0.0,,181540000.0,,34.648,,,0.0,,,,,,,,44.263878629467605,23160000.0,,35.8128780487805,,,100000.0,,,,,,,,,,,,,,700.0,,,,,,,,,,,,318000000.0,,,1.7017827574496298,,,,,,,,,,,24.17489,397.7,,,,149786.0,,,51.484,,,,,25.552989023811897,,3633.997,,,,,,,1291962.0,,,,,1.54770591867369,2.4527908782696,,,,4.2243906502085,,,,,,,5522690.0,4936512.0,,,,,3.27412909288771,,,,5.523573252262991,,1295000.0,,,,,,85475.0,,,,,,,,,,,,,,,,181540000.0,42.2196067496093,,,,212000000.0,527970.0,,,29.0903,6.00688589375101,,,,,,,,29.261,,,,,70401.0,33.07,163.394,,,,,54.506264157503004,501.281,7.519,28.39,,,,,,,,,,,,89.386,,,,1002700.0,,,,,,,,,,,,,100.0,,6000000.0,,,,,,776.106,,,,1.25752128401254,,,,,,0.0,,,,5.405405405405411,,,,,,16300000.0,60000.0,,,,,
BDI,260750008.0,,9.9712365109496,8090000.0,,11375000500.0,16050.0,0.0,,5660000.0,,,6.27303790305589,44.121,,91.8986643356465,,,2.01342199000048,8.95638629283489,13037500400.0,,51.5825757140623,,,394.839,,,,31500002.0,47.671,,,8090000.0,2.233,4328.58118492396,117.28804517134,12424999900.0,,,,,,,69.74,50.00000004899999,248499998.0,0.24701547864063103,,,,,,7.38254934205027,,19249998.0,25680.0,,,,,153150.735020453,,67257.0,,,86.15296300355008,,,3.13582897875609,32897.0,,170000.0,,0.0158272511858569,,,142.8,,,,0.0,,73570000.0,,40.941,,,0.0,5249998.0,,,249136186.896266,1575000100.0,,,62.5,7210000.0,,42.4922195121951,257986008.0,,,,,4.11882585549573,,,,,,1837500000.0,12075000500.0,,5.36912735204978,,2.0,,,,,,461283428400.0,0.0,241500010.0,,,,17000000.0,,5.41721757309182,2.0478808400243,,,,,,,,12677999.999872,36750000.0,962499900.0000019,30.96285,241.6,,,87.2483233059,64886.0,,,48.059,,,227500010.0,426491450.078644,96.47471638639841,,47.671,,,,,700000000.0,,149900.0,22.0,,2.8263535165834304,396736619.355512,,28.9719626168224,,,,2.6859613201649304,,,,,,,3011957.0,2944700.0,,,11374999600.0,0.111774808126188,2.99413305037224,,227499992.0,612500000.0,3.8558993603683103,,744000.0,5.36912735204978,,,,,,,1360000.0,14000000.0,5.36912735204978,,,,97.9865780099995,,,,,0.0,,,73570000.0,44.8950300419295,,,,9000000.0,27830.0,14.093959299130699,14000000.0,36.74604,5.74570133209647,,4282.69739574635,12.080537309130198,,,,,21.992,50.0,,12775000500.0,700000000.0,19714.0,60.44,47.189,92.61745065794969,,,,52.1108369076982,455.661,7.138,64.23,,,,,,,12899300400.0,900.0000018,,,255500010.0,97.767,12250000.0,,,148680.0,,,,,141.599448491012,,14000000.0,12074999800.0,-2764002.0,86.5716236984791,,80.0,100.0,,,,,700000000.0,241499996.0,,991.861,,26.1744966082609,,2.00696510920589,,,57.78571428571429,-138200100.0,,0.0,,,30948982600.0,0.0268817204301075,429101281900.0,,,262499900.0,,10000.0,10000.0,22.0,,12677999.999872,,
CUW,,,,,,,,,,,,,,,,84.13242798467729,,,,,,,50.57852613759171,,,,,,,,,,,,76.255,,299.882882882883,,,,,,,,,,,,,,,,,,,,444.0,,,,,,,101532.0,,,75.73259946619459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73332420521388,,,,,,,,,,,64.08227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133148.0,31616.0,,,,,4.561703156765089,,,,2.23291586848614,,,,,,,,,,,,,,,,,,,,,,,,,41.129391848487394,,,,,444.0,,,71.32597,8.39982851848266,,,,,,,,,,,,,,,94.0022,,,,,54.3089049947476,,,,,,,,,,,,,,,23.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145601899555697,,,,,,,,,,,,,,,,,,,,,,
CRI,542578815.2427809,1.39912651438898,46.5370178315969,13960000.0,,2700103400.0,14850.0,0.0,23.396509803594302,,2809113633.61385,-16635363328.0,4.14905211768473,64.771,,91.32533029941669,2292319899.9348,,-3.49209539470147,3.9169604386995696,3608200400.0,383807066.77367204,49.1803374679171,,137600000.0,171.805,,,886500100.0,156012910.580486,674.728,0.21802325581395302,,13960000.0,35.197,2347.50698585263,30.102526439483,,,,,,8.91057900488168,12.634319325957,17.71,6.625000005625,,0.185421932486898,704199527.3446679,,4.21511627906977,3107387985.96181,12.2510228505461,12.5020273264201,898533700.0,67833351.749019,51060.0,,,9927013878.45054,38667337700.0,162819.898050467,,540990.0,,2.2182786157941403,85.4146698499556,2906800000.0,618072818.7710481,2.62819641337386,,,20000.0,,0.438980244431649,350681953.173485,56.065924077393106,,291409226.943794,,14.463176574977801,0.0,0.0,85420000.0,,61.859,1.3776304173187301,,0.0,-18947369.8197189,,,529982841.223768,1037500600.0,0.0,,29.0834312573443,10150000.0,9.520348837209301,63.2794878048781,531162736.885381,,50000.0,,,0.5901086555142709,0.0,783801500.0,,159289.655163406,266895249400.0,911498800.0,3157102200.0,,15.994122721121599,,4500.0,,,1787299406.5331302,9.520348837209301,14.463176574977801,250259882000.0,-13800000.0,474745463.493762,,83.318544809228,144560619500.0,138600000.0,0.0,1.77010209924715,3.4769137211426697,,,,,,,235542057000.0,16520000.0,137065540.76076698,451098200.0,62.33916,,,,74.8324123017114,274348.0,497064753.14153606,2949188525.8882103,41.53,,,406024816.084219,2873122233.96444,50.7122127950609,112700000.0,660.06,,,,0.0,456998800.0,0.16652302076722902,127400.0,,49049612300.0,1.44178138787742,,18.662164492025198,5.581668625146889,,,31353192400.0,9.08242167549861,,8.806005620347971,,0.191225454985618,2292319663.57131,,1537035.0,996045.0,194806022100.0,1491.39067332319,2700103700.0,0.23484138336467,3.0893245762132997,48528324078.4505,406024861.19636,350199500.0,5.17029587750053,3.0291511469171604,285000.0,12.665560371868501,0.0,0.29069767441860495,0.278771161735598,,286844.0,,,86780721.56873791,16.3765848482252,,194806022100.0,-11.528487708576698,103.49209539470101,376916306.63690096,37102743600.0,1937898900.0,,-2075158.47799096,,85.97383720930229,85420000.0,44.643680853071004,,,,113900000.0,51100.0,25.2618673840843,68720647.4095431,67.72195,5.910660449461139,,2298.11448665775,28.7539627787858,244833775124.08603,,358370093.216329,0.0726744186046512,8.565,6.6500945091,-6.64045236705051,3734202200.0,590900000.0,,18.21,114.0084,87.49797267357991,,6.49316158737876,,52.2669945707157,204.012,6.044,23.77,,,,,,,3532282400.0,-300.0,3.71047974770494,,561526185.0625,64.803,52660830.537188105,,260186895878.45102,150324.0,6.52561637573691,6.22290440460533,,3.3240331601812594,1869.2627259395101,1827.6185211227103,88855880.04672891,,-11416093.3947801,353.003552451818,0.0,340.0,97.8260869565217,117863212.158481,10000000.0,38601310200.0,3.27206262500769,577100000.0,,133306391.17788701,1179.937,55236677600.0,54.0158301628701,,2.56905050154665,35635417100.0,4.367127086410759,16.086522153359198,-75918100.0,,0.0,6.67438951864439,0.0,,157.894736842105,,6.67438951864439,,-126001800.0,,80000.0,,,,18612133.5199404,,
WSM,,,,210000.0,,,570.0,0.0,,,,,,55.35,,114.34976020018101,,,,15.9010600706714,,,49.3174116769622,,9500000.0,373.723,3.1884627123383,,,,25.669,1.0526315789473701,9.52338265953315,210000.0,19.221,,43.5879858657244,,,,,,,,97.15,0.71918999971919,,0.0891742464776173,,,100.0,,,,,,2830.0,,,,,,,23710.0,,100.0,109.60241885035101,,,,,,,,0.20809215753036,,,,,,,0.0,,1480000.0,,48.75,,,0.0,,,,,,,,20.141342756183697,,,51.969512195122,,,,,,,0.0,,97.6732090545324,,,,,,,,9.0,,,,,,,,,,,,9843020.0,,,3.12064776384008,,,,,,,,5680000.0,,,31.90349,,,,,,,,46.091,0.43014919924961403,,,,,6800000.0,25.669,52.008889346920995,,,,,,,,,,,,3.886925795053,,,,1.70241743275451,,,,,,,123354.0,99644.0,,,,,2.2147640125168198,,,,3.5371530181791,,11000.0,,,,3.9496162919121702,,,,,,,,,,,,,,,,,,1480000.0,51.132512930265705,,,,7016230.0,2840.0,,,46.10856,4.747341349829711,,,,,,,,12.968,0.71917998790741,,,,,113.05,73.4914,,,,,46.6527230572175,496.136,7.567,44.34,,33.8099476247696,,,0.21439594865586703,,,,,,,80.779,,,,,,,,5.30821917808213,,,,,,,,,100.0,,,,,,,,,,,,3.0217965288996,,,,,,0.0,,,,8.18181818181818,,,,,,,,,0.0994797032642819,5680000.0,,
NPL,496098775.30864197,,28.575760928214997,19490000.0,,,35530.0,0.0,,,,,7.53244855331717,37.095,,78.78735671770059,,,,0.17482517482517498,5023000100.0,,50.210289414503094,,,501.059,,,,,150.347,,,19490000.0,3.695,468.563966676082,74.9649510489511,4952999900.0,,,,,,,29.7,7.619000006619,489185175.30864197,0.16847033783992998,,,,,,,,,143000.0,100.0,,,,11026.8906271164,,396104.0,5.0,,73.9850262085547,,,3.92865311708833,134755.0,,40000.0,5.0,0.0140249224159579,,,205.2,489185175.30864197,30000.0,,0.0,,119060000.0,,36.805,,,17.0731707317073,,,,555852704.776944,,,,24.846153846153804,18500000.0,,36.9464634146342,496098775.30864197,,,10000.0,,5.772987018365001,,,,,,,,,,,215.0,57.0,,,,,118208135200.0,,,,,0.0,98385600.0,,1.1947196801053799,1.6497483391957302,,,,,,,,46059999.999740005,,,23.8543,306.5,,,,129247.0,,,43.706,,,,1930856839.12562,32.6295619332297,,121.011,,,,,,,1742000.0,96.0,,4.24928461268882,,1.20566366305634,12.629370629370598,,,,1.8180990501108798,,,,,,,10719988.0,10323884.0,,,,0.0778654310114903,2.68605711125795,,,70000000.0,2.7929699558196,,1806000.0,,,,2.8731151579686998,20000.0,129247.0,,,,,,,,,,,4952999900.0,,,,,119060000.0,41.3815761734062,,,,43378400.0,147180.0,,,26.26879,4.802330509145929,,468.563966676082,,,,,,25.779,10.125,,,,89148.0,29.28,126.948,,,,,55.9323667153359,537.205,5.965,32.03,,,,,,,5023000100.0,,,,,96.305,6913580.24691358,,,3280500.0,,,,,180.117444079752,,,,0.0,46.277922634674795,,50.0,80.4878048780488,,17000000.0,,,,,,1883.18,,,,1.6061447998171698,,,,0.0,,25.669,,,,1.19047619047619,,,,,,1190000.0,210000.0,39.0,,49119654.3996529,,
