Country,IQ.CPA.GNDR.XQ
MDA,5.0
GNQ,2.8813231522023495
TMP,3.5
TUN,3.832309634954366
YEM,2.0
BDI,4.0
CUW,3.9992879074477052
CRI,3.007117812634333
WSM,3.5
NPL,4.0
EAP,3.36363636363636
ERI,3.5
QAT,3.3562001286988097
LDC,3.2209302325581404
UZB,4.0
CPV,4.5
MEA,2.5
GRC,3.279871326388167
BEL,2.8088244502194932
WBG,3.2270357049574017
ECS,4.27777777777778
ARB,2.8
AGO,3.5
OSS,3.5
SLB,3.0
STP,3.0
BTN,4.0
COM,3.0
BEN,3.5
PNG,2.5
UGA,3.5
LSO,4.0
MNG,3.5
KSV,3.5
COG,3.0
TGO,3.0
CHE,3.768137061021224
MNP,3.4689036686421124
LBR,2.5
PHL,3.2733116736366497
MNE,3.799467697664859
KOR,3.6654100320033964
PRI,4.096663475425891
FRO,3.726984328881462
DZA,3.191549219994276
SYR,3.3932849836551764
CUB,3.1657816685590756
MMR,2.5805630991307247
SVN,4.581323609657937
PRY,4.455572253743497
SDN,2.0
FRA,4.405310650798672
BFA,3.5
CMR,3.0
GUM,2.8971411792353097
TJK,4.0
ISR,4.537018043789817
FIN,3.887619277872072
COL,4.395986113899481
MNA,2.5
SSA,3.21052631578947
PRT,3.462648469316788
TCD,2.5
NAC,3.17785618255258
ARG,2.851798353372488
WLD,3.4285714285714306
PRK,3.6388185577704344
EAS,3.36363636363636
NIC,3.5
GRL,3.7337688964288134
LMC,3.52564102564103
KWT,3.611923957425735
MHL,3.67296022974762
TUV,2.996067016209832
NZL,3.865387646947435
ATG,3.43592779675238
RUS,3.600212580730278
IMY,3.010409804015347
ZAF,2.748050766481558
GHA,4.0
PAN,3.3709149023402767
CHN,4.0544757419927935
HKG,2.8072641179834372
CYP,4.01888461568856
NLD,3.533255342095064
MAR,3.2718816673318574
CHL,3.4224577019159046
MIC,3.58163265306122
BRA,2.657105308226867
BIH,4.5
TZA,3.5
FCS,2.9375
MDV,4.0
MLI,3.5
PER,2.988442369038165
MYS,2.7188666753750668
EGY,2.7405779641858707
SYC,3.473388809431285
SVK,3.6999437203342955
NGA,3.0
IND,3.5
KAZ,3.3625446913266055
IDN,3.0747779882753736
GRD,4.5
SLE,3.0
HUN,3.5301548534378453
KHM,4.0
MUS,3.1495475529942634
KGZ,4.5
CIV,2.5
VUT,3.5
TCA,3.314619114337276
TKM,3.3550252315587508
VNM,4.5
VEN,4.091909809170188
CAN,3.4929401565574603
EST,3.7049099610906424
SWZ,3.3982166687722586
KEN,3.0
JAM,3.756155858429345
DNK,2.45726335797624
LUX,3.935543629912989
MDG,3.5
PSS,3.1
ABW,3.6911663140097706
USA,3.637493979961218
AFG,2.0
ROM,3.874883385526845
EUU,2.746997214683912
TON,3.0
LAO,3.5
BOL,4.0
HIC,4.044492392845743
SLV,3.322709340169468
NAM,3.0283192686944544
UKR,3.3925606177156036
SMR,4.610564931509419
BLZ,4.055784474460663
BHR,2.735256243177507
MOZ,3.5
SSD,2.745634623843536
ISL,3.147239315454963
VIR,3.658854516289022
SEN,3.5
BMU,3.854926041594907
BLR,3.554920474587958
SRB,4.150768611431317
ADO,3.873126406014266
SXM,3.755114332907448
LCN,3.77777777777778
BGD,4.0
LIE,3.023618982473229
LBY,3.0461683400182933
ESP,3.733625716548149
PAK,2.0
ETH,3.0
OED,2.9286682601701846
GNB,2.5
CYM,3.5876850367796242
BWA,4.924229151425404
FJI,3.573086491142595
DEU,3.4071277244614313
JPN,2.9203470593080363
AZE,4.0
CZE,3.941653027951287
LAC,3.77777777777778
HRV,3.4106073134058783
ALB,3.6662793990682037
ZWE,2.5
URY,3.842805952944005
MAF,4.261111671673511
BGR,3.3474997720647024
ECA,4.27777777777778
LBN,3.286808555001257
GBR,4.065081566852401
LIC,3.16071428571429
UMC,3.8
ARE,2.970104320544466
SSF,3.21052631578947
VCT,4.0
NER,2.5
NOR,2.8604407909376453
BRB,3.982846458340227
EMU,3.1223961894240837
MRT,4.0
LVA,3.6525370468898917
MAC,3.399283580821871
SWE,2.991475013379901
GEO,4.5
TUR,3.3266856147385258
JOR,3.396888624511413
LTU,4.14468309954566
BRN,3.856148175812268
CAF,2.5
NOC,3.818919774810599
OMN,4.8666182119307875
DJI,3.0
SOM,3.3491576436078008
SST,3.5
SAU,2.8543436915921045
ITA,3.657341196431642
ZMB,3.5
ARM,4.5
MWI,3.5
BHS,3.8900343840049594
CEB,3.5289815700159197
LMY,3.4285714285714306
GAB,3.606523294115914
DMA,3.5
FSM,3.5450355316711955
HPC,3.21052631578947
GTM,3.0020401514220385
LCA,3.5
MKD,4.256395308963132
SUR,3.9701553862887877
RWA,3.5
AUS,3.4268166376381917
GIN,3.5
ECU,3.3325459637360684
IRL,3.3408795236680917
ZAR,2.5
HTI,3.0
AUT,3.9501820562928573
MCO,2.8245566135995075
OEC,4.489390238166685
MEX,2.677174102237066
LKA,4.0
MLT,2.8245563140007444
SAS,3.4375
POL,3.117756936169326
GMB,3.5
PYF,4.134842462441708
CSS,3.9
IRN,3.2094053974215075
THA,3.916101569881474
IRQ,3.1781142460224805
SGP,3.725866459800016
TTO,3.331576496168343
CHI,3.5864841968271937
GUY,4.0
KNA,2.9650833999528
HND,4.0
NCL,2.7002406573238393
PLW,3.581205946027813
ASM,4.288548441757367
KIR,2.5
DOM,3.8870580634615015
