Country,NY.GNP.PCAP.CD
MDA,308.5273003984439
GNQ,87.22488422577749
TMP,-212.55786979235813
TUN,250.0
YEM,2274.509661890736
BDI,50.0
CUW,1382.2204854339914
CRI,470.0
WSM,804.7543891830064
NPL,70.0
EAP,108.211160393691
ERI,-863.6880771909175
QAT,1215.2015450649128
LDC,1072.3266515080682
UZB,515.3738003173739
CPV,-827.9818761134675
MEA,413.4046087014658
GRC,1330.0
BEL,2510.0
WBG,1521.861004398335
ECS,-463.22654388243836
ARB,204.8213634524402
AGO,2239.5620181218983
OSS,632.6287688309553
SLB,-399.07997764339746
STP,1940.760569221889
BTN,2786.3905786469495
COM,2724.552028153932
BEN,120.0
PNG,230.0
UGA,1429.9282006293236
LSO,80.0
MNG,-275.70775657683623
KSV,2807.7706168327854
COG,210.0
TGO,140.0
CHE,1287.4114272657703
MNP,644.0845500852206
LBR,240.0
PHL,240.0
MNE,2014.6212896801362
KOR,230.0
PRI,1560.0
FRO,1810.1563336922436
DZA,310.0
SYR,370.0
CUB,1216.9132269052127
MMR,-200.25122387418173
SVN,3087.820068669259
PRY,2438.2443963814194
SDN,130.0
FRA,2820.0
BFA,90.0
CMR,150.0
GUM,308.05122223688454
TJK,2146.6126976490104
ISR,1700.0
FIN,2270.0
COL,310.0
MNA,1375.0447185337794
SSA,185.356693054202
PRT,790.0
TCD,140.0
NAC,4941.3245572019205
ARG,1300.0
WLD,753.420945077957
PRK,-320.1890059427217
EAS,274.900597010157
NIC,310.0
GRL,1218.5128234346976
LMC,133.408420646883
KWT,3530.0
MHL,552.6775366594047
TUV,-122.6820118161404
NZL,1441.5634447885705
ATG,503.25618837802404
RUS,1569.4905182538664
IMY,1400.6170850697974
ZAF,720.0
GHA,230.0
PAN,710.0
CHN,110.0
HKG,840.0
CYP,1722.4717863557125
NLD,2480.0
MAR,240.0
CHL,810.0
MIC,166.33678685665
BRA,410.0
BIH,-268.18760786096664
TZA,-536.785015021545
FCS,449.9620870954832
MDV,-64.56061932887883
MLI,60.0
PER,480.0
MYS,340.0
EGY,200.0
SYC,330.0
SVK,-170.14603472810086
NGA,120.0
IND,110.0
KAZ,-99.94207646698624
IDN,80.0
GRD,2074.904926133872
SLE,160.0
HUN,1232.4061709245889
KHM,1563.2306289719459
MUS,1655.1611926114156
KGZ,465.33033408002575
CIV,280.0
VUT,622.5304706924333
TCA,-94.03625575819751
TKM,-180.38058268257464
VNM,732.6394240556026
VEN,1030.0
CAN,3680.0
EST,1591.5145926006644
SWZ,-605.351838236908
KEN,140.0
JAM,650.0
DNK,474.25009218067225
LUX,2560.0
MDG,170.0
PSS,-279.8877203468462
ABW,-1320.4775094571178
USA,5070.0
AFG,2296.399323725203
ROM,522.7360206480105
EUU,1077.9945865484215
TON,1704.8849364900148
LAO,1029.4217749391687
BOL,-431.5342870886002
HIC,2278.8484759647304
SLV,300.0
NAM,837.4823510338542
UKR,1022.1890145409343
SMR,885.0814186692683
BLZ,420.0
BHR,931.9700935645446
MOZ,1725.0892938530783
SSD,871.1750398107233
ISL,2490.0
VIR,273.1205261837713
SEN,250.0
BMU,3340.0
BLR,3544.673412388279
SRB,122.4928734933319
ADO,1757.8169328355743
SXM,-1022.3419300205819
LCN,572.748761444859
BGD,2561.167228860024
LIE,511.29732525480085
LBY,3057.489614005576
ESP,1110.0
PAK,160.0
ETH,-383.9298764839118
OED,2506.47812454372
GNB,1003.0641661217869
CYM,364.9449495224284
BWA,130.0
FJI,350.0
DEU,1083.133067078517
JPN,1660.0
AZE,1466.3013306833077
CZE,681.4727144737717
LAC,446.71232058058
HRV,-84.8197980502323
ALB,1740.4807199548827
ZWE,340.0
URY,670.0
MAF,775.401474071642
BGR,33.518840323736185
ECA,299.205657955878
LBN,-210.99441322332314
GBR,398.5573457418177
LIC,2114.828552202143
UMC,198.441330517271
ARE,830.6418146849248
SSF,185.166919739342
VCT,190.0
NER,150.0
NOR,2850.0
BRB,1785.867803606182
EMU,2067.6732921639605
MRT,180.0
LVA,-317.95393172090735
MAC,-798.7754374415499
SWE,4100.0
GEO,-29.664499200367572
TUR,560.0
JOR,-558.8582733161611
LTU,728.318432761243
BRN,1718.2522971215733
CAF,110.0
NOC,2525.571467580167
OMN,280.0
DJI,1013.7191724442721
SOM,1690.8418954395606
SST,552.5428238841187
SAU,1196.8345855999314
ITA,1850.0
ZMB,400.0
ARM,894.8024027781926
MWI,60.0
BHS,2760.0
CEB,559.5696193882527
LMY,161.24347212370702
GAB,530.0
DMA,-696.1459171674996
FSM,169.63572494979917
HPC,143.166209223291
GTM,330.0
LCA,1848.7024981759587
MKD,1545.18274222965
SUR,993.9362401577046
RWA,50.0
AUS,2970.0
GIN,350.3867812609885
ECU,500.0
IRL,714.1106420902233
ZAR,230.0
HTI,758.2567664474293
AUT,1850.0
MCO,-1341.8602527403245
OEC,2707.56509435233
MEX,630.0
LKA,170.0
MLT,269.44410263422424
SAS,113.160667387041
POL,1838.9253122870023
GMB,110.0
PYF,2430.0
CSS,670.171206170868
IRN,370.0
THA,190.0
IRQ,1497.0414204843155
SGP,850.0
TTO,810.0
CHI,-1078.3846526818206
GUY,360.0
KNA,1611.8262862582405
HND,250.0
NCL,2520.0
PLW,-225.773286480759
ASM,1458.8691188942162
KIR,1380.3761313093778
DOM,280.0
