Country,SP.DYN.LE00.IN
MDA,68.2272926829268
GNQ,54.9863170731707
TMP,64.82792682926829
TUN,74.3024390243903
YEM,62.211365853658506
BDI,53.8910243902439
CUW,75.30975609756099
CRI,78.4577317073171
WSM,71.84429268292679
NPL,67.04536585365851
EAP,72.87450848254741
ERI,60.25007317073171
QAT,77.448756097561
LDC,60.2238612201328
UZB,67.63217073170729
CPV,72.3095365853659
MEA,71.7521775558897
GRC,79.9390243902439
BEL,79.6804878048781
WBG,72.2700731707317
ECS,75.1666803855133
ARB,69.54373862850319
AGO,49.847390243902396
OSS,59.6231810010375
SLB,66.5612195121951
STP,65.4505365853659
BTN,66.8850243902439
COM,61.0672926829268
BEN,58.20451219512201
PNG,61.58224390243901
UGA,54.461975609756095
LSO,45.739243902439
MNG,66.55992682926829
KSV,69.39756097560971
COG,56.965073170731706
TGO,56.0059024390244
CHE,81.9926829268293
MNP,58.91313945896659
LBR,58.112463414634114
PHL,67.5807804878049
MNE,74.10204878048779
KOR,79.8326829268293
PRI,78.55892682926829
FRO,80.19024390243901
DZA,73.2193170731707
SYR,75.0151219512195
CUB,78.6505121951219
MMR,64.36760975609761
SVN,78.7658536585366
PRY,71.8988292682927
SDN,61.1506097560976
FRA,81.2146341463415
BFA,55.9022926829268
CMR,52.8558292682927
GUM,77.57573170731709
TJK,67.7145853658537
ISR,80.9512195121951
FIN,79.5682926829268
COL,72.9071707317073
MNA,71.20369280799241
SSA,54.923621442354495
PRT,78.5243902439025
TCD,48.9515853658537
NAC,78.1958764596781
ARG,75.1662682926829
WLD,69.9172195050873
PRK,68.4919512195122
EAS,73.81338829812108
NIC,72.9184146341464
GRL,70.18317073170729
LMC,65.3754812740512
KWT,73.9829268292683
MHL,77.89650003915514
TUV,68.94611894593268
NZL,80.35121951219509
ATG,74.9791707317073
RUS,67.8487804878049
IMY,62.60198409268372
ZAF,52.636024390243904
GHA,60.0304146341463
PAN,76.4935853658537
CHN,74.5798292682927
HKG,82.37560975609759
CYP,79.02753658536591
NLD,80.25121951219509
MAR,71.71141463414641
CHL,79.64090243902442
MIC,69.0449813378184
BRA,72.6954146341463
BIH,75.51197560975609
TZA,59.3147073170732
FCS,59.8481822499893
MDV,75.75953658536591
MLI,54.995146341463396
PER,73.2250243902439
MYS,73.92607317073171
EGY,69.96446341463411
SYC,73.16341463414629
SVK,74.7048780487805
NGA,50.357439024390295
IND,65.6994390243903
KAZ,67.0219512195122
IDN,67.7647804878049
GRD,72.08714634146341
SLE,46.4276341463415
HUN,73.7024390243903
KHM,65.23497560975609
MUS,72.5707317073171
KGZ,68.4512195121951
CIV,49.2797804878049
VUT,70.254756097561
TCA,68.3860710345664
TKM,64.75607317073171
VNM,75.0350731707317
VEN,73.47624390243901
CAN,80.5432195121951
EST,73.7707317073171
SWZ,47.345829268292704
KEN,56.7846829268293
JAM,72.3230243902439
DNK,78.4463414634146
LUX,80.5390243902439
MDG,62.48275609756099
PSS,68.7277456984114
ABW,74.6757317073171
USA,77.9390243902439
AFG,58.2250243902439
ROM,72.5658536585366
EUU,79.18321461845609
TON,71.8831951219512
LAO,63.3489024390244
BOL,65.27380487804881
HIC,77.88203640232241
SLV,71.08078048780492
NAM,60.18407317073171
UKR,68.2514634146342
SMR,82.8317073170732
BLZ,69.5942195121951
BHR,75.84751219512201
MOZ,52.1505609756098
SSD,52.5933170731707
ISL,81.609756097561
VIR,78.92439024390251
SEN,62.53507317073171
BMU,79.2365853658537
BLR,70.45609756097559
SRB,73.8853658536585
ADO,64.13132294152162
SXM,74.5365853658537
LCN,73.5919624278533
BGD,69.2778536585366
LIE,82.6829268292683
LBY,71.78739024390251
ESP,81.1756097560976
PAK,64.59814634146339
ETH,59.44692682926829
OED,78.9196656834972
GNB,53.154731707317104
CYM,70.3640465802383
BWA,60.9585853658537
FJI,69.0220243902439
DEU,79.7365853658537
JPN,82.5875609756098
AZE,70.06292682926829
CZE,76.9756097560976
LAC,73.2154012300113
HRV,75.9121951219512
ALB,76.6323170731707
ZWE,45.8044878048781
URY,76.10107317073171
MAF,78.37073170731709
BGR,72.9634146341463
ECA,70.7346666988242
LBN,78.5224146341464
GBR,79.6
LIC,57.63477052879711
UMC,73.3266904179902
ARE,76.307756097561
SSF,54.9255906275459
VCT,71.9317317073171
NER,56.3372926829268
NOR,80.5926829268293
BRB,74.5191951219512
EMU,80.3026744388234
MRT,61.4177317073171
LVA,72.41951219512201
MAC,79.2646097560976
SWE,81.1
GEO,73.3968048780488
TUR,73.5341951219512
JOR,73.1197804878049
LTU,71.8121951219512
BRN,76.956756097561
CAF,46.284
NOC,72.02088098084171
OMN,75.4525365853659
DJI,59.3238780487805
SOM,53.3545121951219
SST,63.0612201261253
SAU,73.445756097561
ITA,81.48536585365851
ZMB,53.9056341463415
ARM,73.945
MWI,53.28736585365851
BHS,74.2474390243902
CEB,74.57753902187001
LMY,67.92862336169961
GAB,60.9491951219512
DMA,77.32105407004019
FSM,68.3592682926829
HPC,57.30423085962671
GTM,70.3281463414634
LCA,74.0131463414634
MKD,74.4463902439024
SUR,69.795
RWA,59.31534146341461
AUS,81.39512195121951
GIN,54.7775853658537
ECU,74.6678292682927
IRL,80.0951219512195
ZAR,55.724
HTI,60.397975609756095
AUT,80.4317073170732
MCO,46.755258118496215
OEC,79.6368773398032
MEX,75.7324634146342
LKA,73.6199512195122
MLT,79.6365853658537
SAS,65.92240498041329
POL,75.54390243902441
GMB,58.853073170731705
PYF,75.18665853658541
CSS,70.9657904710293
IRN,73.09207317073171
THA,73.1884390243902
IRQ,68.7346829268293
SGP,80.790243902439
TTO,69.42892682926829
CHI,79.6330243902439
GUY,65.8701463414634
KNA,77.19471345066367
HND,72.0399756097561
NCL,76.45609756097559
PLW,67.70280291456058
ASM,71.50225908956423
KIR,65.0786097560976
DOM,72.3423170731707
