Country,Nbr1,Nbr2,Nbr3
CPV,DMA,LCA,SLB
PRT,IRL,GUM,CHL
LBY,CUB,BMU,NCL
FSM,ISL,SMR,TMP
GEO,MKD,TJK,ALB
PAK,AFG,UGA,BEN
CAF,MRT,SLV,SEN
GRC,MHL,IRL,MLT
NER,BEN,LAO,MMR
BEN,MMR,NER,NPL
GRD,BWA,GIN,HTI
ARB,ASM,GRL,BMU
LAO,NER,TCD,SYR
FRA,AUS,NOR,PYF
MDA,ERI,TKM,UZB
DNK,SWE,NOR,BEL
PER,HND,SDN,MWI
SVK,PSS,TMP,FCS
LAC,LMC,UMC,MIC
FIN,ESP,IRL,BEL
SLV,CAF,MRT,SEN
BGD,MWI,DOM,NPL
EST,ISR,ITA,SWE
ATG,BRB,WBG,URY
IRL,FIN,ESP,CHL
JOR,GRD,MLI,HTI
SMR,MHL,TMP,TCA
SSD,ARB,FRO,SMR
KWT,BHR,FIN,ESP
LDC,SMR,SSF,ASM
MWI,DOM,NPL,MDG
SSA,EAP,LIC,SAS
COM,NER,GIN,SWZ
WBG,ATG,MLT,CUB
ISR,CUW,EST,MAC
DOM,MWI,NPL,MDG
CIV,GNB,BLZ,DJI
HIC,OEC,OED,USA
CHI,IRL,SWE,FIN
THA,KEN,HND,SDN
ROM,NGA,MUS,DJI
NPL,MWI,DOM,MDG
SGP,LCN,LIE,EMU
DZA,LKA,FJI,TUN
VNM,IRN,LBN,ARE
LBR,LAO,NER,GAB
LKA,FJI,TUN,MWI
ARE,RUS,CHL,FIN
VEN,SYC,FCS,URY
BWA,PNG,SWZ,ETH
AGO,TZA,CIV,MKD
MLT,GRC,MHL,CYP
USA,OED,HIC,KOR
MIC,LMY,LMC,UMC
MDG,MWI,DOM,NPL
MNA,NOR,FRA,NOC
TMP,SMR,FCS,ASM
NZL,NCL,BHR,FIN
IRN,VNM,OMN,USA
BHS,OSS,GRL,LBY
VIR,GRL,SXM,LBY
WSM,SYR,LAO,HTI
GUM,PRT,MHL,IRL
MRT,CAF,SLV,SEN
LBN,JAM,NGA,WSM
GIN,SWZ,PRY,GRD
LIE,DNK,SWE,NOC
AZE,KGZ,EGY,GEO
MNE,CAF,SYR,LKA
NAC,EUU,EMU,EAS
POL,NCL,BHR,NOR
GAB,HTI,VCT,TCD
SWZ,BWA,GIN,NER
BGR,DMA,CPV,SRB
FRO,TUV,FSM,SSD
CZE,PRI,PRT,ARB
MCO,RUS,HKG,FRA
MLI,BEN,KEN,PNG
MDV,CPV,GRD,HTI
ERI,TKM,MDA,KGZ
