Country,Nbr1,Nbr2,Nbr3
CPV,KIR,VUT,TON
PRT,SGP,WLD,HKG
GEO,AZE,DJI,TKM
FSM,MKD,CUW,DNK
LBY,SVN,FRA,FIN
PAK,SAS,IND,GHA
CAF,BFA,SLE,TGO
GRC,JPN,KWT,DNK
NER,MDG,SLE,TGO
BEN,SLE,TGO,CAF
GRD,FIN,HIC,USA
LAO,LIC,TZA,GIN
ARB,FJI,KOR,SYC
MDA,MNG,AZE,TKM
FRA,FIN,HIC,USA
DNK,GRC,JPN,KWT
PER,DOM,GTM,COL
SVK,MNE,LBN,BRB
LAC,BRA,FJI,MYS
SLV,UMC,GTM,THA
FIN,HIC,USA,BHS
BGD,LDC,TCD,CAF
EST,FIN,HIC,USA
ATG,MLT,LIE,MMR
IRL,ABW,FRA,FIN
JOR,WSM,KAZ,ROM
SMR,EUU,GRC,KNA
SSD,KWT,BRB,SVN
KWT,GRC,JPN,NCL
LDC,CAF,BGD,GNB
SSA,SSF,MRT,LSO
MWI,CAF,NER,NPL
COM,LIC,UGA,MOZ
WBG,MNE,BRB,SWZ
ISR,PRI,ITA,ARG
CHI,NZL,PRT,KNA
CIV,SSF,SSA,LSO
DOM,COL,EAS,TUN
HIC,FIN,USA,BHS
THA,VCT,BWA,COL
ROM,ECA,BGR,WSM
VNM,FCS,UZB,YEM
DZA,ECU,IRN,FJI
SGP,PRT,WLD,HKG
NPL,MWI,CAF,MLI
LBR,ZAR,NER,MDG
LKA,CHN,EAP,GUY
VEN,HKG,ISR,LIE
ARE,FRA,FIN,EST
BWA,VCT,EAS,THA
MLT,LIE,CUB,CEB
AGO,AZE,ARM,MDA
USA,FIN,HIC,BHS
MIC,LMY,EGY,PHL
MDG,NER,SLE,TGO
MNA,ROM,KAZ,BLR
TMP,ESP,ECS,GRC
NZL,GRC,JPN,NCL
IRN,DZA,GAB,BRA
BHS,NLD,FIN,HIC
VIR,GBR,ECS,FRA
WSM,ROM,MKD,FIN
GUM,CYM,VEN,LIE
MRT,LSO,PAK,SSF
LBN,SVK,BRB,SVN
