Country,Nbr1,Nbr2,Nbr3
CPV,TON,SST,ARB
PRT,ISL,GRC,HKG
GEO,BLR,RUS,AZE
LBY,ARG,BRB,NCL
FSM,MDV,WSM,MKD
PAK,MRT,SEN,BGD
CAF,UGA,GNB,NER
GRC,ISL,HKG,FRA
NER,MWI,MLI,BDI
BEN,UGA,GNB,CAF
LAO,TZA,SSF,SSA
ARB,PER,SLV,DOM
GRD,LAC,NAM,BRA
FRA,ISL,GRC,HKG
DNK,ISL,GRC,HKG
MDA,GEO,BLR,TKM
PER,ARB,SLV,DOM
SVK,TTO,HRV,POL
LAC,EAS,BRA,MUS
SLV,ARB,PER,DOM
FIN,ISL,GRC,HKG
BGD,IND,MRT,PAK
EST,TTO,HRV,NOC
ATG,PRI,ISL,GRC
IRL,ISL,GRC,HKG
SMR,MAC,CYP,PRT
JOR,BLZ,ECU,NAM
SSD,HTI,CMR,LDC
KWT,ISL,GRC,HKG
LDC,HPC,ZMB,ZAR
MWI,NER,MLI,BDI
SSA,SSF,NGA,GHA
COM,PAK,PNG,LSO
WBG,GAB,SRB,BLR
ISR,ISL,GRC,HKG
HIC,ISL,GRC,HKG
DOM,ARB,PER,SLV
CIV,NGA,SSF,SSA
CHI,MCO,BHR,GRC
THA,ARB,PER,SLV
ROM,BGR,CUB,FSM
NPL,NER,BEN,MWI
SGP,ISL,GRC,HKG
DZA,BWA,VCT,ARB
VNM,CPV,WSM,ECU
LBR,ZAR,CAF,LIC
LKA,IDN,ARB,PER
ARE,ISL,GRC,HKG
VEN,CSS,CUB,CRI
BWA,ARB,PER,SLV
AGO,SSA,SSF,MDG
MLT,ISL,GRC,HKG
USA,ISL,GRC,HKG
MIC,ARB,PER,SLV
MDG,ZAR,LBR,LDC
MNA,FJI,NIC,NAM
TMP,SEN,SAS,SSF
NZL,ISL,GRC,HKG
IRN,BWA,UMC,ARB
BHS,ISL,GRC,HKG
VIR,ISL,GRC,HKG
WSM,VUT,MDV,ECU
GUM,MCO,BRB,PYF
MRT,GHA,PAK,BGD
LBN,PAN,RUS,CRI
GIN,UGA,GNB,SLE
LIE,ISL,GRC,HKG
AZE,BLR,GEO,FSM
MNE,KSV,ARG,LBN
NAC,ISL,GRC,HKG
POL,VEN,SVK,TTO
GAB,LCN,BGR,CUB
SWZ,COG,ZWE,SLB
BGR,CUB,JOR,PAN
FRO,BRB,BHR,GRC
CZE,ISL,PRT,GRC
MCO,ISL,GRC,HKG
MLI,NER,MWI,BDI
MDV,WSM,VUT,CPV
ERI,MDG,HTI,TZA
NIC,ARB,PER,SLV
CRI,PAN,SUR,BGR
HKG,ISL,GRC,FRA
SYR,COL,SST,TON
KGZ,ARM,MDA,UZB
KEN,CMR,SDN,CIV
OED,ISL,GRC,HKG
QAT,ISL,GRC,HKG
CYP,GRC,NLD,DNK
BRA,EAS,LAC,MYS
BEL,ISL,GRC,HKG
ALB,WSM,PSS,OSS
SAU,ISL,GRC,HKG
HND,ARB,PER,SLV
HTI,ERI,TZA,BEN
SXM,STP,MAF,MNE
FCS,SDN,CIV,KEN
GNB,UGA,CAF,NER
DJI,MRT,PNG,PAK
BDI,NER,MWI,MLI
MMR,KWT,FRO,SVN
CSS,CUB,PAN,SUR
TZA,LAO,LDC,MDG
PRK,BRB,ISL,GRC
HPC,LDC,ZMB,ZAR
OEC,ISL,GRC,HKG
SLE,GMB,MOZ,NER
GRL,ISL,GRC,HKG
MKD,FSM,WSM,MDV
AFG,NER,MWI,MLI
UZB,KGZ,ARM,VNM
NGA,SSF,SSA,LDC
PNG,MRT,PAK,GHA
URY,ARG,PRT,NCL
BRB,ISL,GRC,HKG
EMU,ISL,GRC,HKG
EAP,ARB,PER,SLV
BLZ,JOR,BWA,JAM
COG,SWZ,ZWE,MNG
ITA,ISL,GRC,HKG
UGA,GNB,CAF,NER
SVN,BRB,GRC,FRA
PRY,ARB,PER,SLV
DMA,VCT,NAM,ARB
KOR,ATG,SYC,KNA
GBR,ISL,GRC,HKG
CHN,ARB,PER,SLV
PLW,ATG,IRQ,SRB
ZMB,LDC,HPC,ZAR
TON,SST,ARB,PER
ECA,BLR,JAM,KAZ
PSS,ARB,PER,DOM
CHE,BHR,BRB,ISL
BFA,NER,MWI,MLI
ZAR,LBR,LDC,MDG
STP,GAB,KGZ,ARM
IRQ,GAB,KOR,MEX
CUB,BGR,SUR,CSS
MOZ,SLE,GMB,NER
CAN,ISL,GRC,HKG
BMU,ISL,GRC,HKG
SWE,GRC,HKG,FRA
JPN,ISL,GRC,HKG
ISL,GRC,HKG,FRA
NLD,GRC,HKG,FRA
YEM,GHA,PAK,LAO
GUY,LKA,IDN,ARB
JAM,VUT,BLZ,OSS
SSF,SSA,NGA,GHA
CHL,MYS,SVK,CRI
TUR,MEA,UMC,ARB
ETH,UGA,GNB,NER
LTU,VEN,TTO,LVA
NOC,ISL,GRC,HKG
CEB,LTU,SVK,VEN
SRB,WBG,CSS,CUB
BOL,KIR,ARB,PER
ECU,JOR,WSM,CPV
GTM,ARB,PER,SLV
LSO,MDG,KEN,CMR
VCT,BWA,ARB,PER
TUV,BLR,ARM,GEO
ABW,ISL,GRC,HKG
KNA,KOR,ATG,SYC
MAF,PRT,GRC,FRA
TJK,YEM,LAO,KGZ
AUS,ISL,GRC,HKG
WLD,JOR,BGR,CUB
EGY,ARB,PER,SLV
TGO,LBR,CAF,LIC
PAN,CRI,SUR,LCN
GNQ,BTN,BGD,IND
TTO,SVK,NOC,KWT
NCL,ISL,GRC,HKG
MEA,UMC,ARB,PER
