Country,Nbr1,Nbr2,Nbr3
CPV,KHM,DMA,SLB
PRT,EST,CHL,KWT
FSM,SAU,ISR,PYF
LBY,BEL,ARB,LIE
GEO,MKD,ALB,TJK
PAK,SLB,PER,BGD
CAF,SLV,GMB,BEN
GRC,FIN,POL,BEL
NER,ETH,NPL,CAF
BEN,CRI,MDG,ZAR
LAO,GIN,DJI,GRD
GRD,SWZ,PRY,GNB
ARB,LIE,ITA,AUS
FRA,LIE,BEL,ITA
MDA,TKM,BLR,GEO
DNK,AUS,CHE,LIE
PER,MWI,HND,BOL
SVK,CYP,LTU,NCL
LAC,MIC,LMY,LMC
FIN,HKG,BEL,NOC
SLV,CAF,GMB,BEN
BGD,BFA,NGA,SEN
EST,GUM,ITA,ESP
ATG,MNP,FCS,PRK
IRL,POL,BEL,LUX
JOR,MLI,BLZ,GRD
SMR,CAN,RUS,LIE
SSD,BEL,ITA,CAN
KWT,NOC,CHL,HKG
LDC,HPC,IRQ,SSF
MWI,HND,BEN,CRI
SSA,LIC,SAS,EAP
COM,GRD,GIN,GNB
WBG,MLT,TCA,TMP
ISR,CEB,HKG,POL
CHI,KWT,NOC,BHR
CIV,BWA,CAF,SLV
HIC,OED,OEC,JPN
DOM,KEN,UGA,TGO
THA,MWI,DOM,CIV
ROM,WSM,COL,LAO
NPL,CAF,SLV,BFA
DZA,GUY,BOL,LSO
VNM,KHM,COL,CPV
SGP,FRA,PLW,POL
LBR,COM,GIN,COG
LKA,LSO,SDN,MAR
ARE,CHL,CEB,HKG
VEN,KIR,MYS,SMR
BWA,CAF,SLV,DOM
MLT,MNP,NZL,BEL
AGO,KGZ,TON,TJK
USA,OEC,HIC,OED
MIC,LMY,LMC,UMC
MDG,BEN,CRI,ZAR
MNA,LIE,BEL,FRA
TMP,FRA,LIE,ITA
NZL,BEL,LIE,ESP
IRN,HIC,USA,OEC
BHS,MLT,GRL,KNA
VIR,MEA,BEL,CZE
WSM,GIN,GRD,COM
GUM,MCO,ESP,BEL
MRT,BDI,BFA,SEN
LBN,WSM,JOR,COM
GIN,MLI,LAO,NER
LIE,BEL,FRA,ITA
AZE,KGZ,MKD,TJK
MNE,CAF,SLV,LSO
NAC,ECS,EUU,EMU
POL,LUX,LIE,SWE
GAB,TCD,SLE,PNG
SWZ,GRD,VCT,UGA
BGR,DMA,LCA,CPV
CZE,BEL,PRI,BHR
FRO,CAN,CHI,HRV
MCO,RUS,GUM,LIE
MLI,ETH,GIN,DJI
MDV,DMA,SLB,CPV
ERI,TJK,KGZ,TKM
CRI,BEN,MDG,ZAR
NIC,MWI,HND,BEN
SYR,PRY,BEN,CRI
HKG,POL,NOC,LUX
KGZ,ERI,TJK,MKD
KEN,DOM,UGA,TGO
OED,HIC,OEC,JPN
QAT,FRA,LIE,NOR
BRA,IRL,KWT,CEB
BEL,LIE,FRA,PRI
CYP,DEU,SVK,LVA
ALB,TJK,GEO,ERI
SAU,NOC,FSM,FIN
HND,MWI,BEN,CRI
HTI,PNG,BWA,VCT
FCS,HPC,SST,LDC
GNB,GRD,VCT,LAO
DJI,LAO,DOM,KEN
BDI,MRT,TCD,DJI
TZA,MLI,GRD,BWA
PRK,GRL,SST,MHL
CSS,CHL,HKG,NOC
MMR,BEN,MDG,CRI
GHA,BFA,SEN,BEN
HPC,FCS,LDC,SST
OEC,HIC,OED,USA
SLE,BEN,CRI,MDG
GRL,AUS,DNK,CHE
MKD,GEO,ERI,KGZ
AFG,LAO,MRT,GNB
UZB,KAZ,TKM,UKR
NGA,BFA,SLE,SEN
PNG,HTI,CAF,SLV
URY,TCA,SST,VEN
BRB,SYC,KAZ,UKR
EMU,EUU,FRA,LCN
BLZ,CAF,SLV,MMR
EAP,SSA,LIC,SAS
COG,SLE,MUS,BEN
ITA,LIE,BEL,FRA
UGA,DOM,KEN,TGO
SVN,CZE,POL,HUN
PRY,GRD,SWZ,SYR
DMA,CPV,BGR,MDV
KOR,IDN,NAC,OEC
GBR,FRA,LIE,SWE
CHN,EUU,FRA,MCO
PLW,POL,CHE,HUN
ZMB,BEN,CRI,MDG
TON,DMA,ERI,CPV
ECA,LIE,FRA,LIC
PSS,ISL,TCA,MLT
CHE,DNK,LIE,MCO
BFA,SEN,GHA,BEN
ZAR,BEN,CRI,MDG
STP,VUT,COM,WSM
IRQ,LDC,SSF,PYF
CUB,ESP,NZL,SYC
MOZ,LCA,LAO,BFA
CAN,AUS,LIE,ITA
BMU,BEL,ASM,GBR
ISL,NLD,CAN,NOC
SWE,LIE,NOR,BEL
NLD,LIE,BEL,FRA
JPN,HIC,OED,OEC
YEM,GIN,MLI,HTI
GUY,MWI,HND,LSO
SSF,LIE,NCL,BEL
JAM,GAB,SLE,PNG
CHL,KWT,NOC,MCO
TUR,PRT,OMN,EST
LTU,MAC,LVA,CAN
ETH,MLI,TCD,NER
NOC,LIE,FRA,KWT
CEB,ISR,POL,BHR
SRB,DMA,LCA,MDV
BOL,BEN,CRI,MDG
ECU,BEN,CRI,MDG
GTM,BEN,MDG,CRI
LSO,BEN,LKA,CRI
VCT,SWZ,GRD,HTI
KNA,BHS,IRL,SSD
MAF,AUS,LVA,DNK
TUV,BEL,FRA,LIE
ABW,AUS,ITA,MAF
TJK,ERI,KGZ,ALB
AUS,CAN,DNK,LIE
WLD,MIC,LMY,LMC
EGY,GEO,BGD,ZAF
TGO,DOM,KEN,UGA
PAN,CAF,SLV,MNE
GNQ,MKD,LDC,OSS
TTO,CHI,KWT,SAU
NCL,LIE,BEL,FRA
MEA,LIE,BEL,FRA
HRV,LIE,ITA,SWE
PYF,LIE,NCL,NOR
ZWE,BEN,CRI,MDG
TCA,CSS,ADO,MHL
SOM,DOM,KEN,UGA
ESP,BEL,GUM,LIE
LMC,MIC,UMC,LMY
NAM,HRV,TCA,GRL
EAS,EUU,FRA,LIE
SLB,CPV,KHM,MDV
LCA,DMA,MOZ,VUT
COL,ROM,WSM,CIV
FJI,BEN,CRI,MDG
SEN,BFA,GHA,BEN
KAZ,UKR,UZB,BRB
SUR,POL,LUX,PRI
KIR,SYC,FSM,SMR
