'Arab World', 'ARB', 'Bird species, threatened', 'EN.BIR.THRD.NO', 2015, 297
'Arab World', 'ARB', 'Business extent of disclosure index 0=less disclosure to 10=more disclosure', 'IC.BUS.DISC.XQ', 2015, 5.66666666666667
'Arab World', 'ARB', 'Cost of business start-up procedures % of GNI per capita', 'IC.REG.COST.PC.ZS', 2015, 31.142857142857103
'Arab World', 'ARB', 'Depth of credit information index 0=low to 8=high', 'IC.CRD.INFO.XQ', 2015, 3.71428571428571
'Arab World', 'ARB', 'Distance to frontier score 0=lowest performance to 100=frontier', 'IC.BUS.DFRN.XQ', 2015, 54.49190476190479
'Arab World', 'ARB', 'Ease of doing business index 1=most business-friendly regulations', 'IC.BUS.EASE.XQ', 2015, 122.42857142857099
'Arab World', 'ARB', 'Fish species, threatened', 'EN.FSH.THRD.NO', 2015, 572
'Arab World', 'ARB', 'Improved sanitation facilities % of population with access', 'SH.STA.ACSN', 2015, 90.4285605189192
'Arab World', 'ARB', 'Improved sanitation facilities, rural % of rural population with access', 'SH.STA.ACSN.RU', 2015, 86.41225741344509
'Arab World', 'ARB', 'Improved sanitation facilities, urban % of urban population with access', 'SH.STA.ACSN.UR', 2015, 92.75696045922199
'Arab World', 'ARB', 'Improved water source % of population with access', 'SH.H2O.SAFE.ZS', 2015, 92.0291512151593
'Arab World', 'ARB', 'Improved water source, rural % of rural population with access', 'SH.H2O.SAFE.RU.ZS', 2015, 88.1734082658475
'Arab World', 'ARB', 'Improved water source, urban % of urban population with access', 'SH.H2O.SAFE.UR.ZS', 2015, 94.30889836166608
'Arab World', 'ARB', 'Labor tax and contributions % of commercial profits', 'IC.TAX.LABR.CP.ZS', 2015, 15.790476190476198
'Arab World', 'ARB', 'Lifetime risk of maternal death %', 'SH.MMR.RISK.ZS', 2015, 0.561291092482172
'Arab World', 'ARB', 'Lifetime risk of maternal death 1 in: rate varies by country', 'SH.MMR.RISK', 2015, 180
'Arab World', 'ARB', 'Mammal species, threatened', 'EN.MAM.THRD.NO', 2015, 217
'Arab World', 'ARB', 'Maternal mortality ratio modeled estimate, per 100,000 live births', 'SH.STA.MMRT', 2015, 156
'Arab World', 'ARB', 'Mortality rate, infant per 1,000 live births', 'SP.DYN.IMRT.IN', 2015, 27.983485114926502
'Arab World', 'ARB', 'Mortality rate, infant, female per 1,000 live births', 'SP.DYN.IMRT.FE.IN', 2015, 25.5104403398975
'Arab World', 'ARB', 'Mortality rate, infant, male per 1,000 live births', 'SP.DYN.IMRT.MA.IN', 2015, 30.360317474466896
'Arab World', 'ARB', 'Mortality rate, neonatal per 1,000 live births', 'SH.DYN.NMRT', 2015, 17.5255737603895
'Arab World', 'ARB', 'Mortality rate, under-5 per 1,000', 'SH.DYN.MORT', 2015, 36.764145085562
'Arab World', 'ARB', 'Mortality rate, under-5, female per 1,000 live births', 'SH.DYN.MORT.FE', 2015, 34.1379360739318
'Arab World', 'ARB', 'Mortality rate, under-5, male per 1,000 live births', 'SH.DYN.MORT.MA', 2015, 39.345159588440296
'Arab World', 'ARB', 'Number of maternal deaths', 'SH.MMR.DTHS', 2015, 16000
'Arab World', 'ARB', 'Other taxes payable by businesses % of commercial profits', 'IC.TAX.OTHR.CP.ZS', 2015, 15.233333333333302
