Country,IQ.CPA.GNDR.XQ
MDA,5.0
GNQ,2.507795731940556
TMP,3.5
TUN,2.624085199281142
YEM,2.0
BDI,4.0
CUW,3.6755775968618654
CRI,3.749718169136525
WSM,3.5
NPL,4.0
EAP,3.36363636363636
ERI,3.5
QAT,3.1303221376116714
LDC,3.2441860465116297
UZB,4.0
CPV,4.5
MEA,2.5
GRC,2.840102029854852
BEL,3.266133138492293
WBG,2.8297617401485198
ECS,4.27777777777778
ARB,2.9
AGO,3.5
OSS,3.5
SLB,3.0
STP,3.0
BTN,4.0
COM,3.0
BEN,3.5
PNG,2.5
UGA,3.5
LSO,4.0
MNG,3.5
KSV,3.5
COG,3.0
TGO,3.0
CHE,3.745508591402347
MNP,3.977652245545243
LBR,2.5
PHL,3.996769707475768
MNE,3.4312994715953717
KOR,3.898713915137173
PRI,3.7765747632901974
FRO,3.9901804354973254
DZA,3.385245882110726
SYR,3.41315353658437
CUB,3.6533051034988673
MMR,3.8415016735221803
SVN,3.0906521579672805
PRY,2.4198313903555535
SDN,2.5
FRA,3.590561327044544
BFA,3.5
CMR,3.0
GUM,2.711755374337936
TJK,4.0
ISR,3.3032487992594195
FIN,2.927113911364618
COL,3.108269653391952
MNA,2.5
SSA,3.25
PRT,3.5281043990867347
TCD,2.5
NAC,3.087144602228081
ARG,3.2698562115993868
WLD,3.4350649350649305
PRK,4.276260535518618
EAS,3.36363636363636
NIC,3.5
GRL,3.4673914241415273
LMC,3.53846153846154
KWT,2.815697347167347
MHL,3.2312372065135833
TUV,3.065702540749622
NZL,4.2545695390850184
ATG,3.375594520356555
RUS,3.970318540021278
IMY,3.2318516317033135
ZAF,3.1034993951778906
GHA,4.0
PAN,3.6925207129287996
CHN,4.98403663251358
HKG,4.4335596282808645
CYP,4.330451093115437
NLD,4.869141312785789
MAR,3.9517629517919843
CHL,2.5904321862988677
MIC,3.58163265306122
BRA,4.438878071422183
BIH,4.5
TZA,3.5
FCS,2.9583333333333304
MDV,4.0
MLI,3.5
PER,3.056935133311292
MYS,2.5515287876455988
EGY,3.384534280669417
SYC,3.9351269258114634
SVK,4.228563291454668
NGA,3.0
IND,3.5
KAZ,2.770253633402188
IDN,2.93440411329949
GRD,4.5
SLE,3.0
HUN,4.033874479017301
KHM,4.0
MUS,3.3748103654808714
KGZ,4.5
CIV,2.5
VUT,3.5
TCA,3.6997862593636004
TKM,3.882505026726901
VNM,4.5
VEN,3.408508530679458
CAN,4.392657421670784
EST,3.6233301041186095
SWZ,2.747323527230794
KEN,3.5
JAM,3.6211612276299086
DNK,3.7025259285520464
LUX,3.226221277847261
MDG,3.5
PSS,3.1
ABW,3.8395441257256566
USA,3.972118330236447
AFG,2.0
ROM,4.2760560120909945
EUU,3.7663615545273634
TON,3.0
LAO,3.5
BOL,4.0
HIC,3.1115441515830966
SLV,2.3459347513212814
NAM,3.1757779686253995
UKR,3.0305483431226463
SMR,3.0991501487090822
BLZ,4.2552198427418
BHR,2.9979770192113433
MOZ,3.5
SSD,3.532703580061498
ISL,3.0509398772367433
VIR,2.274243182611724
SEN,3.5
BMU,3.490721308898188
BLR,2.7628778835762695
SRB,3.831978787247506
ADO,3.7821013114413717
SXM,3.770724561047599
LCN,3.6666666666666696
BGD,4.0
LIE,3.6138353953268734
LBY,2.815024511964256
ESP,3.979065057772006
PAK,2.0
ETH,3.0
OED,3.26195966529294
GNB,2.5
CYM,3.6257868059863556
BWA,2.9153626317149284
FJI,4.297079427373947
DEU,4.173100720692429
JPN,3.5987439453299945
AZE,4.0
CZE,3.624558316039301
LAC,3.6666666666666696
HRV,3.969201902346206
ALB,3.9995787008885193
ZWE,2.5
URY,3.3026327338978163
MAF,3.120045767156938
BGR,4.160958715285448
ECA,4.27777777777778
LBN,3.874821466211837
GBR,3.8504156517075376
LIC,3.1785714285714306
UMC,3.75
ARE,3.7345680939456614
SSF,3.25
VCT,4.0
NER,2.5
NOR,3.4562364898737217
BRB,3.2136829592476435
EMU,3.726927468049473
MRT,4.0
LVA,3.2875823028888096
MAC,3.264944533398089
SWE,3.779125462353673
GEO,4.5
TUR,3.8814812186640815
JOR,4.088864101222284
LTU,2.5313175880908707
BRN,3.071934601803366
CAF,2.5
NOC,3.139205353860815
OMN,3.1440299794031383
DJI,3.0
SOM,4.805714888064818
SST,3.45
SAU,3.1127221513082546
ITA,3.1556192364497777
ZMB,3.5
ARM,4.5
MWI,3.5
BHS,3.3372605669568296
CEB,3.4890982130628716
LMY,3.4350649350649305
GAB,3.7028199367576757
DMA,3.0
FSM,4.300176378456646
HPC,3.22368421052632
GTM,3.2326177829529694
LCA,3.5
MKD,3.626539683442771
SUR,3.4136461214532323
RWA,4.0
AUS,3.871733250475798
GIN,3.5
ECU,3.4947178696777197
IRL,3.382170671784234
ZAR,2.5
HTI,3.0
AUT,3.6910087506154095
MCO,2.9899949363220664
OEC,3.163105040946615
MEX,3.2360716598026524
LKA,4.0
MLT,3.6455392791251278
SAS,3.4375
POL,3.0979969734594954
GMB,3.5
PYF,4.208790020700492
CSS,3.7
IRN,3.92977677315504
THA,3.5276123535606496
IRQ,3.4736910513916865
SGP,3.3836986511670206
TTO,2.9222620499484293
CHI,2.7199786022490686
GUY,3.5
KNA,3.6188919272991575
HND,4.0
NCL,3.9018510924285206
PLW,3.646910480221697
ASM,1.686951438876175
KIR,2.5
DOM,3.4999393705381916
