Country,NY.GNP.PCAP.CD
MDA,1570.0
GNQ,8700.0
TMP,2370.0
TUN,4110.0
YEM,1260.0
BDI,180.0
CUW,35717.11645178771
CRI,6300.0
WSM,3020.0
NPL,490.0
EAP,3216.44794024893
ERI,330.0
QAT,63710.0
LDC,632.946046917861
UZB,1130.0
CPV,3480.0
MEA,6537.91093399987
GRC,29070.0
BEL,46250.0
WBG,2110.0
ECS,24105.6153265319
ARB,5566.3470490317395
AGO,19368.54640666549
OSS,3589.62038644438
SLB,820.0
STP,1130.0
BTN,1830.0
COM,760.0
BEN,770.0
PNG,1180.0
UGA,500.0
LSO,1090.0
MNG,1790.0
KSV,3280.0
COG,1980.0
TGO,440.0
CHE,70230.0
MNP,20083.159124792095
LBR,220.0
PHL,2490.0
MNE,6710.0
KOR,21090.0
PRI,16540.0
FRO,31415.288239746296
DZA,4280.0
SYR,40836.32925214542
CUB,5490.0
MMR,6770.331976509999
SVN,24400.0
PRY,2450.0
SDN,1130.0
FRA,43760.0
BFA,550.0
CMR,1160.0
GUM,39241.911149190295
TJK,660.0
ISR,27180.0
FIN,48590.0
COL,5090.0
MNA,3654.15563017185
SSA,1113.75617845013
PRT,22840.0
TCD,830.0
NAC,47566.927909773396
ARG,9160.0
WLD,8917.45949276819
PRK,33412.39396174997
EAS,6420.66629138821
NIC,1410.0
GRL,26020.0
LMC,1362.96302200187
KWT,45010.0
MHL,3690.0
TUV,5130.0
NZL,29410.0
ATG,13420.0
RUS,9230.0
IMY,11809.942595074994
ZAF,5900.0
GHA,1210.0
PAN,7690.0
CHN,3650.0
HKG,32350.0
CYP,30850.0
NLD,53520.0
MAR,2870.0
CHL,10030.0
MIC,2949.1547878821602
BRA,7990.0
BIH,4760.0
TZA,640.0
FCS,1265.20916345259
MDV,5000.0
MLI,570.0
PER,3920.0
MYS,7620.0
EGY,2140.0
SYC,10220.0
SVK,17000.0
NGA,1160.0
IND,1150.0
KAZ,6780.0
IDN,2150.0
GRD,6810.0
SLE,490.0
HUN,13270.0
KHM,690.0
MUS,7420.0
KGZ,860.0
CIV,1180.0
VUT,2620.0
TCA,37767.29298513167
TKM,3570.0
VNM,1120.0
VEN,10150.0
CAN,43060.0
EST,14470.0
SWZ,2670.0
KEN,930.0
JAM,4500.0
DNK,59840.0
LUX,69520.0
MDG,410.0
PSS,2815.8246928449603
ABW,25371.443250756885
USA,48050.0
AFG,470.0
ROM,8810.0
EUU,35490.1480773636
TON,3300.0
LAO,890.0
BOL,1640.0
HIC,33990.4815025404
SLV,3390.0
NAM,4120.0
UKR,2840.0
SMR,10085.2847375241
BLZ,4130.0
BHR,18650.0
MOZ,480.0
SSD,12904.119557466242
ISL,42210.0
VIR,7763.768343625536
SEN,1030.0
BMU,111580.0
BLR,5590.0
SRB,6040.0
ADO,44180.0
SXM,26997.812945131496
LCN,7180.0585659261
BGD,710.0
LIE,115530.0
LBY,11940.0
ESP,32770.0
PAK,1060.0
ETH,340.0
OED,35330.7105337584
GNB,520.0
CYM,32155.182047471746
BWA,5180.0
FJI,3870.0
DEU,43810.0
JPN,37470.0
AZE,4800.0
CZE,18650.0
LAC,6594.98432246671
HRV,13810.0
ALB,4280.0
ZWE,400.0
URY,8770.0
MAF,22603.69182127436
BGR,6640.0
ECA,5477.366289858471
LBN,7840.0
GBR,42820.0
LIC,462.574979931719
UMC,4813.38720330435
ARE,36040.0
SSF,1121.0197950023598
VCT,6270.0
NER,330.0
NOR,87840.0
BRB,15810.0
EMU,39633.5600383859
MRT,1050.0
LVA,13860.0
MAC,36750.0
SWE,51900.0
GEO,2550.0
TUR,9130.0
JOR,3900.0
LTU,12520.0
BRN,32190.0
CAF,450.0
NOC,13689.4280421132
OMN,16170.0
DJI,-2948.0092105547883
SOM,-10708.572966118267
SST,4710.2236254031795
SAU,17940.0
ITA,37690.0
ZMB,1260.0
ARM,3250.0
MWI,330.0
BHS,22280.0
CEB,12588.6082901271
LMY,2702.64682068304
GAB,8110.0
DMA,6510.0
FSM,2770.0
HPC,666.548625799283
GTM,2590.0
LCA,6730.0
MKD,4630.0
SUR,7100.0
RWA,500.0
AUS,44010.0
GIN,380.0
ECU,4090.0
IRL,47160.0
ZAR,290.0
HTI,680.0
AUT,48710.0
MCO,30593.651269696395
OEC,40119.9697164844
MEX,8460.0
LKA,1970.0
MLT,18810.0
SAS,1086.45716760185
POL,12400.0
GMB,580.0
PYF,-4390.814429903297
CSS,8449.92545214944
IRN,5370.0
THA,4160.0
IRQ,4020.0
SGP,37080.0
TTO,16190.0
CHI,16587.046984640965
GUY,2650.0
KNA,13100.0
HND,1840.0
NCL,40680.34121059349
PLW,8670.0
ASM,30870.241244219826
KIR,1870.0
DOM,4830.0
