"","x"
"1",-1426.71664252207
"2",31530.2953319916
"3",16073.8219671422
"4",5221.31140975272
"5",10950.6752415795
"6",20396.8566983672
"7",16259.086398347
"8",10947.4996980448
"9",7132.82563317241
"10",17128.0044529561
"11",13082.4311558619
"12",18201.5170733088
"13",15250.2977082522
"14",24466.9261457015
"15",13759.6356339958
"16",10616.5988300604
"17",5545.03997082244
"18",8713.88015140397
"19",-132.386163529012
"20",10696.3859116287
"21",21155.1179481432
"22",12186.6877714404
"23",21511.3797267827
"24",20104.1502937595
"25",5461.86031170001
"26",17785.5421084968
"27",16183.5771998099
"28",13350.8685859864
"29",20621.1262862349
"30",12207.8427973453
"31",27229.0025062172
"32",19226.99005585
"33",2171.19398273633
"34",17813.6004099605
"35",11250.7539288325
"36",12647.0477038577
"37",12727.0935128684
"38",10434.8958921951
"39",23932.4729835926
"40",9212.61025000585
"41",1740.80831868689
"42",14540.992751689
"43",3493.88095899986
"44",11998.2944755034
"45",1761.13165446219
"46",8024.9873033733
"47",-3343.13626912925
"48",22757.1613053505
"49",644.899471707036
"50",19399.4158099628
"51",15559.0952242418
"52",6302.1451228531
"53",37438.4350575365
"54",19746.9268057036
"55",14091.3896450989
"56",13308.5952250035
"57",5068.15147291752
"58",5869.29802834277
"59",10522.6669922633
"60",9081.28017673984
"61",24918.7398870761
"62",5493.73333059855
"63",36835.5500686614
"64",17252.7624192888
"65",-846.080560492046
"66",51099.7184009402
"67",13169.3960055185
"68",15752.1866632495
"69",9323.34140575219
"70",11391.7904131509
"71",9172.79907690166
"72",6515.94619494674
"73",6458.81525069343
"74",11422.8229969594
"75",5402.96072388947
"76",14647.5360858927
"77",7044.11528002925
"78",15656.5606405605
"79",5664.64342253739
"80",19666.4706547358
"81",8724.66837009154
"82",17209.2870696364
"83",11291.3382266255
"84",4324.92980214059
"85",16887.3786982912
"86",9475.36700387516
"87",481.442900442845
"88",10447.4832829719
"89",10231.4541996082
"90",13096.897735466
"91",19868.3313020246
"92",24655.6787008294
"93",10328.4628266781
"94",27750.0714399592
"95",14382.633194286
"96",2040.52880736787
"97",7826.02011457302
"98",13920.8507785198
"99",6683.30324072357
"100",20490.7197567888
"101",8422.06847615348
"102",9072.54352333308
"103",52484.5454676797
"104",5099.5971694699
"105",12003.6029672594
"106",1699.43166725438
"107",17022.0491695784
"108",968.35045669115
"109",12229.6046829696
"110",22653.1828844178
"111",12110.3921888068
"112",17041.2869408158
"113",9951.73092140679
"114",27097.2410074811
"115",2992.17933725033
"116",18257.8836133562
"117",1964.77295304863
"118",16363.4022303701
"119",14866.4540153319
"120",7639.13482914811
"121",6215.7187087745
"122",10306.2324946697
"123",20893.2323244463
"124",12017.0856690936
"125",492.807213819862
"126",18403.2421273227
"127",16889.1267463547
"128",4173.33877222797
"129",17300.9962931576
"130",10393.8709173754
"131",20387.5975694489
"132",13934.7791760817
"133",32341.7248785838
"134",3772.75277382183
"135",12926.6124534251
"136",1354.70653823119
"137",13225.7074312414
"138",6984.0608285222
"139",5182.40248212453
"140",34638.8781637234
"141",12559.3620470924
"142",9346.57685249927
"143",15218.467459263
"144",30715.4445703571
"145",14168.439160877
"146",1467.64726369646
"147",6231.73446675141
"148",11953.6315394749
"149",13701.5285319408
"150",9734.60379387265
"151",20523.2215073457
"152",12515.660440559
"153",7364.83742130295
"154",3799.01254391553
"155",24629.4604560503
"156",20143.255021692
"157",28050.3820768878
"158",14150.5650698096
"159",15423.9691488775
"160",15499.7056413301
"161",12077.1497205817
"162",14990.4813814959
"163",14028.2691146734
"164",17942.1094556755
"165",4669.69723763057
"166",6508.83779046679
"167",7818.2766738305
"168",13110.1357202035
"169",21578.8921292728
"170",4304.25015428784
"171",14645.8054109497
"172",4028.85338835832
"173",10975.3644648563
"174",6236.89724182714
"175",12576.9561642154
"176",25744.2789045963
"177",13506.2865300758
"178",4759.99713408063
"179",26544.7905626499
"180",7212.75936346885
"181",39871.5797133146
"182",4090.52575319143
"183",10693.3197709686
"184",13500.213858722
"185",20781.2266136017
"186",4448.31156810342
"187",1272.87917497461
"188",5374.95707975558
"189",13042.8720240679
"190",3533.80626133858
"191",5562.11775299191
"192",2394.52370362289
"193",6916.72355113321
"194",31929.8565541856
"195",12899.9915589681
"196",7429.7644575925
"197",33170.3279451344
"198",13532.1171028961
"199",18885.513665831
"200",4266.87820671123
"201",3877.28834488475
"202",17516.5657357285
"203",8243.5943057298
"204",20223.5392611012
"205",12123.8884063402
"206",4672.20559932611
"207",17609.5950821727
"208",8755.56125975964
"209",8040.6698999467
"210",10823.4238021565
"211",26058.2491280512
"212",8940.10070104257
"213",11382.3068103635
"214",18918.7717367214
"215",4446.57533565523
"216",18720.3597676795
"217",14057.1983866236
"218",26235.3244621281
"219",7369.19559489259
"220",12373.1994982751
"221",21259.3255105131
"222",9248.05181060245
"223",6620.65703162888
"224",19140.310022126
"225",24823.382843599
"226",951.721270825732
"227",8406.98558436479
"228",3439.04294891789
"229",8176.95993707938
"230",3519.65436148338
"231",25296.0739844673
"232",7755.57648044732
"233",11112.5088127287
"234",29231.4583335651
"235",8960.79976374267
"236",7489.54520864195
"237",18772.1301934569
"238",4399.08762685132
"239",15326.2893589592
"240",21222.7128811865
"241",12681.7409068011
"242",15382.6314319131
"243",7862.67661093378
"244",9892.92654589127
"245",9919.82099258766
"246",10575.9041201795
"247",13180.171208345
