"","x"
"1",5337.02267175926
"2",18399.0451096283
"3",264.290123572226
"4",13765.312615321
"5",2637.50422710492
"6",-12176.3088865019
"7",-31438.2827488403
"8",19417.3440395565
"9",12303.30943707
"10",-1222.0309573362
"11",13456.8512668459
"12",-4776.86471842944
"13",34359.0344281876
"14",-2191.36989604751
"15",3737.06948352961
"16",12322.7498007503
"17",16765.4907210374
"18",28230.8337257781
"19",31632.4976928584
"20",9370.42707208614
"21",26275.5047196861
"22",14776.08059463
"23",6480.88192017737
"24",9932.80619143461
"25",3236.85451428004
"26",2219.68020257479
"27",7434.84254622494
"28",-2043.18732825348
"29",-2293.30687217649
"30",2629.91904375271
"31",-4751.87030032963
"32",-2680.12220178893
"33",9250.9979333095
"34",10501.4226766156
"35",7583.10757352784
"36",-5631.13584540133
"37",35678.4917764707
"38",27684.5794752586
"39",-7946.39194190627
"40",6814.37040028064
"41",17159.094958233
"42",26798.7656570634
"43",27542.2123892252
"44",32531.3896645992
"45",13869.9202767736
"46",-43250.3228635487
"47",17163.7748430905
"48",31412.341959887
"49",26952.2478598587
"50",11534.0166017863
"51",2914.61263587724
"52",31506.6094197085
"53",-5075.84910913876
"54",-1134.84234020706
"55",13141.8135152296
"56",108.085714497506
"57",29499.9885315043
"58",31892.6919293917
"59",16515.340436205
"60",12795.1040561883
"61",1216.27330698762
"62",26816.2306018951
"63",-4151.92712190583
"64",31596.7333313963
"65",21197.9481713445
"66",18350.8770845599
"67",23790.1011975331
"68",18109.2060677509
"69",6717.23973247625
"70",22034.380288073
"71",4948.4244277472
"72",28474.2940246929
"73",6494.86446540973
"74",11175.8510040673
"75",30072.6519975436
"76",22226.9269509579
"77",18927.606162041
"78",-44561.7775983382
"79",12279.4608024425
"80",1778.26205142404
"81",19058.054273534
"82",14908.3928408577
"83",30143.4581455061
"84",28583.4376307974
"85",32152.9152236771
"86",10860.1008427063
"87",23154.0969827891
"88",11424.5157831324
"89",20302.5040149064
"90",14593.1893769357
"91",-2360.51659085381
"92",1954.2069699869
"93",17039.1857534088
"94",-5767.16253395031
"95",15134.588664094
"96",19168.9133261054
"97",9389.86555538941
"98",20171.9403148808
"99",23395.6550401163
"100",3184.85126915148
"101",4261.06295276606
"102",17226.5092176389
"103",10590.7891243303
"104",17056.7085175168
"105",-9111.92925094352
"106",21849.6619741402
"107",385.216804326807
"108",17862.6013530272
"109",2015.75709141105
"110",-1713.73295881193
"111",10103.3153332484
"112",-43442.36442874
"113",11399.231124666
"114",6169.16536422639
"115",21376.7404605714
"116",32191.791641933
"117",22861.2074563837
"118",4221.97345518052
"119",-244.264594081687
"120",14333.6545634017
"121",33042.4623701291
"122",37107.6749106978
"123",-4827.77342411756
"124",9815.05970098492
"125",26352.9754088518
"126",31871.4943557101
"127",-4270.59745506531
"128",18157.1087586828
"129",29855.1447171167
"130",12107.9810104716
"131",2364.89546439284
"132",6706.86183017664
"133",29678.5109654042
"134",11979.8358709935
"135",11622.8797248345
"136",10179.2314612809
"137",27970.2749545911
"138",13037.228095037
"139",25335.8051524801
"140",-8307.61767949023
"141",1443.21294861035
"142",31863.3662714058
"143",28748.9707139843
"144",850.08452216302
"145",36113.356152924
"146",14488.526709818
"147",15546.053491691
"148",27664.3738554877
"149",-46932.1788758063
"150",19146.2124339127
"151",852.521850428414
"152",39596.7459828578
"153",20187.9189363395
"154",29764.0685029108
"155",971.182392896814
"156",-7026.64240758896
"157",30141.3847457142
"158",-6518.59812411939
"159",21121.5213030557
"160",13477.0953196145
"161",11354.8682158339
"162",31307.8788214315
"163",31888.4080608511
"164",15178.6342420128
"165",24648.6894336517
"166",18400.2450161675
"167",22273.3274368503
"168",14456.7046309307
"169",-5955.98229564215
"170",21890.8137833417
"171",-41678.0279148164
"172",16569.7174497944
"173",15638.3396066403
"174",20333.8198772858
"175",30955.9278991115
"176",-5628.86365725525
"177",16232.2841500506
"178",29254.6939875061
"179",1282.36269594518
"180",16049.8768421068
"181",-8513.3793426624
"182",36357.4226943178
"183",22789.7623975767
"184",30915.3101429166
"185",1706.51689497638
"186",20477.8694087759
"187",32625.277622386
"188",33257.7129885944
"189",10390.5645394283
"190",19934.43894201
"191",13922.9810056088
"192",20683.2771822741
"193",28476.3517477524
"194",-10166.4900249542
"195",22559.6100036807
"196",25020.5739816353
"197",1938.34127016421
"198",17312.7709264692
"199",12326.5350813243
"200",24199.8852111005
"201",31059.5814961601
"202",2109.77358277237
"203",12057.2483973559
"204",-8043.07379459581
"205",24999.4309930188
"206",21822.3881050752
"207",10457.0535977573
"208",15828.7761874413
"209",16821.2366880311
"210",9446.0655982354
"211",-3147.98854780364
"212",9963.18099802945
"213",17507.3435574473
"214",14569.1840788518
"215",17728.2146184886
"216",-3958.4402210834
"217",32748.3589589259
"218",-8318.24070329551
"219",14946.9772235336
"220",32013.6857062085
"221",-8847.8819082025
"222",-2364.07009748114
"223",32102.1085768309
"224",33835.2736197109
"225",31040.4116574061
"226",19546.9092504944
"227",10796.7028270384
"228",26713.7021398912
"229",3221.41842497929
"230",21951.4006745225
"231",-4325.00031466218
"232",-42595.7252947662
"233",18026.5784167022
"234",16711.6412080388
"235",15109.993212374
"236",12342.652422217
"237",32601.5643506875
"238",21521.4836706831
"239",31683.3344986486
"240",8746.63701678589
"241",24621.7397855173
"242",8642.62251643999
"243",29269.7734516451
"244",14697.2153171192
"245",-42671.9738339503
"246",4135.56098753056
"247",15258.5236929088
