"","x"
"1",4541.88222414617
"2",14177.5121903512
"3",1257.00024576572
"4",14727.2123059993
"5",1724.03132554433
"6",-8299.97603270333
"7",27644.7621785725
"8",25985.4600485147
"9",13929.998642274
"10",3530.24668792453
"11",13087.2984158817
"12",-6952.24816075448
"13",32562.0017274055
"14",1156.70843033526
"15",4849.35610686737
"16",13524.1199428456
"17",13307.0006192054
"18",31301.0573023425
"19",28946.4497845607
"20",10838.1229803942
"21",27515.4140252118
"22",12796.5375596355
"23",7888.64460731116
"24",8209.51247326755
"25",2452.44486810555
"26",4434.53913123815
"27",8464.40177280489
"28",2610.87369331108
"29",455.158035222194
"30",624.218392647585
"31",-7181.96035352859
"32",-5556.95093009429
"33",9920.75891971581
"34",13660.0410814478
"35",8789.09101194431
"36",-4627.58999690159
"37",34379.601208412
"38",11938.3586693218
"39",-7658.42540215157
"40",10806.5915542085
"41",16359.7871120776
"42",28494.6492060095
"43",26980.4190092009
"44",31485.9283544333
"45",19233.2898329609
"46",24994.6489714686
"47",17334.2955164977
"48",17980.2318292893
"49",25668.1874205837
"50",14556.8500827816
"51",-1172.77834054486
"52",32020.8580424583
"53",-1530.10265082175
"54",-2112.43965910304
"55",2188.39198248513
"56",1508.16659603223
"57",29473.1770736726
"58",30719.8921628086
"59",19851.6464645612
"60",19846.1119646239
"61",1609.16691904493
"62",27833.5551409187
"63",-7358.42010997931
"64",30809.4817540763
"65",22669.3941775374
"66",17516.5027814108
"67",25232.502708143
"68",18453.6782675667
"69",11680.8812554452
"70",22117.570808084
"71",1562.7092541257
"72",32240.6685025107
"73",17707.4444935421
"74",9901.23521945965
"75",28443.8660525751
"76",24186.1964385258
"77",20210.4491850696
"78",-38132.9431796497
"79",8184.01929255924
"80",3343.5407810375
"81",19213.5318110533
"82",19018.9423265365
"83",27219.3079228882
"84",27691.4400328881
"85",32573.5445530458
"86",6716.37620353459
"87",26425.5035872229
"88",12547.2294854732
"89",20701.0688838998
"90",22209.5451393391
"91",-2288.14638703689
"92",1318.73637701833
"93",17360.3567315341
"94",-3696.44984695505
"95",16160.6328657119
"96",18834.7839510138
"97",3953.44200122359
"98",21123.3970593871
"99",22810.4166545418
"100",-10684.8419710712
"101",3074.52092374675
"102",13022.3019027222
"103",11285.9138970908
"104",15536.1857967701
"105",-6424.21495492579
"106",22938.0975174038
"107",3684.58559924738
"108",17693.6230603442
"109",7045.1647563923
"110",-5219.17695652026
"111",16001.5365523487
"112",26392.5711774544
"113",8405.78428862625
"114",10205.456861782
"115",18676.7215089365
"116",29022.6705807992
"117",25039.4237879507
"118",-333.084236610724
"119",-1743.310596895
"120",17349.4961254639
"121",33618.656389732
"122",36269.9787224269
"123",896.99885034567
"124",7517.61590809259
"125",24836.1179354053
"126",29534.0336165926
"127",-5282.58334288833
"128",21032.63502206
"129",27187.3704613081
"130",14561.7250140664
"131",5160.6952251176
"132",8195.77421738721
"133",29577.1961878095
"134",14028.6716723191
"135",9196.12790514411
"136",8482.14463066623
"137",34125.7044631478
"138",14864.0974928576
"139",25397.9981684076
"140",-4678.96401234042
"141",-12139.0058248329
"142",32141.0794617106
"143",31927.6013830098
"144",-1965.98563757188
"145",32452.2473770043
"146",15014.2603674391
"147",15790.9143399981
"148",21314.4294195277
"149",-30567.9918875027
"150",22504.7522315945
"151",2251.84489045969
"152",37615.7242748132
"153",21883.2070936273
"154",33129.2559986614
"155",-3843.33379442975
"156",-7201.36679734703
"157",26293.8803340841
"158",-7840.14534851458
"159",18472.7985557839
"160",12017.93954516
"161",15186.929304595
"162",29394.3653543291
"163",31653.6859249226
"164",11184.2913087164
"165",24170.1921907076
"166",20221.3458101701
"167",23182.2660401814
"168",20332.0448605213
"169",-15481.1368818845
"170",24455.3352806739
"171",26936.7453473246
"172",18506.9860212114
"173",16283.2927145935
"174",21229.1875742727
"175",33193.0993457818
"176",-3128.44884301773
"177",19002.5668557495
"178",26607.311653331
"179",-1661.83199091705
"180",20549.3467864086
"181",-8321.90849035241
"182",34412.5231915523
"183",22244.142455348
"184",30574.8319495954
"185",5372.81460701117
"186",20755.8759999429
"187",34505.7925551507
"188",31188.9435033639
"189",14620.8992316374
"190",21387.2811790837
"191",14245.4595091434
"192",22296.3274556148
"193",31305.5179932753
"194",-12284.1131873895
"195",17695.8341443379
"196",24119.5332147952
"197",-4147.07545457061
"198",-41294.8532698185
"199",9911.29505145694
"200",18999.8803074348
"201",32036.4647213979
"202",-404.086856163718
"203",10836.3402580015
"204",-4889.41585789791
"205",23573.7073882871
"206",25568.5435007447
"207",9311.27104216053
"208",9306.96021694511
"209",17402.2961971022
"210",12160.0067763529
"211",-1177.4397351885
"212",12564.1278513526
"213",22733.4066472881
"214",14702.7991136661
"215",19132.1115321758
"216",-1718.48718439022
"217",32633.4646964986
"218",-5509.88004835061
"219",17952.3002775481
"220",33666.6719767172
"221",-6438.18996482732
"222",4719.75391062928
"223",30120.2920272864
"224",21497.8208481415
"225",30413.1564879386
"226",22200.3761107839
"227",12010.9731423662
"228",26406.7124829555
"229",3904.56300253606
"230",22179.9562754515
"231",-1304.43406499839
"232",22862.8812593994
"233",18875.4974003107
"234",16906.0202036279
"235",12645.3424333866
"236",15431.6134755822
"237",30988.4282600755
"238",23203.8208855197
"239",23754.9214144394
"240",6061.96508235809
"241",28647.1101774975
"242",10366.9740945693
"243",23538.3081316229
"244",13502.6206564887
"245",25179.7268923883
"246",5637.83971304139
"247",15662.4574679787
