"","x"
"1",1159.99999999992
"2",12110.0000000001
"3",1859.99999999985
"4",3560.00000000076
"5",929.999999999873
"6",159.999999999447
"7",43494.6615961258
"8",5639.99999999941
"9",2849.99999999999
"10",379.999999999633
"11",2274.0475054166
"12",279.999999999705
"13",59970
"14",506.174794390234
"15",759.999999999851
"16",2779.99999999947
"17",5444.63809140558
"18",26070.0000000003
"19",42760.0000000004
"20",1599.99999999986
"21",22419.3607851186
"22",4675.56571785306
"23",-2922.41900346232
"24",3433.53572447661
"25",960.000000000124
"26",950.000000000149
"27",1630.00000000025
"28",669.999999999251
"29",659.999999999185
"30",929.999999999989
"31",380.00000000008
"32",1019.99999999978
"33",1410.00000000004
"34",2800.00000000004
"35",1409.99999999977
"36",399.999999998941
"37",62680.000000001
"38",-1796.30672131513
"39",160.000000000462
"40",1900.00000000033
"41",5230.00000000029
"42",22460.0000000001
"43",15660.0000000005
"44",16984.0188229284
"45",3589.99999999993
"46",1859.99999999974
"47",4980.00000000006
"48",13139.8222774882
"49",21919.9999999998
"50",1820.00000000026
"51",879.999999999622
"52",40249.9999999998
"53",459.999999999651
"54",989.999999999629
"55",10860.9143712174
"56",439.999999999454
"57",23710.0000000002
"58",46040.0000000001
"59",4069.99999999984
"60",2826.97108885244
"61",986.348901602458
"62",20770.0000000001
"63",630.000000000022
"64",47919.5273542448
"65",7310.00000000068
"66",8302.02662346449
"67",13513.6150905659
"68",5571.02267898091
"69",1300.00000000013
"70",34060
"71",1096.34250954089
"72",46929.9999999998
"73",3759.99999999986
"74",4710.00000000007
"75",28110
"76",14749.9999999999
"77",7560.00000000002
"78",48299.9999999999
"79",5969.99999999991
"80",799.999999999978
"81",6300.00000000009
"82",2489.9999999996
"83",32069.9999999999
"84",27000.0000000003
"85",49390
"86",2279.99999999965
"87",8739.99999999945
"88",2314.6676343008
"89",5980.00000000025
"90",3770.00000000035
"91",509.999999999778
"92",968.351616934335
"93",4140.00000000007
"94",469.999999999927
"95",3179.99999999996
"96",6620.00000000006
"97",1549.99999999962
"98",12270
"99",14830
"100",969.99999999976
"101",950.000000000247
"102",4980.00000000001
"103",1599.99999999996
"104",6940.00000000022
"105",399.999999999807
"106",11810.0000000001
"107",590.000000000113
"108",6189.99999999988
"109",609.999999999996
"110",979.999999999611
"111",2130.00000000004
"112",14144.7367245725
"113",2329.99999999983
"114",849.999999999913
"115",7519.99999999996
"116",41230
"117",13500.0000000001
"118",2720.00000000013
"119",729.999999999975
"120",4479.99999999986
"121",55700.0000000005
"122",74290
"123",329.999999999996
"124",2752.59089937395
"125",27537.5326487987
"126",48639.9999999998
"127",339.999999999945
"128",6519.99999999965
"129",33496.1894460008
"130",2810.00000000002
"131",619.9999999998
"132",1239.99999999961
"133",32890.7828788004
"134",3249.99999999991
"135",4139.99999999987
"136",2569.99999999999
"137",47670
"138",3739.99999999995
"139",19840
"140",400.000000000062
"141",12365.0411587956
"142",62290
"143",18158.1971673195
"144",869.999999999975
"145",117640
"146",4309.99999999979
"147",4580.00000000002
"148",44249.9999999999
"149",22256.699942862
"150",6076.36390560083
"151",590.000000000255
"152",111510
"153",10330.0000000001
"154",29920.0000000001
"155",909.999999999945
"156",219.999999999956
"157",34579.0193217073
"158",430.000000000142
"159",1169.88782977248
"160",5570.00000000013
"161",3830.00000000002
"162",40700
"163",37589.9999999999
"164",2709.99999999985
"165",15740
"166",5652.67393644135
"167",12350
"168",3480.00000000019
"169",379.999999999967
"170",6369.99999999997
"171",30388.6444265267
"172",4860.00000000014
"173",4600.38068856026
"174",6249.99999999993
"175",46240.0000000001
"176",364.358285859864
"177",3724.78732752452
"178",40629.9999999998
"179",996.919296935852
"180",5589.99999999992
"181",280
"182",78400
"183",15659.9999999999
"184",36792.1949554209
"185",949.999999999938
"186",11050
"187",34860
"188",52190
"189",2090.00000000004
"190",8499.99999999997
"191",3030.00000000005
"192",10470
"193",30970
"194",379.99999999996
"195",11942.7600593061
"196",13470
"197",-820.601237038136
"198",4192.01464933623
"199",4506.35591270506
"200",15830
"201",35830
"202",879.999999999993
"203",2709.99999999996
"204",260.000000000033
"205",23860.0000000001
"206",10320.9850238788
"207",2126.50135338966
"208",6769.99999999999
"209",5760
"210",2549.99999999991
"211",522.809102358002
"212",2350.00000000003
"213",6249.99999999996
"214",3609.99999999992
"215",5119.99999999996
"216",359.999999999989
"217",37310.0000000001
"218",309.99999999988
"219",3329.99999999991
"220",51010.0000000001
"221",249.999999999956
"222",549.999999999905
"223",44200
"224",161310
"225",39156.1119261566
"226",8839.99999999998
"227",1540.00000000002
"228",16590
"229",898.642132038487
"230",9969.99999999997
"231",449.999999999931
"232",-35056.6142419065
"233",7993.81468164465
"234",4159.99999999998
"235",3519.99999999997
"236",2510.00000000003
"237",35660
"238",14990
"239",65430.0000000001
"240",1789.99999999981
"241",12540
"242",1619.99999999991
"243",-25161.3508002049
"244",9509.99999999995
"245",2688.74618116582
"246",1810.00000000005
"247",4259.99999999995
