CountryCode,ShortName,TableName
AFG,Afghanistan,Afghanistan
ALB,Albania,Albania
DZA,Algeria,Algeria
ASM,American Samoa,American Samoa
ADO,Andorra,Andorra
AGO,Angola,Angola
ATG,Antigua and Barbuda,Antigua and Barbuda
ARB,Arab World,Arab World
ARG,Argentina,Argentina
ARM,Armenia,Armenia
ABW,Aruba,Aruba
AUS,Australia,Australia
AUT,Austria,Austria
AZE,Azerbaijan,Azerbaijan
BHR,Bahrain,Bahrain
BGD,Bangladesh,Bangladesh
BRB,Barbados,Barbados
BLR,Belarus,Belarus
BEL,Belgium,Belgium
BLZ,Belize,Belize
BEN,Benin,Benin
BMU,Bermuda,Bermuda
BTN,Bhutan,Bhutan
BOL,Bolivia,Bolivia
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,Botswana,Botswana
BRA,Brazil,Brazil
BRN,Brunei,Brunei Darussalam
BGR,Bulgaria,Bulgaria
BFA,Burkina Faso,Burkina Faso
BDI,Burundi,Burundi
CPV,Cabo Verde,Cabo Verde
KHM,Cambodia,Cambodia
CMR,Cameroon,Cameroon
CAN,Canada,Canada
CSS,Caribbean small states,Caribbean small states
CYM,Cayman Islands,Cayman Islands
CAF,Central African Republic,Central African Republic
CEB,Central Europe and the Baltics,Central Europe and the Baltics
TCD,Chad,Chad
CHI,Channel Islands,Channel Islands
CHL,Chile,Chile
CHN,China,China
COL,Colombia,Colombia
COM,Comoros,Comoros
COG,Congo,"Congo, Rep."
CRI,Costa Rica,Costa Rica
CIV,Cote d Ivoire,Cote d Ivoire
HRV,Croatia,Croatia
CUB,Cuba,Cuba
CYP,Cyprus,Cyprus
CZE,Czech Republic,Czech Republic
PRK,Dem. People's Rep. Korea,"Korea, Dem. Rep."
ZAR,Dem. Rep. Congo,"Congo, Dem. Rep."
DNK,Denmark,Denmark
DJI,Djibouti,Djibouti
DMA,Dominica,Dominica
DOM,Dominican Republic,Dominican Republic
EAS,East Asia & Pacific (all income levels),East Asia & Pacific (all income levels)
EAP,East Asia & Pacific (developing only),East Asia & Pacific
ECU,Ecuador,Ecuador
