Country,HDI
NER,0.351
LBN,0.763
EST,0.863
SWE,0.909
CHL,0.845
EGY,0.688
CZE,0.875
SYR,0.553
KWT,0.799
PHL,0.679
IRL,0.92
SUR,0.723
LSO,0.495
MNE,0.804
BHR,0.823
MEX,0.758
SVN,0.888
VUT,0.598
HRV,0.823
NLD,0.923
JPN,0.902
SWZ,0.541
MMR,0.552
AGO,0.531
CMR,0.514
LVA,0.828
BIH,0.747
PER,0.737
DJI,0.47
ETH,0.441
CIV,0.466
NAM,0.637
COG,0.59
BDI,0.406
QAT,0.855
GEO,0.768
BRB,0.794
TTO,0.779
SLV,0.678
GUY,0.638
UZB,0.697
AUS,0.937
DNK,0.923
CHE,0.938
ERI,0.418
DOM,0.718
LIE,0.911
UGA,0.488
BLR,0.798
BGR,0.792
FRA,0.894
URY,0.794
CPV,0.646
GBR,0.908
SEN,0.491
BEL,0.895
ISL,0.919
TKM,0.688
SDN,0.488
GAB,0.694
ECU,0.739
TMP,0.603
STP,0.565
PRT,0.841
ZAF,0.665
MLI,0.438
POL,0.852
MLT,0.853
ITA,0.881
DEU,0.924
LBR,0.427
PAK,0.548
GNQ,0.582
NPL,0.555
RWA,0.493
HND,0.623
OMN,0.795
THA,0.738
USA,0.918
IRQ,0.649
JOR,0.741
DMA,0.724
CHN,0.734
TON,0.718
UKR,0.748
JAM,0.729
BRA,0.754
SSD,0.421
CUB,0.773
PRY,0.692
KHM,0.558
GRD,0.751
MDV,0.701
GTM,0.637
ATG,0.784
PLW,0.783
BLZ,0.706
YEM,0.499
HTI,0.49
GIN,0.414
LKA,0.764
HUN,0.834
GHA,0.575
MUS,0.779
AZE,0.758
COM,0.498
SRB,0.775
ISR,0.898
ZMB,0.576
ARG,0.826
KEN,0.55
CYP,0.854
BTN,0.604
NZL,0.913
MRT,0.513
BEN,0.481
NIC,0.642
KAZ,0.793
ZWE,0.507
ARE,0.836
GNB,0.421
SAU,0.845
TGO,0.484
COL,0.724
LUX,0.896
MDG,0.511
BWA,0.698
GRC,0.865
IND,0.615
TCD,0.394
DZA,0.743
SGP,0.924
MAR,0.645
CAF,0.347
WSM,0.702
ADO,0.857
ARM,0.741
LTU,0.846
PNG,0.515
FJI,0.734
AUT,0.892
MNG,0.733
TJK,0.625
AFG,0.479
BFA,0.399
MYS,0.787
IDN,0.686
CRI,0.775
NGA,0.525
MOZ,0.414
PAN,0.785
ESP,0.882
KIR,0.586
FIN,0.893
ROM,0.798
SLB,0.514
CAN,0.919
TUN,0.723
TUR,0.764
SYC,0.781
SLE,0.431
LBY,0.719
BGD,0.575
MWI,0.473
NOR,0.948
ALB,0.762
